context_id,policy_seed,resource_type,rho_sub_mean,episode_cost_delta_mean,cost_sign_masked_rate,direct_cost_mean,same_step_other_sub_cost_mean,future_sub_cost_probe_mean,future_sub_cost_other_mean
confirm_time_pressure_seed17_resource00_e04_t04_u0,17,missile,0.9764947835355996,0.047010313719511,0.96875,1.9999998807907104,0.1316623017191887,1.9999998807907104,-0.1786726154386997
confirm_time_pressure_seed17_resource01_e23_t04_u1,17,missile,1.0052099032327533,-0.0104198660701513,1.0,1.9999999403953552,0.1087463968433439,1.9999999403953552,-0.0983265307731926
confirm_time_pressure_seed17_resource02_e16_t04_u1,17,missile,1.0052745528519154,-0.0105490460991859,1.0,2.0000000596046448,0.1002159379422664,2.0000000596046448,-0.0896668918430805
confirm_time_pressure_seed17_resource03_e23_t04_u2,17,laser,0.96875,0.015625,0.96875,0.5,0.0,0.484375,0.0
confirm_time_pressure_seed17_resource04_e20_t04_u2,17,laser,1.0625,-0.03125,0.90625,0.5,0.0,0.53125,0.0
confirm_time_pressure_seed17_resource05_e12_t04_u2,17,laser,0.96875,0.015625,0.96875,0.5,0.0,0.484375,0.0
confirm_time_pressure_seed18_resource00_e14_t39_u1,18,missile,0.171875,1.65625,0.0,2.0,0.34375,0.0,0.0
confirm_time_pressure_seed18_resource01_e14_t38_u1,18,missile,0.6328125,0.734375,0.40625,2.0,0.265625,0.5,0.5
confirm_time_pressure_seed18_resource02_e14_t39_u0,18,missile,0.375,1.25,0.3125,2.0,0.75,0.0,0.0
confirm_time_pressure_seed18_resource03_e14_t39_u2,18,laser,0.0,0.5,0.0,0.5,0.0,0.0,0.0
confirm_time_pressure_seed18_resource04_e14_t38_u2,18,laser,1.75,-0.375,0.4375,0.5,0.0,0.0,0.875
confirm_time_pressure_seed18_resource05_e14_t37_u2,18,laser,1.84375,-0.421875,0.46875,0.5,0.0,0.046875,0.875
confirm_time_pressure_seed19_resource00_e00_t38_u1,19,missile,0.0,2.0,0.0,2.0,0.0,0.0,0.0
confirm_time_pressure_seed19_resource01_e00_t38_u0,19,missile,0.46875,1.0625,0.46875,2.0,0.9375,0.0,0.0
confirm_time_pressure_seed19_resource02_e00_t37_u1,19,missile,0.5,1.0,0.5,2.0,0.0,0.5,0.5
confirm_time_pressure_seed19_resource03_e12_t22_u2,19,laser,0.7214294821023941,0.1392852589488029,0.6875,0.5,0.0,0.359375,0.001339741051197
confirm_time_pressure_seed19_resource04_e00_t24_u2,19,laser,2.1551202731207013,-0.5775601216591895,0.78125,0.5000000149011612,0.0,0.328125009778887,0.7494351267814636
confirm_time_pressure_seed19_resource05_e11_t25_u2,19,laser,1.1056456863880155,-0.0528228431940078,0.71875,0.5,0.0,0.359375,0.1934478431940078
