context_id,scenario,policy_seed,slot,episode_index,environment_seed,environment_step,observation_hash,unit_index,resource_type,unit_cost,legal_targets,target_probabilities,safety_score,resource_score
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,8,1784393360,28,250715da39f156e38e828aa1fbcb52811ae88a7f2aceac89e4f8d013ce197e08,2,laser,0.5,"0,2,3","0.330284953117,0.329427182674,0.340287894011",4.287804222854735,1.25
confirm_medium_seed17_safety01_e08_t28_u0,medium,17,safety,8,1784393360,28,250715da39f156e38e828aa1fbcb52811ae88a7f2aceac89e4f8d013ce197e08,0,missile,2.0,"0,2,3,4","0.248816773295,0.24858532846,0.254620045424,0.247977867723",4.287804222854735,2.0
confirm_medium_seed17_safety02_e08_t28_u1,medium,17,safety,8,1784393360,28,250715da39f156e38e828aa1fbcb52811ae88a7f2aceac89e4f8d013ce197e08,1,missile,2.0,"0,2,3,4","0.248487949371,0.248341649771,0.254057407379,0.249112948775",4.287804222854735,2.0
confirm_medium_seed17_safety03_e05_t42_u2,medium,17,safety,5,1784393357,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,2,laser,0.5,"0,1,4","0.336597025394,0.33608803153,0.327314972878",3.744861084830758,1.25
confirm_medium_seed17_safety04_e05_t42_u0,medium,17,safety,5,1784393357,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,0,missile,2.0,"0,1,4","0.337006509304,0.336037606001,0.326955854893",3.744861084830758,2.0
confirm_medium_seed17_safety05_e05_t42_u1,medium,17,safety,5,1784393357,42,f298a0aa23e1a6453795aa5c71fc7e0d6e830c208c50ceeb7c9ce95cd7a3f9cd,1,missile,2.0,"0,1,4","0.33655244112,0.33619505167,0.32725250721",3.744861084830758,2.0
confirm_medium_seed17_resource00_e22_t49_u0,medium,17,resource,22,1784393374,49,0def7a9aca7e3e2e106f64967b53a522755a96d10e3a6cfa326390a888b869d8,0,missile,2.0,1,1,0.04696218444080474,2.0
confirm_medium_seed17_resource01_e22_t48_u0,medium,17,resource,22,1784393374,48,8cb66dc158faa1dbdc3c3552c7cb9f16ddb470cb0a56c47d3158f4bb48bf29fa,0,missile,2.0,1,1,0.044396589369189984,2.0
confirm_medium_seed17_resource02_e22_t47_u0,medium,17,resource,22,1784393374,47,d3e6eae2a0a29d76e0e29beacc535e131f169cb2c7694c24dd2014dc1c150ef6,0,missile,2.0,1,1,0.0420967987387818,2.0
confirm_medium_seed17_resource03_e22_t49_u2,medium,17,resource,22,1784393374,49,0def7a9aca7e3e2e106f64967b53a522755a96d10e3a6cfa326390a888b869d8,2,laser,0.5,1,1,0.04696218444080474,1.25
confirm_medium_seed17_resource04_e22_t48_u2,medium,17,resource,22,1784393374,48,8cb66dc158faa1dbdc3c3552c7cb9f16ddb470cb0a56c47d3158f4bb48bf29fa,2,laser,0.5,1,1,0.044396589369189984,1.25
confirm_medium_seed17_resource05_e22_t47_u2,medium,17,resource,22,1784393374,47,d3e6eae2a0a29d76e0e29beacc535e131f169cb2c7694c24dd2014dc1c150ef6,2,laser,0.5,1,1,0.0420967987387818,1.25
confirm_medium_seed18_safety00_e08_t27_u2,medium,18,safety,8,1784403360,27,6f1ed426ae62fcd31ac2c15df53761904f775970a9ac58dca9cd3c519ea7ceb3,2,laser,0.5,3,1,0.7397764060132185,0.95
confirm_medium_seed18_safety01_e14_t27_u2,medium,18,safety,14,1784403366,27,4b77279553c44f63301a6e32f28f4fbf8c7b1c021684c78e703fa45d9ebbe02b,2,laser,0.5,"3,4","0.499673128128,0.500326931477",0.4400936761863182,1.15
confirm_medium_seed18_safety02_e14_t26_u2,medium,18,safety,14,1784403366,26,4e924241e713bf6daa47cccbb8d87c51de7977d3c6c0aa2d6687eafcaed334d5,2,laser,0.5,"3,4","0.49948734045,0.500512599945",0.2630495352957616,1.05
confirm_medium_seed18_safety03_e08_t26_u2,medium,18,safety,8,1784403360,26,5aca4da8637bf90a3af89113fb06779d854a3fc0cd0e19aad5d0fd35b68bd00d,2,laser,0.5,3,1,0.25723966252689984,0.85
confirm_medium_seed18_safety04_e14_t25_u2,medium,18,safety,14,1784403366,25,cb6e127d80d5742e8d032e269ba1d6c7ac3327ad6dffd3493b81638f826643f6,2,laser,0.5,"3,4","0.49930331111,0.500696718693",0.18758603638284851,0.95
confirm_medium_seed18_safety05_e08_t25_u2,medium,18,safety,8,1784403360,25,0cacbf897d13acec83f1156ae124bd42630d7b9871729cb88877f49715628317,2,laser,0.5,3,1,0.1556882315806007,0.75
confirm_medium_seed18_resource00_e12_t04_u0,medium,18,resource,12,1784403364,4,17cbe656ed8f54a20a5db964ea4898bc77891c1218922eb6853aab3f6c471d1f,0,missile,2.0,"0,1,2","0.324295818806,0.338398247957,0.337305903435",0.027137243286613946,2.666666666666667
confirm_medium_seed18_resource01_e04_t04_u0,medium,18,resource,4,1784403356,4,904b09ef70ba4559e1b9d7a3130d0a0d56e8bdf435860f9b9589cab33c0d81a9,0,missile,2.0,"0,2,3,4","0.255946099758,0.244812905788,0.246544405818,0.252696484327",0.03775282467450402,2.666666666666667
confirm_medium_seed18_resource02_e17_t04_u1,medium,18,resource,17,1784403369,4,b80022979f295d1df15be28feb6308fa09012e2f77287f06e6c54d44be68e61e,1,missile,2.0,"1,4","0.496137559414,0.503862440586",0.022605207442456626,2.666666666666667
confirm_medium_seed18_resource03_e06_t04_u2,medium,18,resource,6,1784403358,4,903228ce570b4ec3a91da94bae97e33f266c8395cc52158f44aad07045156af6,2,laser,0.5,4,1,0.019785920527138567,1.55
confirm_medium_seed18_resource04_e23_t04_u2,medium,18,resource,23,1784403375,4,49a2dcd102144b03c575e0c899818e4249056ed3d7a7a245d48b9eb9f0fa9a08,2,laser,0.5,2,1,0.012993048327526043,1.55
confirm_medium_seed18_resource05_e04_t04_u2,medium,18,resource,4,1784403356,4,904b09ef70ba4559e1b9d7a3130d0a0d56e8bdf435860f9b9589cab33c0d81a9,2,laser,0.5,3,1,0.01816333561089363,1.45
confirm_medium_seed19_safety00_e01_t30_u1,medium,19,safety,1,1784413353,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,1,missile,2.0,"0,3,4","0.332036137581,0.339040249586,0.328923553228",4.586238205791995,2.0
confirm_medium_seed19_safety01_e01_t30_u0,medium,19,safety,1,1784413353,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,0,missile,2.0,"0,3,4","0.332002073526,0.339089363813,0.328908532858",4.586238205791995,2.0
confirm_medium_seed19_safety02_e01_t30_u2,medium,19,safety,1,1784413353,30,9a34f6fdc66a172808255ba236f69de64ad857b4657cfc0160a45f10acaa9d28,2,laser,0.5,"3,4","0.507444500923,0.492555469275",4.586238205791995,1.25
confirm_medium_seed19_safety03_e14_t30_u2,medium,19,safety,14,1784413366,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,2,laser,0.5,"1,2,3","0.338733434677,0.332677274942,0.328589260578",4.58031991424363,1.25
confirm_medium_seed19_safety04_e14_t30_u1,medium,19,safety,14,1784413366,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,1,missile,2.0,"1,2,3","0.338941544294,0.332589060068,0.328469395638",4.58031991424363,2.0
confirm_medium_seed19_safety05_e14_t30_u0,medium,19,safety,14,1784413366,30,df30803263b4b250af5c74a031a74b15db24280a6fb4459723a892d62e217c82,0,missile,2.0,"1,2,3","0.338933199644,0.33250901103,0.328557789326",4.58031991424363,2.0
confirm_medium_seed19_resource00_e00_t46_u1,medium,19,resource,0,1784413352,46,79b606bd529e34c2129ddc0f7714ab1b878c87bdad08978560f898af5d3f886b,1,missile,2.0,"0,2,4","0.33058154583,0.335335850716,0.334082603455",0.8322442755458024,2.0
