context_id,scenario,policy_seed,slot,repeat,target_index,target_probability,unit_index,resource_type,unit_cost,current_probe_cost_n,current_probe_cost_e,current_other_cost_n,current_other_cost_e,future_probe_cost_n,future_probe_cost_e,future_other_cost_n,future_other_cost_e,future_probe_shots_n,future_probe_shots_e,future_other_shots_n,future_other_shots_e,first_future_shot_n,first_future_shot_e,first_substitution_step,direct_cost,current_other_delta,same_step_other_sub_cost,future_sub_cost_probe,future_sub_cost_other,future_sub_cost,sub_cost_probe,sub_cost_other,sub_cost,sub_shot_probe,sub_shot_other,sub_shot,episode_cost_delta,rho_sub,cost_sign_masked,protocol_residual,future_only_residual,extended_residual,sub_cost_decomposition_residual
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,0,0,0.3302849531173706,2,laser,0.5,0.0,0.5,0.0,0.0,0.5,0.5,12.0,12.0,1.0,1.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,0,2,0.32942718267440796,2,laser,0.5,0.0,0.5,0.0,0.0,0.5,0.0,12.0,12.0,1.0,0.0,6.0,6.0,1,1,1,0.5,0.0,-0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,1.0,True,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,0,3,0.3402878940105438,2,laser,0.5,0.0,0.5,0.0,0.0,0.5,0.0,12.0,12.0,1.0,0.0,6.0,6.0,1,1,1,0.5,0.0,-0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,1.0,True,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,1,0,0.3302849531173706,2,laser,0.5,0.0,0.5,0.0,0.0,1.0,1.0,12.0,12.0,2.0,2.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,1,2,0.32942718267440796,2,laser,0.5,0.0,0.5,0.0,0.0,1.0,1.0,12.0,12.0,2.0,2.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,1,3,0.3402878940105438,2,laser,0.5,0.0,0.5,0.0,0.0,1.0,1.0,12.0,12.0,2.0,2.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,2,0,0.3302849531173706,2,laser,0.5,0.0,0.5,0.0,0.0,1.5,1.5,8.0,8.0,3.0,3.0,4.0,4.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,2,2,0.32942718267440796,2,laser,0.5,0.0,0.5,0.0,0.0,1.5,1.5,8.0,8.0,3.0,3.0,4.0,4.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,2,3,0.3402878940105438,2,laser,0.5,0.0,0.5,0.0,0.0,1.5,1.0,8.0,8.0,3.0,2.0,4.0,4.0,1,1,4,0.5,0.0,-0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,1.0,True,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,3,0,0.3302849531173706,2,laser,0.5,0.0,0.5,0.0,0.0,3.0,3.0,12.0,12.0,6.0,6.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,3,2,0.32942718267440796,2,laser,0.5,0.0,0.5,0.0,0.0,3.0,3.0,12.0,12.0,6.0,6.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,3,3,0.3402878940105438,2,laser,0.5,0.0,0.5,0.0,0.0,3.0,2.5,12.0,12.0,6.0,5.0,6.0,6.0,1,1,3,0.5,0.0,-0.0,0.5,0.0,0.5,0.5,0.0,0.5,1.0,0.0,1.0,0.0,1.0,True,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,4,0,0.3302849531173706,2,laser,0.5,0.0,0.5,0.0,0.0,2.0,2.0,12.0,12.0,4.0,4.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,4,2,0.32942718267440796,2,laser,0.5,0.0,0.5,0.0,0.0,2.0,2.0,12.0,12.0,4.0,4.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,4,3,0.3402878940105438,2,laser,0.5,0.0,0.5,0.0,0.0,2.0,2.0,12.0,12.0,4.0,4.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,5,0,0.3302849531173706,2,laser,0.5,0.0,0.5,0.0,0.0,2.5,2.5,12.0,12.0,5.0,5.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,5,2,0.32942718267440796,2,laser,0.5,0.0,0.5,0.0,0.0,2.5,2.5,12.0,12.0,5.0,5.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,5,3,0.3402878940105438,2,laser,0.5,0.0,0.5,0.0,0.0,2.5,2.5,12.0,12.0,5.0,5.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,6,0,0.3302849531173706,2,laser,0.5,0.0,0.5,0.0,0.0,0.5,0.5,12.0,12.0,1.0,1.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,6,2,0.32942718267440796,2,laser,0.5,0.0,0.5,0.0,0.0,0.5,0.5,12.0,12.0,1.0,1.0,6.0,6.0,1,1,,0.5,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,False,0.0,0.0,0.0,0.0
