context_id,scenario,policy_seed,slot,target_index,target_probability,repeat_count,sub_shot_mean,sub_shot_standard_error,sub_shot_lower,sub_shot_upper,sub_cost_mean,sub_cost_standard_error,sub_cost_lower,sub_cost_upper,reuse_probe_mean,reuse_probe_standard_error,reuse_probe_lower,reuse_probe_upper,reuse_total_mean,reuse_total_standard_error,reuse_total_lower,reuse_total_upper,option_edge_mean,option_edge_standard_error,option_edge_lower,option_edge_upper,option_threat_mean,option_threat_standard_error,option_threat_lower,option_threat_upper,ammo_gain_damage_mean,ammo_gain_damage_standard_error,ammo_gain_damage_lower,ammo_gain_damage_upper,ammo_gain_leaks_mean,ammo_gain_leaks_standard_error,ammo_gain_leaks_lower,ammo_gain_leaks_upper
heterogeneity_pressure_seed10_resource00_e08_t49_u0,heterogeneity_pressure,10,resource,2,1.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_resource01_e08_t48_u0,heterogeneity_pressure,10,resource,2,1.0,32,0.4375,0.08909830562090465,0.2628673209830269,0.6121326790169731,1.1468749999999999,0.2163193006149668,0.722889170794665,1.5708608292053348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_resource02_e08_t47_u0,heterogeneity_pressure,10,resource,2,1.0,32,0.46875,0.1098420328354285,0.25345961564256014,0.6840403843574399,0.871875,0.23416522870545362,0.41291115173731086,1.330838848262689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_resource03_e08_t46_u0,heterogeneity_pressure,10,resource,2,1.0,32,0.71875,0.17525542994671078,0.37524935730444686,1.0622506426955531,1.571875,0.29293544837612695,0.9977215211827911,2.146028478817209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_resource04_e08_t45_u0,heterogeneity_pressure,10,resource,2,1.0,32,0.5625,0.16150439422764543,0.245951387313815,0.879048612686185,1.2953124999999999,0.29350632802672905,0.720040097067611,1.8705849029323889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_resource05_e08_t44_u0,heterogeneity_pressure,10,resource,2,1.0,32,0.65625,0.18299356039260312,0.2975826216304979,1.014917378369502,1.0781249999999998,0.3196830705949253,0.4515461816339462,1.7047038183660534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,0,0.2562214434146881,32,0.15625,0.11098327940032954,-0.06127722762464588,0.3737772276246459,0.196875,0.1506862243393375,-0.09846999970510154,0.49221999970510155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,2,0.24879786372184753,32,-0.5,0.23331413131434564,-0.9572956973761175,-0.04270430262388253,-0.6,0.2931423880598289,-1.1745590805972645,-0.025440919402735407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,3,0.2546534836292267,32,-0.125,0.125,-0.37,0.12,-0.07031250000000003,0.07031250000000003,-0.2081250000000001,0.06750000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heterogeneity_pressure_seed10_safety00_e10_t40_u2,heterogeneity_pressure,10,safety,4,0.2403271645307541,32,0.40625,0.20507362466260273,0.004305695661298625,0.8081943043387014,0.5374999999999999,0.35280414698389273,-0.15399612808842988,1.2289961280884296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
