context_id,scenario,policy_seed,repeat,a_total_return_delta,a_zone_damage_delta,a_high_threat_leaks_delta,a_resource_cost_delta,b_total_return_delta,b_zone_damage_delta,b_high_threat_leaks_delta,b_resource_cost_delta,c_total_return_delta,c_zone_damage_delta,c_high_threat_leaks_delta,c_resource_cost_delta
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,0,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,1,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,2,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,3,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,4,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,6,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,7,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,8,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,9,53.384280788567224,-0.8027043158137577,0.0,0.5,53.384280788567224,-0.8027043158137577,0.0,0.5,53.384280788567224,-0.8027043158137577,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,10,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,11,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5,-0.5,0.0,0.0,0.5
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,12,53.384280788567224,-0.8027043158137577,0.0,0.5,53.384280788567224,-0.8027043158137577,0.0,0.5,53.384280788567224,-0.8027043158137577,0.0,0.5
