method,train_scenario,eval_scenario,timesteps,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
bpce_ppo_order_012,time_pressure,time_pressure,0,avg_reward,1,-50.16543250868601,0.0,0.0,0.95,-50.16543250868601,-50.16543250868601
bpce_ppo_order_012,time_pressure,time_pressure,0,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,time_pressure,time_pressure,0,intercept_rate,1,0.5,0.0,0.0,0.95,0.5,0.5
bpce_ppo_order_012,time_pressure,time_pressure,0,avg_total_damage,1,1.4022493529321793,0.0,0.0,0.95,1.4022493529321793,1.4022493529321793
bpce_ppo_order_012,time_pressure,time_pressure,0,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,time_pressure,time_pressure,1024,avg_reward,1,-63.979296021696825,0.0,0.0,0.95,-63.979296021696825,-63.979296021696825
bpce_ppo_order_012,time_pressure,time_pressure,1024,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,time_pressure,time_pressure,1024,intercept_rate,1,0.4,0.0,0.0,0.95,0.4,0.4
bpce_ppo_order_012,time_pressure,time_pressure,1024,avg_total_damage,1,1.78471764969744,0.0,0.0,0.95,1.78471764969744,1.78471764969744
bpce_ppo_order_012,time_pressure,time_pressure,1024,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,time_pressure,time_pressure,512,avg_reward,1,-47.6225152298456,0.0,0.0,0.95,-47.6225152298456,-47.6225152298456
bpce_ppo_order_012,time_pressure,time_pressure,512,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_ppo_order_012,time_pressure,time_pressure,512,intercept_rate,1,0.5,0.0,0.0,0.95,0.5,0.5
bpce_ppo_order_012,time_pressure,time_pressure,512,avg_total_damage,1,1.331413597964037,0.0,0.0,0.95,1.331413597964037,1.331413597964037
bpce_ppo_order_012,time_pressure,time_pressure,512,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,0,avg_reward,1,-50.16543250868601,0.0,0.0,0.95,-50.16543250868601,-50.16543250868601
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,0,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,0,intercept_rate,1,0.5,0.0,0.0,0.95,0.5,0.5
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,0,avg_total_damage,1,1.4022493529321793,0.0,0.0,0.95,1.4022493529321793,1.4022493529321793
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,0,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,1024,avg_reward,1,-63.979296021696825,0.0,0.0,0.95,-63.979296021696825,-63.979296021696825
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,1024,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,1024,intercept_rate,1,0.4,0.0,0.0,0.95,0.4,0.4
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,1024,avg_total_damage,1,1.78471764969744,0.0,0.0,0.95,1.78471764969744,1.78471764969744
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,1024,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,512,avg_reward,1,-47.6225152298456,0.0,0.0,0.95,-47.6225152298456,-47.6225152298456
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,512,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,512,intercept_rate,1,0.5,0.0,0.0,0.95,0.5,0.5
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,512,avg_total_damage,1,1.331413597964037,0.0,0.0,0.95,1.331413597964037,1.331413597964037
bpce_random_probe_ppo_order_012,time_pressure,time_pressure,512,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,0,avg_reward,1,-50.16543250868601,0.0,0.0,0.95,-50.16543250868601,-50.16543250868601
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,0,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,0,intercept_rate,1,0.5,0.0,0.0,0.95,0.5,0.5
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,0,avg_total_damage,1,1.4022493529321793,0.0,0.0,0.95,1.4022493529321793,1.4022493529321793
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,0,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,1024,avg_reward,1,-63.979296021696825,0.0,0.0,0.95,-63.979296021696825,-63.979296021696825
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,1024,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,1024,intercept_rate,1,0.4,0.0,0.0,0.95,0.4,0.4
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,1024,avg_total_damage,1,1.78471764969744,0.0,0.0,0.95,1.78471764969744,1.78471764969744
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,1024,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,512,avg_reward,1,-47.6225152298456,0.0,0.0,0.95,-47.6225152298456,-47.6225152298456
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,512,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,512,intercept_rate,1,0.5,0.0,0.0,0.95,0.5,0.5
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,512,avg_total_damage,1,1.331413597964037,0.0,0.0,0.95,1.331413597964037,1.331413597964037
factorized_engagement_ar_ppo_order_012,time_pressure,time_pressure,512,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
