context_id,present_in_reference,present_in_rebuild,scenario,policy_seed,slot,maximum_probability_difference,matched,mismatch_fields
time_pressure_seed8_resource00_e08_t04_u0,True,True,time_pressure,8,resource,3.6778913248269873e-13,True,
time_pressure_seed8_resource01_e06_t04_u1,True,True,time_pressure,8,resource,0.0,True,
time_pressure_seed8_resource02_e06_t04_u0,True,True,time_pressure,8,resource,8.93729534823251e-14,True,
time_pressure_seed8_resource03_e09_t04_u1,True,True,time_pressure,8,resource,1.2212453270876722e-15,True,
time_pressure_seed8_resource04_e09_t04_u0,True,True,time_pressure,8,resource,2.3109292257572633e-13,True,
time_pressure_seed8_resource05_e07_t04_u0,True,True,time_pressure,8,resource,3.7109204598095857e-13,True,
time_pressure_seed8_safety00_e06_t29_u2,True,True,time_pressure,8,safety,0.0,True,
time_pressure_seed8_safety01_e01_t23_u2,True,True,time_pressure,8,safety,0.0,True,
time_pressure_seed8_safety02_e01_t21_u2,True,True,time_pressure,8,safety,1.8751666885918894e-13,True,
time_pressure_seed8_safety03_e06_t28_u2,True,True,time_pressure,8,safety,0.0,True,
time_pressure_seed8_safety04_e01_t20_u2,True,True,time_pressure,8,safety,2.471911564327911e-13,True,
time_pressure_seed8_safety05_e01_t22_u2,True,True,time_pressure,8,safety,0.0,True,
time_pressure_seed9_resource00_e05_t04_u0,True,True,time_pressure,9,resource,0.0,True,
time_pressure_seed9_resource01_e02_t04_u1,True,True,time_pressure,9,resource,1.308397834520747e-13,True,
time_pressure_seed9_resource02_e10_t04_u0,True,True,time_pressure,9,resource,4.981015599980765e-13,True,
time_pressure_seed9_resource03_e06_t04_u1,True,True,time_pressure,9,resource,4.470313008653193e-13,True,
time_pressure_seed9_resource04_e04_t04_u0,True,True,time_pressure,9,resource,4.005129561335252e-13,True,
time_pressure_seed9_resource05_e11_t04_u0,True,True,time_pressure,9,resource,4.525269048372138e-13,True,
time_pressure_seed9_safety00_e01_t30_u2,True,True,time_pressure,9,safety,0.0,True,
time_pressure_seed9_safety01_e01_t29_u2,True,True,time_pressure,9,safety,0.0,True,
time_pressure_seed9_safety02_e07_t16_u2,True,True,time_pressure,9,safety,0.0,True,
time_pressure_seed9_safety03_e09_t18_u2,True,True,time_pressure,9,safety,2.3725466036239595e-13,True,
time_pressure_seed9_safety04_e01_t20_u2,True,True,time_pressure,9,safety,0.0,True,
time_pressure_seed9_safety05_e08_t13_u2,True,True,time_pressure,9,safety,1.010858063921205e-13,True,
time_pressure_seed10_resource00_e11_t04_u1,True,True,time_pressure,10,resource,4.097833183891453e-13,True,
time_pressure_seed10_resource01_e04_t04_u1,True,True,time_pressure,10,resource,3.497202527569243e-13,True,
time_pressure_seed10_resource02_e01_t04_u1,True,True,time_pressure,10,resource,0.0,True,
time_pressure_seed10_resource03_e04_t04_u0,True,True,time_pressure,10,resource,4.751199433883357e-13,True,
time_pressure_seed10_resource04_e01_t04_u0,True,True,time_pressure,10,resource,4.813927034774679e-13,True,
time_pressure_seed10_resource05_e09_t04_u1,True,True,time_pressure,10,resource,0.0,True,
time_pressure_seed10_safety00_e09_t24_u2,True,True,time_pressure,10,safety,0.0,True,
time_pressure_seed10_safety01_e04_t16_u2,True,True,time_pressure,10,safety,2.9098945475425353e-13,True,
time_pressure_seed10_safety02_e09_t23_u2,True,True,time_pressure,10,safety,0.0,True,
time_pressure_seed10_safety03_e09_t22_u2,True,True,time_pressure,10,safety,0.0,True,
time_pressure_seed10_safety04_e04_t15_u2,True,True,time_pressure,10,safety,3.293476602550527e-13,True,
time_pressure_seed10_safety05_e03_t12_u2,True,True,time_pressure,10,safety,2.2359891715950653e-13,True,
heterogeneity_pressure_seed8_resource00_e10_t49_u0,True,True,heterogeneity_pressure,8,resource,8.837375276016246e-14,True,
heterogeneity_pressure_seed8_resource01_e04_t45_u0,True,True,heterogeneity_pressure,8,resource,1.687538997430238e-14,True,
heterogeneity_pressure_seed8_resource02_e10_t48_u0,True,True,heterogeneity_pressure,8,resource,2.0949908474676704e-13,True,
heterogeneity_pressure_seed8_resource03_e04_t44_u0,True,True,heterogeneity_pressure,8,resource,1.701971896750365e-13,True,
heterogeneity_pressure_seed8_resource04_e10_t47_u0,True,True,heterogeneity_pressure,8,resource,3.4916514124461173e-13,True,
heterogeneity_pressure_seed8_resource05_e09_t49_u0,True,True,heterogeneity_pressure,8,resource,4.741762538174044e-13,True,
heterogeneity_pressure_seed8_safety00_e00_t23_u2,True,True,heterogeneity_pressure,8,safety,4.97019092549067e-13,True,
heterogeneity_pressure_seed8_safety01_e00_t23_u1,True,True,heterogeneity_pressure,8,safety,1.934286064653179e-13,True,
heterogeneity_pressure_seed8_safety02_e00_t23_u0,True,True,heterogeneity_pressure,8,safety,4.955480470414386e-13,True,
heterogeneity_pressure_seed8_safety03_e07_t40_u2,True,True,heterogeneity_pressure,8,safety,1.4988010832439613e-13,True,
heterogeneity_pressure_seed8_safety04_e07_t40_u1,True,True,heterogeneity_pressure,8,safety,3.446132268436486e-13,True,
heterogeneity_pressure_seed8_safety05_e07_t40_u0,True,True,heterogeneity_pressure,8,safety,4.152789223610398e-13,True,
heterogeneity_pressure_seed9_resource00_e02_t04_u0,True,True,heterogeneity_pressure,9,resource,0.0,True,
heterogeneity_pressure_seed9_resource01_e10_t04_u0,True,True,heterogeneity_pressure,9,resource,4.440892098500626e-13,True,
heterogeneity_pressure_seed9_resource02_e07_t04_u0,True,True,heterogeneity_pressure,9,resource,3.02174951727352e-13,True,
heterogeneity_pressure_seed9_resource03_e02_t02_u0,True,True,heterogeneity_pressure,9,resource,0.0,True,
heterogeneity_pressure_seed9_resource04_e08_t04_u0,True,True,heterogeneity_pressure,9,resource,2.506328478091291e-13,True,
heterogeneity_pressure_seed9_resource05_e10_t02_u0,True,True,heterogeneity_pressure,9,resource,4.836964162535651e-13,True,
heterogeneity_pressure_seed9_safety00_e02_t45_u2,True,True,heterogeneity_pressure,9,safety,0.0,True,
heterogeneity_pressure_seed9_safety01_e00_t26_u2,True,True,heterogeneity_pressure,9,safety,3.632649736573512e-13,True,
heterogeneity_pressure_seed9_safety02_e00_t25_u2,True,True,heterogeneity_pressure,9,safety,3.770872503139344e-13,True,
heterogeneity_pressure_seed9_safety03_e02_t44_u2,True,True,heterogeneity_pressure,9,safety,0.0,True,
heterogeneity_pressure_seed9_safety04_e00_t24_u2,True,True,heterogeneity_pressure,9,safety,4.55580018154933e-13,True,
heterogeneity_pressure_seed9_safety05_e00_t23_u2,True,True,heterogeneity_pressure,9,safety,3.469446951953614e-13,True,
heterogeneity_pressure_seed10_resource00_e08_t49_u0,True,True,heterogeneity_pressure,10,resource,0.0,True,
heterogeneity_pressure_seed10_resource01_e08_t48_u0,True,True,heterogeneity_pressure,10,resource,0.0,True,
heterogeneity_pressure_seed10_resource02_e08_t47_u0,True,True,heterogeneity_pressure,10,resource,0.0,True,
heterogeneity_pressure_seed10_resource03_e08_t46_u0,True,True,heterogeneity_pressure,10,resource,0.0,True,
heterogeneity_pressure_seed10_resource04_e08_t45_u0,True,True,heterogeneity_pressure,10,resource,0.0,True,
heterogeneity_pressure_seed10_resource05_e08_t44_u0,True,True,heterogeneity_pressure,10,resource,0.0,True,
