context_id,scenario,policy_seed,slot,minimum_horizon,maximum_horizon,mean_horizon,short_label,full_label,label_changed,short_zone_damage_mean,full_zone_damage_mean,short_high_threat_leaks_mean,full_high_threat_leaks_mean,short_resource_cost_mean,full_resource_cost_mean,extra_transitions,projected_window_transitions,projected_saved_transitions
time_pressure_seed8_safety00_e06_t29_u2,time_pressure,8,safety,2,2,2.0,AMBIGUOUS,AMBIGUOUS,False,-0.15050705921507956,-0.15050705921507956,0.0,0.0,0.5,0.5,64,64,0
time_pressure_seed8_safety01_e01_t23_u2,time_pressure,8,safety,2,2,2.0,ENGAGE,ENGAGE,False,-0.15945637378287492,-0.15945637378287492,-0.25,-0.25,0.5,0.5,64,64,0
time_pressure_seed8_safety02_e01_t21_u2,time_pressure,8,safety,2,4,3.0,ENGAGE,ENGAGE,False,-0.14350590942542477,-0.14350590942542474,-0.015615941025316715,-0.015615941025316715,0.4609601623378694,0.4609601623378694,275,245,30
time_pressure_seed8_safety03_e06_t28_u2,time_pressure,8,safety,3,3,3.0,ENGAGE,ENGAGE,False,-0.20067607895343942,-0.20067607895343942,0.0,0.0,0.4375,0.4375,120,120,0
time_pressure_seed8_safety04_e01_t20_u2,time_pressure,8,safety,3,5,4.0,ENGAGE,ENGAGE,False,-0.13696517769611344,-0.13696517769611344,-0.0624636672437191,-0.0624636672437191,0.47657610988244414,0.47657610988244414,358,331,27
time_pressure_seed8_safety05_e01_t22_u2,time_pressure,8,safety,3,3,3.0,AMBIGUOUS,AMBIGUOUS,False,-0.13952432706001555,-0.13952432706001555,-0.21875,-0.21875,0.453125,0.453125,121,121,0
time_pressure_seed8_resource00_e08_t04_u0,time_pressure,8,resource,21,30,26.75,AMBIGUOUS,AMBIGUOUS,False,-0.09781403312125236,-0.11341707409126567,-0.017347272019833326,-0.009312328416854143,-0.047279162565246224,-0.047279162565246224,4143,3962,181
time_pressure_seed8_resource01_e06_t04_u1,time_pressure,8,resource,30,30,30.0,AMBIGUOUS,AMBIGUOUS,False,0.039847584951048134,0.039847584951048134,0.0,0.0,0.046875,0.046875,1807,1807,0
time_pressure_seed8_resource02_e06_t04_u0,time_pressure,8,resource,30,31,30.5,AMBIGUOUS,AMBIGUOUS,False,-0.044708650925825134,-0.044708650925825134,-0.015450026839971542,-0.015450026839971542,-0.061450161039829254,-0.061450161039829254,2705,2705,0
time_pressure_seed8_resource03_e09_t04_u1,time_pressure,8,resource,20,27,23.5,AMBIGUOUS,AMBIGUOUS,False,-0.010054783459760361,-0.047046355055869606,0.0,-0.015705803409218788,-0.03165401704609394,-0.008095311932265759,2437,2268,169
time_pressure_seed8_resource04_e09_t04_u0,time_pressure,8,resource,20,27,24.333333333333332,AMBIGUOUS,AMBIGUOUS,False,0.08881116034126497,0.08653448204989025,0.021045073866844177,0.03125,0.07838160777464509,0.06307421857491136,3265,3086,179
time_pressure_seed8_resource05_e07_t04_u0,time_pressure,8,resource,17,33,24.0,AMBIGUOUS,AMBIGUOUS,False,-0.00011326413854859801,-0.006555950731572169,0.01025423128157854,-0.010317796841263771,-0.025900420732796192,0.0,4520,3339,1181
time_pressure_seed9_safety00_e01_t30_u2,time_pressure,9,safety,5,5,5.0,AMBIGUOUS,AMBIGUOUS,False,0.11313482285162647,0.11313482285162647,0.15625,0.15625,0.0,0.0,233,233,0
time_pressure_seed9_safety01_e01_t29_u2,time_pressure,9,safety,6,6,6.0,STOP,STOP,False,0.09050785828130117,0.09050785828130117,0.125,0.125,0.140625,0.140625,298,298,0
time_pressure_seed9_safety02_e07_t16_u2,time_pressure,9,safety,7,7,7.0,AMBIGUOUS,AMBIGUOUS,False,-0.08287079633235339,0.006073875310874999,0.0,0.09375,0.46875,0.1875,1001,448,553
time_pressure_seed9_safety03_e09_t18_u2,time_pressure,9,safety,4,8,6.0,STOP,AMBIGUOUS,True,0.03069715432486494,0.04517687792949078,0.015758536756038666,0.031250000931322575,0.04647439252585173,0.0,1344,640,704
time_pressure_seed9_safety04_e01_t20_u2,time_pressure,9,safety,9,9,9.0,AMBIGUOUS,AMBIGUOUS,False,-0.13151213106273096,-0.06363123735175508,0.0,0.09375,0.25,0.03125,840,573,267
time_pressure_seed9_safety05_e08_t13_u2,time_pressure,9,safety,8,20,14.333333333333334,AMBIGUOUS,AMBIGUOUS,False,-0.08472775860719128,-0.00791197674797772,-0.05158719979226589,-0.03139181435108185,0.0,0.0,1957,1627,330
time_pressure_seed9_resource00_e05_t04_u0,time_pressure,9,resource,22,22,22.0,AMBIGUOUS,AMBIGUOUS,False,-0.01345838483657582,-0.01345838483657582,0.0,0.0,-0.328125,-0.328125,1388,1388,0
time_pressure_seed9_resource01_e02_t04_u1,time_pressure,9,resource,19,30,25.333333333333332,AMBIGUOUS,AMBIGUOUS,False,0.05250058740092566,0.12412964976730395,0.01033051498234272,0.10445319674909115,0.005244149826467037,0.0,4580,3390,1190
