scenario,policy_seed,unit_position,unique_states,unique_contexts,action_pair_rows,legal_action_count_min,legal_action_count_mean,legal_action_count_max,ds_min,ds_mean,ds_iqr,ds_max,noop_engage_pair_rows,engage_engage_pair_rows
heterogeneity_pressure,0,0,105,105,901,3,4.514285714285714,6,0.0,0.39594945790680325,0.3214285714285714,0.8,369,532
heterogeneity_pressure,0,1,158,158,834,2,3.569620253164557,6,0.0,0.24966027178257394,0.4,0.6666666666666667,406,428
heterogeneity_pressure,1,0,105,105,901,3,4.514285714285714,6,0.0,0.39594945790680325,0.3214285714285714,0.8,369,532
heterogeneity_pressure,1,1,158,158,847,2,3.588607594936709,6,0.0,0.24828807556080285,0.4,0.6666666666666667,409,438
heterogeneity_pressure,2,0,105,105,901,3,4.514285714285714,6,0.0,0.39594945790680325,0.3214285714285714,0.8,369,532
heterogeneity_pressure,2,1,158,158,820,2,3.5126582278481013,6,0.0,0.24396341463414636,0.4,0.6666666666666667,397,423
medium,0,0,100,100,732,2,4.12,6,0.0,0.4616704968994219,0.19191919191919193,0.8,312,420
medium,0,1,180,180,1463,2,4.3277777777777775,6,0.0,0.22008430166324908,0.33333333333333337,0.6666666666666667,599,864
medium,1,0,100,100,732,2,4.12,6,0.0,0.4616704968994219,0.19191919191919193,0.8,312,420
medium,1,1,180,180,1463,2,4.3277777777777775,6,0.0,0.22008430166324908,0.33333333333333337,0.6666666666666667,599,864
medium,2,0,100,100,732,2,4.12,6,0.0,0.4616704968994219,0.19191919191919193,0.8,312,420
medium,2,1,172,172,1440,2,4.406976744186046,6,0.0,0.21763888888888897,0.33333333333333337,0.6666666666666667,586,854
time_pressure,0,0,105,105,914,2,4.419047619047619,6,0.0,0.4306601360732448,0.2291434927697441,0.8,359,555
time_pressure,0,1,166,166,1516,2,4.5843373493975905,6,0.0,0.2353891820580475,0.4,0.6666666666666667,595,921
time_pressure,1,0,105,105,914,2,4.419047619047619,6,0.0,0.4306601360732448,0.2291434927697441,0.8,359,555
time_pressure,1,1,166,166,1530,2,4.602409638554217,6,0.0,0.235119825708061,0.33333333333333337,0.6666666666666667,598,932
time_pressure,2,0,105,105,914,2,4.419047619047619,6,0.0,0.4306601360732448,0.2291434927697441,0.8,359,555
time_pressure,2,1,164,164,1519,2,4.609756097560975,6,0.0,0.2339148562650867,0.33333333333333337,0.6666666666666667,592,927
