group,contexts,mean_direct_cost,same_step_nonzero_rate,same_step_reliable_positive_rate,future_probe_reliable_positive_rate,future_other_reliable_positive_rate,total_substitution_reliable_positive_rate,negative_or_zero_episode_delta_rate,mean_cost_sign_masked_rate,contexts_majority_masked_rate,mean_substitution_ratio
overall,108,1.2537036930797276,0.1574074074074074,0.1388888888888889,0.7962962962962963,0.18518518518518517,0.8611111111111112,0.37037037037037035,0.6744791666666666,0.7222222222222222,0.6927410356133638
resource_type=laser,56,0.419642856876765,0.0,0.0,0.8035714285714286,0.21428571428571427,0.8571428571428571,0.5,0.6891741071428571,0.6964285714285714,0.7287829552677326
resource_type=missile,52,2.151923055144457,0.3269230769230769,0.28846153846153844,0.7884615384615384,0.15384615384615385,0.8653846153846154,0.23076923076923078,0.6586538461538461,0.75,0.6539266606009669
scenario=heterogeneity_pressure,36,1.3444444374077849,0.08333333333333333,0.05555555555555555,0.9722222222222222,0.1111111111111111,0.9722222222222222,0.4444444444444444,0.8098958333333334,0.8888888888888888,0.9285801971894531
scenario=heterogeneity_pressure|resource_type=laser,18,0.2500000008278423,0.0,0.0,0.9444444444444444,0.1111111111111111,0.9444444444444444,0.5555555555555556,0.7534722222222222,0.7777777777777778,0.9197192274137505
scenario=heterogeneity_pressure|resource_type=missile,18,2.4388888739877275,0.16666666666666666,0.1111111111111111,1.0,0.1111111111111111,1.0,0.3333333333333333,0.8663194444444444,1.0,0.9374411669651553
scenario=medium,36,1.2083333200878568,0.1388888888888889,0.1111111111111111,0.7777777777777778,0.25,0.8611111111111112,0.3055555555555556,0.6336805555555556,0.6944444444444444,0.5359806632687751
scenario=medium|resource_type=laser,19,0.5000000015685433,0.0,0.0,0.7368421052631579,0.3157894736842105,0.8421052631578947,0.3684210526315789,0.6332236842105263,0.631578947368421,0.4858389201230909
scenario=medium|resource_type=missile,17,1.9999999701976776,0.29411764705882354,0.23529411764705882,0.8235294117647058,0.17647058823529413,0.8823529411764706,0.23529411764705882,0.6341911764705882,0.7647058823529411,0.5920214350198341
scenario=time_pressure,36,1.2083333217435412,0.25,0.25,0.6388888888888888,0.19444444444444445,0.75,0.3611111111111111,0.5798611111111112,0.5833333333333334,0.613662246381864
scenario=time_pressure|resource_type=laser,19,0.4999999968629134,0.0,0.0,0.7368421052631579,0.21052631578947367,0.7894736842105263,0.5789473684210527,0.6842105263157895,0.6842105263157895,0.7908399957477262
scenario=time_pressure|resource_type=missile,17,1.9999999789630665,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.17647058823529413,0.7058823529411765,0.11764705882352941,0.4632352941176471,0.47058823529411764,0.41564005591413555
slot=resource,54,1.3175925801749584,0.24074074074074073,0.24074074074074073,0.7777777777777778,0.2222222222222222,0.9259259259259259,0.42592592592592593,0.6909722222222222,0.7222222222222222,0.863796213444185
slot=safety,54,1.189814805984497,0.07407407407407407,0.037037037037037035,0.8148148148148148,0.14814814814814814,0.7962962962962963,0.3148148148148148,0.6579861111111112,0.7222222222222222,0.5216858577825428
