context_id,scenario,policy_seed,slot,resource_type,legal_actions,positive_externality_actions,externality_min,externality_max,externality_span,audit_elapsed_ms
confirm_medium_seed17_safety00_e08_t28_u2,medium,17,safety,laser,3,0,0.0,0.0,0.0,2.2362999989127275
confirm_medium_seed17_safety01_e08_t28_u0,medium,17,safety,missile,4,0,0.0,0.0,0.0,2.827299998898525
confirm_medium_seed17_safety02_e08_t28_u1,medium,17,safety,missile,4,4,0.005620497945264646,0.04026376051527025,0.034643262570005606,2.871299999242183
confirm_medium_seed17_safety03_e05_t42_u2,medium,17,safety,laser,3,0,0.0,0.0,0.0,1.3391000029514544
confirm_medium_seed17_safety04_e05_t42_u0,medium,17,safety,missile,3,0,0.0,0.0,0.0,1.3273999975353945
confirm_medium_seed17_safety05_e05_t42_u1,medium,17,safety,missile,3,2,0.0,0.21004522875636455,0.21004522875636455,1.3147999998182058
confirm_medium_seed17_resource00_e22_t49_u0,medium,17,resource,missile,1,0,0.0,0.0,0.0,0.039599999581696466
confirm_medium_seed17_resource01_e22_t48_u0,medium,17,resource,missile,1,0,0.0,0.0,0.0,0.03590000051190145
confirm_medium_seed17_resource02_e22_t47_u0,medium,17,resource,missile,1,0,0.0,0.0,0.0,0.03440000000409782
confirm_medium_seed17_resource03_e22_t49_u2,medium,17,resource,laser,1,0,0.0,0.0,0.0,0.033299998904112726
confirm_medium_seed17_resource04_e22_t48_u2,medium,17,resource,laser,1,0,0.0,0.0,0.0,0.03309999738121405
confirm_medium_seed17_resource05_e22_t47_u2,medium,17,resource,laser,1,0,0.0,0.0,0.0,0.03279999873484485
confirm_medium_seed18_safety00_e08_t27_u2,medium,18,safety,laser,1,0,0.0,0.0,0.0,0.18430000272928737
confirm_medium_seed18_safety01_e14_t27_u2,medium,18,safety,laser,2,2,0.06091185180950998,0.15367478877915972,0.09276293696964974,0.12320000314502977
confirm_medium_seed18_safety02_e14_t26_u2,medium,18,safety,laser,2,0,0.0,0.0,0.0,0.20500000027823262
confirm_medium_seed18_safety03_e08_t26_u2,medium,18,safety,laser,1,0,0.0,0.0,0.0,0.1709000025584828
confirm_medium_seed18_safety04_e14_t25_u2,medium,18,safety,laser,2,0,0.0,0.0,0.0,0.2798000023176428
confirm_medium_seed18_safety05_e08_t25_u2,medium,18,safety,laser,1,0,0.0,0.0,0.0,0.20450000010896474
confirm_medium_seed18_resource00_e12_t04_u0,medium,18,resource,missile,3,3,0.14622238049396882,0.15765783241320733,0.011435451919238504,1.977600000827806
confirm_medium_seed18_resource01_e04_t04_u0,medium,18,resource,missile,4,4,0.2703025756221389,0.35344917356997296,0.08314659794783408,5.473299999721348
confirm_medium_seed18_resource02_e17_t04_u1,medium,18,resource,missile,2,2,0.09642093145720647,0.1035066162862159,0.007085684829009425,1.4350999990710989
confirm_medium_seed18_resource03_e06_t04_u2,medium,18,resource,laser,1,0,0.0,0.0,0.0,1.2354999998933636
confirm_medium_seed18_resource04_e23_t04_u2,medium,18,resource,laser,1,0,0.0,0.0,0.0,0.9257999990950339
confirm_medium_seed18_resource05_e04_t04_u2,medium,18,resource,laser,1,0,0.0,0.0,0.0,1.3208000018494204
confirm_medium_seed19_safety00_e01_t30_u1,medium,19,safety,missile,3,0,0.0,0.0,0.0,1.8514000003051478
confirm_medium_seed19_safety01_e01_t30_u0,medium,19,safety,missile,3,2,0.0,0.048049282071040755,0.048049282071040755,1.7482000002928544
confirm_medium_seed19_safety02_e01_t30_u2,medium,19,safety,laser,2,0,0.0,0.0,0.0,1.2238000017532613
confirm_medium_seed19_safety03_e14_t30_u2,medium,19,safety,laser,3,0,0.0,0.0,0.0,1.790199999959441
confirm_medium_seed19_safety04_e14_t30_u1,medium,19,safety,missile,3,2,0.0,0.08783215837019331,0.08783215837019331,1.7718000017339364
confirm_medium_seed19_safety05_e14_t30_u0,medium,19,safety,missile,3,0,0.0,0.0,0.0,1.7711000000417698
confirm_medium_seed19_resource00_e00_t46_u1,medium,19,resource,missile,3,2,0.0,0.05615197404283723,0.05615197404283723,1.2959000014234334
confirm_medium_seed19_resource01_e00_t46_u0,medium,19,resource,missile,3,0,0.0,0.0,0.0,1.2882000009994954
confirm_medium_seed19_resource02_e00_t45_u1,medium,19,resource,missile,3,0,0.0,0.0,0.0,1.5447000005224254
confirm_medium_seed19_resource03_e00_t46_u2,medium,19,resource,laser,3,0,0.0,0.0,0.0,1.59920000078273
confirm_medium_seed19_resource04_e00_t45_u2,medium,19,resource,laser,3,0,0.0,0.0,0.0,2.572500001406297
confirm_medium_seed19_resource05_e00_t48_u2,medium,19,resource,laser,2,0,0.0,0.0,0.0,0.7115999978850596
confirm_time_pressure_seed17_safety00_e06_t17_u2,time_pressure,17,safety,laser,2,1,0.0,0.13865002993405467,0.13865002993405467,0.24790000315988436
confirm_time_pressure_seed17_safety01_e17_t20_u2,time_pressure,17,safety,laser,3,3,0.13888142055341515,0.16437108643391557,0.025489665880500417,0.17870000010589138
confirm_time_pressure_seed17_safety02_e11_t20_u2,time_pressure,17,safety,laser,1,0,0.0,0.0,0.0,0.044299998990027234
confirm_time_pressure_seed17_safety03_e06_t16_u2,time_pressure,17,safety,laser,2,0,0.0,0.0,0.0,0.263700003415579
confirm_time_pressure_seed17_safety04_e11_t19_u2,time_pressure,17,safety,laser,1,0,0.0,0.0,0.0,0.06969999958528206
