method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,0-1-2,0,missile,0,4659,298,0.06396222365314445,615,317,0.5154471544715448,121,751,0.1611185086551265,0.7628806845248532,0.10233804582572822,0.45198112214689107,0,1684,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,0-1-2,1,missile,1,4659,109,0.023395578450311226,3535,3426,0.9691654879773691,48,4434,0.010825439783491205,0.7710339272149,0.09687909355227754,0.48488596999190486,182,10943,0.016631636662706752
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,0-1-2,2,laser,2,4659,946,0.20304786434857267,2250,1304,0.5795555555555556,348,1834,0.18974918211559433,0.7333843823278225,0.07890714936920447,0.6036050149903713,52,4323,0.012028683784408975
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,0-1-2,0,missile,0,3294,297,0.09016393442622951,516,219,0.42441860465116277,106,670,0.1582089552238806,0.7392508968463112,0.12699086155472086,0.541023296583114,0,1512,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,0-1-2,1,missile,1,3294,89,0.027018822100789312,2624,2535,0.9660823170731707,25,3231,0.00773754255648406,0.7142647277808284,0.08978721612707906,0.37203158611331133,206,8397,0.024532571156365368
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,0-1-2,2,laser,2,3294,929,0.28202792956891315,1804,875,0.48503325942350334,406,1600,0.25375,0.7645373068653737,0.0986561825458125,0.6008791111597459,65,3856,0.016856846473029045
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,0-1-2,0,missile,0,4659,298,0.06396222365314445,547,249,0.45521023765996343,134,607,0.22075782537067545,0.7757975890663489,0.12983368588099992,0.4893398514874894,0,1634,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,0-1-2,1,missile,1,4659,111,0.023824855119124275,3421,3310,0.9675533469745689,47,3882,0.012107161257083977,0.7572899368615447,0.06299065628668278,0.37617614271433897,112,9702,0.011544011544011544
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,0-1-2,2,laser,2,4659,905,0.19424769263790512,2244,1339,0.5967023172905526,330,1575,0.20952380952380953,0.7452852359123102,0.06273831285503154,0.584393087847823,7,4035,0.001734820322180917
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,0-1-2,0,missile,0,4639,300,0.06466910972192283,318,18,0.05660377358490566,129,377,0.3421750663129973,0.7654680932744045,0.14206823222038187,0.65006463571766,0,910,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,0-1-2,1,missile,1,4639,0,0.0,4633,4633,1.0,0,6353,0.0,0.0,0.0,0.0,248,15849,0.015647674932172378
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,0-1-2,2,laser,2,4639,375,0.08083638715240353,3894,3519,0.9036979969183359,146,3814,0.03828002097535396,0.7506722843423886,0.15199678965548258,0.6090441035445927,47,9069,0.00518248980041901
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,0-1-2,0,missile,0,3272,300,0.09168704156479218,317,17,0.05362776025236593,125,429,0.2913752913752914,0.7526609721832755,0.13091696896658103,0.5444130146444773,0,994,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,0-1-2,1,missile,1,3272,0,0.0,3262,3262,1.0,0,4715,0.0,0.0,0.0,0.0,252,11615,0.021696082651743435
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,0-1-2,2,laser,2,3272,230,0.07029339853300734,2844,2614,0.9191279887482419,103,3102,0.03320438426821406,0.7689284914277098,0.19880366248582268,0.6492087028236547,48,7228,0.006640841173215274
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,0-1-2,0,missile,0,4647,300,0.0645577792123951,316,16,0.05063291139240506,110,401,0.2743142144638404,0.7326726731481443,0.14675314337574855,0.5772728769221375,0,1004,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,0-1-2,1,missile,1,4647,0,0.0,4528,4528,1.0,0,5319,0.0,0.0,0.0,0.0,151,13750,0.010981818181818181
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,0-1-2,2,laser,2,4647,360,0.0774693350548741,3313,2953,0.8913371566555992,134,2523,0.053111375346809354,0.7340934239770706,0.09332339425700427,0.6411731817083326,3,6635,0.000452147701582517
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,0-1-2,0,missile,0,4550,300,0.06593406593406594,318,18,0.05660377358490566,130,394,0.3299492385786802,0.7549431138435968,0.13382352785959398,0.6292445903217744,0,917,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,0-1-2,1,missile,1,4550,0,0.0,4541,4541,1.0,0,6623,0.0,0.0,0.0,0.0,253,16131,0.015684086541441943
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,0-1-2,2,laser,2,4550,33,0.007252747252747253,3957,3924,0.9916603487490523,8,4140,0.001932367149758454,0.6884653330874287,0.21319509733827022,0.681462693888814,57,9621,0.005924540068599937
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,0-1-2,0,missile,0,3237,300,0.09267840593141798,302,2,0.006622516556291391,152,410,0.37073170731707317,0.7883657118702195,0.1618442937865932,0.6633140696942451,0,968,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,0-1-2,1,missile,1,3237,0,0.0,3226,3226,1.0,0,4541,0.0,0.0,0.0,0.0,259,11608,0.022312198483804273
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,0-1-2,2,laser,2,3237,5,0.0015446400988569664,2832,2827,0.9982344632768362,1,2996,0.0003337783711615487,0.6947681503003297,0.19982978487018002,0.5061761021924729,57,7369,0.0077351065273442805
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,2,2,0-1-2,0,missile,0,4584,300,0.06544502617801047,333,33,0.0990990990990991,103,407,0.25307125307125306,0.7355744727669461,0.13286663466359522,0.5547346948584624,0,1031,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,2,2,0-1-2,1,missile,1,4584,0,0.0,4441,4441,1.0,0,5497,0.0,0.0,0.0,0.0,145,14000,0.010357142857142856
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,2,2,0-1-2,2,laser,2,4584,13,0.0028359511343804536,3235,3222,0.9959814528593508,10,2673,0.0037411148522259632,0.8029698283154969,0.04859766074517462,0.45493530560449763,9,6910,0.0013024602026049203
