method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,-44.14232915312395,50,5,2,2,1.2948291594672243,13,13,2,0,False,0.06116860000111046,1.2233720000222092,0.8,1,0,0.0,1.2948291594672243,13,0,0.0,0,0.0,1.237397247347658,0.09518440364212753,11.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,1,30001,-86.33209441950775,50,5,1,3,2.293894936945792,16,16,1,0,False,0.05906160000449745,1.181232000089949,0.8,3,3,1.0,2.293894936945792,16,0,0.0,0,0.0,0.4726378148538694,0.029539863428366838,17.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,2,30002,-67.6663647731841,50,5,2,2,2.1452702180486263,13,13,2,0,False,0.05636159998175572,1.1272319996351143,0.8,3,1,0.3333333333333333,2.1452702180486263,13,0,0.0,0,0.0,1.1261140074695106,0.08662415442073158,11.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,3,30003,-116.89163066356332,41,5,1,3,2.709126956494752,13,13,1,0,False,0.051679799988050945,1.260482926537828,0.8,2,2,1.0,2.709126956494752,13,0,0.0,0,0.0,0.4630025888830737,0.03561558376023644,11.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,4,30004,-114.66792456832218,40,5,1,3,2.7434250416794237,13,13,1,0,False,0.043901099990762305,1.0975274997690576,0.8,4,3,0.75,2.7434250416794237,13,0,0.0,0,0.0,0.6624470906733876,0.0509574685133375,11.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,5,30005,-62.579809387307066,46,5,2,3,1.9246092724354806,14,14,2,0,False,0.052562499997293344,1.1426630434194205,0.8,4,2,0.5,1.9246092724354804,14,0,0.0,0,0.0,1.2730347047479647,0.09093105033914033,13.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,6,30006,-70.18873458174647,50,5,0,2,1.6062911527248858,16,16,0,0,False,0.05946629999016295,1.189325999803259,0.8,4,2,0.5,1.6062911527248858,16,0,0.0,0,0.0,0.0,0.0,17.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,7,30007,2.941391931767319,50,5,3,0,0.0,5,5,3,0,False,0.06395499999780441,1.2790999999560881,0.8,1,0,0.0,0.0,5,0,0.0,0,0.0,1.8596948210478712,0.37193896420957423,8.5
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,8,30008,-69.91973119509233,44,5,2,3,2.013373923730178,14,14,2,0,False,0.04971079999450012,1.129790908965912,0.8,1,1,1.0,2.013373923730178,14,0,0.0,0,0.0,1.2893071938998983,0.09209337099284988,16.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,9,30009,-127.359932870552,50,5,0,4,2.8786644290184022,13,13,0,0,False,0.056947500008391216,1.1389500001678243,0.8,3,3,1.0,2.878664429018402,13,0,0.0,0,0.0,0.0,0.0,11.0
