method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,never_legal,0,103,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,unassigned,67,103,0.6504854368932039
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,prefix_denied,7,103,0.06796116504854369
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,mismatched_resource,18,103,0.17475728155339806
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,attempted_miss,10,103,0.0970873786407767
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,resource_exhausted,1,103,0.009708737864077669
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,never_legal,0,117,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,unassigned,81,117,0.6923076923076923
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,prefix_denied,10,117,0.08547008547008547
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,mismatched_resource,15,117,0.1282051282051282
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,attempted_miss,11,117,0.09401709401709402
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,0,0,resource_exhausted,0,117,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,never_legal,0,100,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,unassigned,58,100,0.58
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,prefix_denied,5,100,0.05
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,mismatched_resource,18,100,0.18
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,attempted_miss,16,100,0.16
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,0,0,resource_exhausted,3,100,0.03
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,never_legal,0,107,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,unassigned,78,107,0.7289719626168224
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,prefix_denied,12,107,0.11214953271028037
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,mismatched_resource,7,107,0.06542056074766354
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,attempted_miss,10,107,0.09345794392523364
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,1,1,resource_exhausted,0,107,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,never_legal,0,145,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,unassigned,109,145,0.7517241379310344
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,prefix_denied,12,145,0.08275862068965517
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,mismatched_resource,7,145,0.04827586206896552
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,attempted_miss,17,145,0.11724137931034483
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,1,1,resource_exhausted,0,145,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,never_legal,0,117,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,unassigned,92,117,0.7863247863247863
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,prefix_denied,3,117,0.02564102564102564
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,mismatched_resource,11,117,0.09401709401709402
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,attempted_miss,11,117,0.09401709401709402
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,1,1,resource_exhausted,0,117,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,never_legal,0,129,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,unassigned,99,129,0.7674418604651163
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,prefix_denied,18,129,0.13953488372093023
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,mismatched_resource,0,129,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,attempted_miss,12,129,0.09302325581395349
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,2,2,resource_exhausted,0,129,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,never_legal,0,153,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,unassigned,114,153,0.7450980392156863
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,prefix_denied,18,153,0.11764705882352941
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,mismatched_resource,1,153,0.006535947712418301
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,attempted_miss,20,153,0.13071895424836602
autoregressive_ppo_order_012,learning_frozen_replay,medium,time_pressure,2,2,resource_exhausted,0,153,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,2,2,never_legal,0,125,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,2,2,unassigned,100,125,0.8
