method,method_type,train_scenario,eval_scenario,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,avg_reward,3,-79.9787288575676,9.325899266337075,5.384310451855044,0.95,-103.14554692077317,-56.811910794362035
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,avg_steps,3,46.300000000000004,0.4028647415696728,0.2325940669922596,0.95,45.29922850274463,47.300771497255376
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,success_rate,3,0.0033333333333333335,0.005773502691896258,0.0033333333333333335,0.95,0.0,0.01767550909898714
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,intercept_rate,3,0.19133333333333336,0.07710598766200544,0.044517162732790806,0.95,0.0,0.38287522508390304
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,leak_rate,3,0.5793333333333334,0.056083271421461606,0.0323796918522157,0.95,0.44001476379867754,0.7186519028679892
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,avg_total_damage,3,2.06050680978403,0.22306502099047662,0.1287866499156412,0.95,1.5063825789760747,2.614631040591985
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,avg_ammo_used,3,7.623333333333334,5.082856808265735,2.934588746504544,0.95,0.0,20.24984961401669
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,avg_shots,3,7.623333333333334,5.082856808265735,2.934588746504544,0.95,0.0,20.24984961401669
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,hit_rate_per_shot,3,0.14287208083873146,0.03915095988984574,0.02260381723143468,0.95,0.045615704926346354,0.24012845675111655
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,avg_invalid_actions,3,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,heterogeneity_pressure,avg_decision_time_ms,3,1.3233208571292696,0.18269222024295073,0.10547740253611801,0.95,0.8694882231859826,1.7771534910725566
