method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,step_index,unit_index,resource_type,unit_order,unit_order_position,selected_action,selected_target,selected_noop,base_action_legal,conditional_action_legal,ammo_before,cooldown_before,energy_before,num_base_legal_targets,num_conditional_legal_targets,num_conditional_high_threat_targets,prefix_denied_target_count,avoidable_noop,selected_high_threat,target_alive,target_threat,target_payload,target_time_to_impact,target_distance,hit_probability,damage_potential,expected_damage_reduction,best_expected_damage_reduction,matching_efficiency,target_already_selected_by_prefix,shot_fired,hit,target_intercepted,target_status_after
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,0,0,missile,0-1-2,0,4,4,False,True,True,3,0,1.0,4,4,1,0,False,True,True,0.8067134165472705,0.6736075970521073,26.291993247592792,53.536216735839844,0.3257426973230698,0.5434082860301025,0.17701128083915182,0.17701128083915182,1.0,False,True,True,True,intercepted
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,0,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,3,0,1,True,False,,,,,,,,,0.09916744188353584,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,0,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,1,0,missile,0-1-2,0,5,,True,True,True,2,1,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,1,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,3,3,0,0,True,False,,,,,,,,,0.10717591052976735,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,1,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,2,0,missile,0-1-2,0,1,1,False,True,True,2,0,1.0,3,3,0,0,False,False,True,0.7970796786112013,0.7767675542601649,48.79673418755868,75.96613311767578,0.09352709242876839,0.4953165060042409,0.04632551263855325,0.1564647755448933,0.29607630520814193,False,True,False,False,alive
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,2,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,3,0,1,True,False,,,,,,,,,0.11516819454897122,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,2,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,3,0,missile,0-1-2,0,5,,True,True,True,1,1,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,3,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,4,0,0,True,False,,,,,,,,,0.12314287734359576,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,3,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,4,0,missile,0-1-2,0,1,1,False,True,True,1,0,1.0,3,3,0,0,False,False,True,0.7970796786112013,0.7767675542601649,46.79672896647378,72.7750473022461,0.12656421616498165,0.4953165060042409,0.06268934533600418,0.16916625480505854,0.37057831308167966,False,True,False,False,alive
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,4,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,3,0,1,True,False,,,,,,,,,0.1310983475339261,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,4,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,0,0,30000,0,30000,5,0,missile,0-1-2,0,5,,True,True,True,0,1,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
