method,method_type,train_scenario,eval_scenario,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_reward,1,-44.14232915312395,0.0,0.0,0.95,-44.14232915312395,-44.14232915312395
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_steps,1,50.0,0.0,0.0,0.95,50.0,50.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,success_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,intercept_rate,1,0.4,0.0,0.0,0.95,0.4,0.4
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,leak_rate,1,0.4,0.0,0.0,0.95,0.4,0.4
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_total_damage,1,1.2948291594672243,0.0,0.0,0.95,1.2948291594672243,1.2948291594672243
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_ammo_used,1,13.0,0.0,0.0,0.95,13.0,13.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_shots,1,13.0,0.0,0.0,0.95,13.0,13.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,hit_rate_per_shot,1,0.15384615384615385,0.0,0.0,0.95,0.15384615384615385,0.15384615384615385
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_invalid_actions,1,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_decision_time_ms,1,0.9943939999357099,0.0,0.0,0.95,0.9943939999357099,0.9943939999357099
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,high_threat_leak_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_zone_weighted_damage,1,1.2948291594672243,0.0,0.0,0.95,1.2948291594672243,1.2948291594672243
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,assignment_conflict_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,overkill_rate,1,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,damage_reduction_per_ammo,1,0.09518440364212753,0.0,0.0,0.95,0.09518440364212753,0.09518440364212753
autoregressive_ppo_order_012,learning_frozen_replay,medium,medium,avg_resource_cost,1,11.0,0.0,0.0,0.95,11.0,11.0
