method,method_type,train_scenario,eval_scenario,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate
autoregressive_ppo_order_012,learning,medium,medium,0-1-2,0,missile,0,6911,449,0.0649688901750832,578,129,0.2231833910034602,174,642,0.27102803738317754,0.7544581301093307,0.1259576746189459,0.5870843707151412,0,1615,0.0
autoregressive_ppo_order_012,learning,medium,medium,0-1-2,1,missile,1,6911,55,0.007958327304297496,6274,6219,0.9912336627350973,21,8037,0.0026129152668906306,0.7241513542304446,0.09894058155554919,0.511650913905846,348,21031,0.016547002044600828
autoregressive_ppo_order_012,learning,medium,medium,0-1-2,2,laser,2,6911,602,0.08710750976703806,5062,4460,0.8810746740418807,186,4387,0.04239799407339868,0.7311976955685214,0.0940214151905525,0.6168433411472615,71,11571,0.006136029729496154
autoregressive_ppo_order_012,learning,medium,time_pressure,0-1-2,0,missile,0,5113,447,0.08742421279092509,659,212,0.3216995447647951,184,669,0.2750373692077728,0.7614870205410881,0.12186938489317282,0.5506521503610173,0,1781,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,0-1-2,1,missile,1,5113,46,0.008996675141795423,4687,4641,0.9901856197994453,27,5912,0.004566982408660352,0.7839729411858329,0.12194827521948462,0.6162830275713057,357,15535,0.022980366913421306
autoregressive_ppo_order_012,learning,medium,time_pressure,0-1-2,2,laser,2,5113,564,0.11030706043418737,3900,3336,0.8553846153846154,237,3605,0.06574202496532594,0.7646402399783049,0.12741301908730873,0.6461931208429588,76,9050,0.008397790055248619
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0-1-2,0,missile,0,6892,447,0.06485780615206035,664,217,0.32680722891566266,200,826,0.24213075060532688,0.75930626552733,0.1584974181336307,0.6076707760508672,0,2082,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0-1-2,1,missile,1,6892,36,0.00522344747533372,6426,6390,0.9943977591036415,9,7441,0.001209514850154549,0.7074433322773482,0.10642484963483022,0.5789751046763096,228,18199,0.012528160887960877
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0-1-2,2,laser,2,6892,606,0.08792803250145095,4426,3820,0.8630817894261184,253,3412,0.07415005861664713,0.7534167204691924,0.06715853203095644,0.6559347201889199,21,8295,0.002531645569620253
autoregressive_ppo_order_120,learning,medium,medium,1-2-0,1,missile,0,6831,439,0.06426584687454252,1007,568,0.564051638530288,181,1158,0.15630397236614854,0.7682313100721606,0.09976553436878069,0.4951289816718392,0,3370,0.0
