method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate
autoregressive_ppo_order_012,learning,medium,medium,0,0,0-1-2,0,missile,0,2338,149,0.06372968349016253,258,109,0.42248062015503873,53,277,0.19133574007220217,0.743190218664613,0.10218437780878051,0.5184371813926735,0,721,0.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,0-1-2,1,missile,1,2338,55,0.02352437981180496,1710,1655,0.9678362573099415,21,2071,0.010140028971511348,0.7241513542304446,0.09894058155554919,0.511650913905846,95,5602,0.016958229203855767
autoregressive_ppo_order_012,learning,medium,medium,0,0,0-1-2,2,laser,2,2338,448,0.19161676646706588,1179,731,0.620016963528414,131,935,0.14010695187165775,0.7212229503694516,0.07151357777735712,0.6056476323276743,20,2463,0.008120178643930167
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,0-1-2,0,missile,0,1771,147,0.08300395256916997,342,195,0.5701754385964912,47,292,0.16095890410958905,0.7538406064017308,0.11116230166293228,0.4971169291822173,0,893,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,0-1-2,1,missile,1,1771,46,0.025974025974025976,1350,1304,0.965925925925926,27,1107,0.024390243902439025,0.7839729411858329,0.12194827521948462,0.6162830275713057,117,3812,0.030692549842602307
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,0-1-2,2,laser,2,1771,454,0.256352343308865,1014,560,0.5522682445759369,182,644,0.2826086956521739,0.7600117916901598,0.10538549050935,0.6371814528602034,27,1973,0.013684744044602128
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,0,missile,0,2350,147,0.0625531914893617,357,210,0.5882352941176471,58,382,0.1518324607329843,0.7483947717675813,0.14037322302685515,0.5346942266813928,0,1069,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,1,missile,1,2350,36,0.015319148936170212,1984,1948,0.9818548387096774,9,1914,0.004702194357366771,0.7074433322773482,0.10642484963483022,0.5789751046763096,66,5315,0.012417685794920037
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,2,laser,2,2350,469,0.19957446808510637,1062,593,0.5583804143126178,181,631,0.2868462757527734,0.7493171019800349,0.056239785226078726,0.6432522573108813,11,1792,0.006138392857142857
autoregressive_ppo_order_120,learning,medium,medium,0,0,1-2-0,1,missile,0,2319,148,0.06382061233290211,324,176,0.5432098765432098,63,459,0.13725490196078433,0.7606274636414583,0.08444209466744244,0.444035684683092,0,1118,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,1-2-0,2,laser,1,2319,124,0.053471323846485556,1925,1801,0.9355844155844156,12,1741,0.0068925904652498565,0.6486249889321062,0.08418601018706323,0.48582008800119814,13,4447,0.0029233190915223745
autoregressive_ppo_order_120,learning,medium,medium,0,0,1-2-0,0,missile,2,2319,148,0.06382061233290211,378,230,0.6084656084656085,60,357,0.16806722689075632,0.7459952078088884,0.11912640255571023,0.5662139115367957,72,1023,0.07038123167155426
