method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,0,200,-122.32623022690879,42,5,0,3,2.7375410075636273,13,13,0,0,False,0.04356540000298992,1.037271428642617,0.8,2,1,0.5,2.7375410075636273,13,0,0.0,0,0.0,0.0,0.0,11.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,1,201,-43.61266695895265,50,5,2,2,1.2439962558439692,13,13,2,0,False,0.05193640000652522,1.0387280001305044,0.8,1,1,1.0,1.2439962558439692,13,0,0.0,0,0.0,1.0331492311808048,0.07947301778313884,11.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,2,202,-39.11016067772215,40,5,3,2,1.3175455039368176,12,12,3,0,False,0.047946300019248156,1.198657500481204,0.8,1,0,0.0,1.3175455039368176,12,0,0.0,0,0.0,2.067316695777853,0.1722763913148211,12.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,3,203,-69.14899242762439,50,5,1,3,1.7062533577485173,16,16,1,0,False,0.058698599990748335,1.1739719998149667,0.8,1,0,0.0,1.7062533577485173,16,0,0.0,0,0.0,0.5277104086289783,0.032981900539311146,17.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,4,204,-59.62126860378368,50,5,1,3,1.677336658118912,13,13,1,0,False,0.05762579998554429,1.1525159997108858,0.8,1,0,0.0,1.6773366581189117,13,0,0.0,0,0.0,1.054058463094808,0.08108142023806215,11.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,5,205,-9.528137443970518,32,5,4,1,0.5929224899165602,13,13,4,0,False,0.035662099999171915,1.1144406249741223,0.8,1,0,0.0,0.5929224899165602,13,0,0.0,0,0.0,2.481638406408363,0.19089526203141255,11.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,6,206,-70.27896739003226,49,5,3,2,2.307254725649606,11,11,3,0,False,0.05727710001156083,1.1689204083992006,0.8,4,2,0.5,2.307254725649606,11,0,0.0,0,0.0,1.842065501859503,0.1674605001690457,13.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,7,207,-84.99240307739925,50,5,0,3,2.233080102579976,14,14,0,0,False,0.05418959999224171,1.0837919998448342,0.8,1,1,1.0,2.2330801025799754,14,0,0.0,0,0.0,0.0,0.0,13.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,8,208,-58.02179569500356,50,5,1,2,1.5755510488825688,13,13,1,0,False,0.05473679998976877,1.0947359997953754,0.8,4,2,0.5,1.5755510488825688,13,0,0.0,0,0.0,0.9582226046778006,0.07370943112906159,11.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,9,209,-71.96456676630592,50,5,1,3,2.1574955499932105,10,10,1,0,False,0.05621300001075724,1.1242600002151448,0.8,3,2,0.6666666666666666,2.157495549993211,10,0,0.0,0,0.0,1.134382461943699,0.1134382461943699,9.5
