method,method_type,train_scenario,eval_scenario,metric,n_runs,mean,std,ci_low,ci_high
autoregressive_ppo_order_012,learning,medium,medium,assignment_conflict_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,assignment_conflict_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,assignment_conflict_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,medium,avg_ammo_used,3,7.373333333333332,5.0767443635989125,0.0,19.984665459709035
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_ammo_used,3,7.046666666666666,5.216793395691775,0.0,20.00589987515407
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_ammo_used,3,7.259999999999999,5.174205252983302,0.0,20.113438397113192
autoregressive_ppo_order_012,learning,medium,medium,avg_decision_time_ms,3,1.2247771163966912,0.10436200608162029,0.9655275214186336,1.4840267113747487
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_decision_time_ms,3,1.1750812718587456,0.07817916143738135,0.9808734686615361,1.369289075055955
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_decision_time_ms,3,1.2785001582922109,0.17633523282156796,0.8404591565353077,1.716541160049114
autoregressive_ppo_order_012,learning,medium,medium,avg_invalid_actions,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_invalid_actions,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_invalid_actions,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,medium,avg_resource_cost,3,8.726666666666668,3.4508163285421807,0.1543636887174511,17.298969644615887
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_resource_cost,3,8.453333333333333,3.3406037378493925,0.15481360823038237,16.751853058436282
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_resource_cost,3,9.713999999999999,1.7142616486406037,5.455537990857353,13.972462009142644
autoregressive_ppo_order_012,learning,medium,medium,avg_reward,3,-72.39474485440148,10.778013452847837,-99.16881453004139,-45.62067517876157
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_reward,3,-86.5902648364739,23.73799902185867,-145.5587234074347,-27.621806265513094
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_reward,3,-74.45568506196555,6.041683019872646,-89.46405769388682,-59.447312430044285
autoregressive_ppo_order_012,learning,medium,medium,avg_shots,3,7.373333333333332,5.0767443635989125,0.0,19.984665459709035
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_shots,3,7.046666666666666,5.216793395691775,0.0,20.00589987515407
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_shots,3,7.259999999999999,5.174205252983302,0.0,20.113438397113192
autoregressive_ppo_order_012,learning,medium,medium,avg_steps,3,46.07333333333333,1.2067034985170688,43.075715665803166,49.070951000863495
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_steps,3,34.086666666666666,1.1548737304715777,31.217801280527986,36.955532052805346
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_steps,3,45.946666666666665,0.9806800361653801,43.510522405697756,48.382810927635575
autoregressive_ppo_order_012,learning,medium,medium,avg_total_damage,3,1.9605477577335766,0.2487156279642159,1.3427038868136594,2.5783916286534936
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_total_damage,3,2.3125681710704993,0.5081180040092413,1.0503330753074795,3.574803266833519
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_total_damage,3,1.9924222148053168,0.1565919145010126,1.6034263346429887,2.381418094967645
autoregressive_ppo_order_012,learning,medium,medium,avg_zone_weighted_damage,3,1.9605477577335766,0.24871562796421606,1.3427038868136592,2.578391628653494
autoregressive_ppo_order_012,learning,medium,time_pressure,avg_zone_weighted_damage,3,2.3125681710704993,0.5081180040092413,1.0503330753074795,3.574803266833519
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_zone_weighted_damage,3,1.9924222148053168,0.1565919145010126,1.6034263346429887,2.381418094967645
autoregressive_ppo_order_012,learning,medium,medium,damage_reduction_per_ammo,3,0.12177158872676037,0.03551980966555345,0.03353549002345861,0.21000768743006215
autoregressive_ppo_order_012,learning,medium,time_pressure,damage_reduction_per_ammo,3,0.14299792080927007,0.020549688309282686,0.09194966511609867,0.19404617650244146
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,damage_reduction_per_ammo,3,0.14089031684244788,0.05289160579928454,0.009500284243040918,0.27228034944185486
autoregressive_ppo_order_012,learning,medium,medium,high_threat_leak_rate,3,0.5282330949563546,0.05609900195736628,0.38887544860423245,0.6675907413084767
autoregressive_ppo_order_012,learning,medium,time_pressure,high_threat_leak_rate,3,0.6323270048760244,0.1790741958139192,0.18748204185881734,1.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,high_threat_leak_rate,3,0.539057234668949,0.08314470618860467,0.3325143344959946,0.7456001348419032
autoregressive_ppo_order_012,learning,medium,medium,hit_rate_per_shot,3,0.1719771381694419,0.04768472148217274,0.05352172326273345,0.29043255307615035
autoregressive_ppo_order_012,learning,medium,time_pressure,hit_rate_per_shot,3,0.1928346235950359,0.02741457423924115,0.12473304587660179,0.26093620131347
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,hit_rate_per_shot,3,0.19592961756262742,0.0703247443650353,0.02123326801840661,0.37062596710684825
autoregressive_ppo_order_012,learning,medium,medium,intercept_rate,3,0.228,0.10213716267842964,0.0,0.48172277757752124
autoregressive_ppo_order_012,learning,medium,time_pressure,intercept_rate,3,0.2693333333333333,0.18681898547346126,0.0,0.7334174204131445
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,intercept_rate,3,0.23600000000000002,0.07631513611335565,0.04642269240580302,0.425577307594197
autoregressive_ppo_order_012,learning,medium,medium,leak_rate,3,0.5506666666666667,0.06601010023726167,0.3866884873128977,0.7146448460204358
autoregressive_ppo_order_012,learning,medium,time_pressure,leak_rate,3,0.6626666666666666,0.13098600434143082,0.3372793935746582,0.9880539397586751
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,leak_rate,3,0.56,0.03487119154832536,0.47337515802220914,0.646624841977791
autoregressive_ppo_order_012,learning,medium,medium,overkill_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,overkill_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,overkill_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,medium,success_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,success_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,success_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_120,learning,medium,medium,assignment_conflict_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,assignment_conflict_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,assignment_conflict_rate,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_120,learning,medium,medium,avg_ammo_used,3,8.479999999999999,3.1007740968990305,0.7772501303700006,16.182749869629998
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_ammo_used,3,7.78,3.517214807201858,0.0,16.517245942788527
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_ammo_used,3,8.1,3.2211178183978304,0.09829975342615782,16.10170024657384
autoregressive_ppo_order_120,learning,medium,medium,avg_decision_time_ms,3,1.2963049313624386,0.06287763624885004,1.1401082239328864,1.452501638791991
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_decision_time_ms,3,1.2553468216989838,0.09163949531475991,1.027701695504642,1.4829919478933256
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_decision_time_ms,3,1.2511553888144993,0.09792846113092347,1.0078876054685106,1.494423172160488
autoregressive_ppo_order_120,learning,medium,medium,avg_invalid_actions,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_invalid_actions,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_invalid_actions,3,0.0,0.0,0.0,0.0
autoregressive_ppo_order_120,learning,medium,medium,avg_resource_cost,3,10.450000000000001,2.562869485557156,4.083479260712198,16.816520739287803
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_resource_cost,3,9.93,2.688140621321734,3.25228850816947,16.60771149183053
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_resource_cost,3,8.615666666666668,3.6533464567890803,0.0,17.691082373953407
autoregressive_ppo_order_120,learning,medium,medium,avg_reward,3,-75.76462279379861,7.901284884455269,-95.39250254631355,-56.136743041283665
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_reward,3,-93.36231924645396,6.477884261902579,-109.45427583360069,-77.27036265930724
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_reward,3,-79.59477853981372,4.986896430512219,-91.98291602728871,-67.20664105233872
autoregressive_ppo_order_120,learning,medium,medium,avg_shots,3,8.479999999999999,3.1007740968990305,0.7772501303700006,16.182749869629998
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_shots,3,7.78,3.517214807201858,0.0,16.517245942788527
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_shots,3,8.1,3.2211178183978304,0.09829975342615782,16.10170024657384
autoregressive_ppo_order_120,learning,medium,medium,avg_steps,3,45.54,2.622899159327327,39.02435728427749,52.055642715722506
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_steps,3,33.919999999999995,1.4501034445859364,30.317743347409657,37.522256652590336
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_steps,3,45.193333333333335,1.415391583037476,41.67730572505951,48.70936094160716
autoregressive_ppo_order_120,learning,medium,medium,avg_total_damage,3,2.0003890972467335,0.14626654248583326,1.637042863094846,2.363735331398621
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_total_damage,3,2.432670858682285,0.15204319815393003,2.05497461633766,2.8103671010269102
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_total_damage,3,2.1145041435591603,0.1591677325600309,1.7191095766178965,2.509898710500424
autoregressive_ppo_order_120,learning,medium,medium,avg_zone_weighted_damage,3,2.0003890972467335,0.1462665424858335,1.6370428630948453,2.3637353313986216
autoregressive_ppo_order_120,learning,medium,time_pressure,avg_zone_weighted_damage,3,2.4326708586822847,0.15204319815392955,2.0549746163376605,2.810367101026909
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_zone_weighted_damage,3,2.1145041435591603,0.1591677325600309,1.7191095766178965,2.509898710500424
autoregressive_ppo_order_120,learning,medium,medium,damage_reduction_per_ammo,3,0.10673591287226424,0.04544572310485196,0.0,0.21962934747339127
autoregressive_ppo_order_120,learning,medium,time_pressure,damage_reduction_per_ammo,3,0.11826197202676474,0.02486498467432444,0.056493925895946845,0.18003001815758263
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,damage_reduction_per_ammo,3,0.10003900700396773,0.04015745754595442,0.0002823523072856965,0.19979566170064977
autoregressive_ppo_order_120,learning,medium,medium,high_threat_leak_rate,3,0.5420332355816226,0.08419759489062566,0.3328748148777345,0.7511916562855108
autoregressive_ppo_order_120,learning,medium,time_pressure,high_threat_leak_rate,3,0.6480703392468098,0.03454110570315003,0.5622654759651238,0.7338752025284958
