method,method_type,train_scenario,eval_scenario,attribution,count,total_high_threat_leaks,rate
autoregressive_ppo_order_012,learning,medium,medium,never_legal,0,157,0.0
autoregressive_ppo_order_012,learning,medium,medium,unassigned,118,157,0.7515923566878981
autoregressive_ppo_order_012,learning,medium,medium,prefix_denied,20,157,0.12738853503184713
autoregressive_ppo_order_012,learning,medium,medium,mismatched_resource,6,157,0.03821656050955414
autoregressive_ppo_order_012,learning,medium,medium,attempted_miss,13,157,0.08280254777070063
autoregressive_ppo_order_012,learning,medium,medium,resource_exhausted,0,157,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,never_legal,0,190,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,unassigned,146,190,0.7684210526315789
autoregressive_ppo_order_012,learning,medium,time_pressure,prefix_denied,15,190,0.07894736842105263
autoregressive_ppo_order_012,learning,medium,time_pressure,mismatched_resource,5,190,0.02631578947368421
autoregressive_ppo_order_012,learning,medium,time_pressure,attempted_miss,24,190,0.12631578947368421
autoregressive_ppo_order_012,learning,medium,time_pressure,resource_exhausted,0,190,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,never_legal,0,171,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,unassigned,118,171,0.6900584795321637
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,prefix_denied,6,171,0.03508771929824561
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,mismatched_resource,16,171,0.0935672514619883
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,attempted_miss,31,171,0.18128654970760233
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,resource_exhausted,0,171,0.0
autoregressive_ppo_order_120,learning,medium,medium,never_legal,0,160,0.0
autoregressive_ppo_order_120,learning,medium,medium,unassigned,118,160,0.7375
autoregressive_ppo_order_120,learning,medium,medium,prefix_denied,14,160,0.0875
autoregressive_ppo_order_120,learning,medium,medium,mismatched_resource,3,160,0.01875
autoregressive_ppo_order_120,learning,medium,medium,attempted_miss,25,160,0.15625
autoregressive_ppo_order_120,learning,medium,medium,resource_exhausted,0,160,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,never_legal,0,191,0.0
autoregressive_ppo_order_120,learning,medium,time_pressure,unassigned,137,191,0.7172774869109948
autoregressive_ppo_order_120,learning,medium,time_pressure,prefix_denied,20,191,0.10471204188481675
autoregressive_ppo_order_120,learning,medium,time_pressure,mismatched_resource,2,191,0.010471204188481676
autoregressive_ppo_order_120,learning,medium,time_pressure,attempted_miss,32,191,0.16753926701570682
autoregressive_ppo_order_120,learning,medium,time_pressure,resource_exhausted,0,191,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,never_legal,0,185,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,unassigned,126,185,0.6810810810810811
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,prefix_denied,41,185,0.22162162162162163
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,mismatched_resource,2,185,0.010810810810810811
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,attempted_miss,16,185,0.08648648648648649
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,resource_exhausted,0,185,0.0
autoregressive_ppo_order_201,learning,medium,medium,never_legal,0,144,0.0
autoregressive_ppo_order_201,learning,medium,medium,unassigned,75,144,0.5208333333333334
autoregressive_ppo_order_201,learning,medium,medium,prefix_denied,15,144,0.10416666666666667
autoregressive_ppo_order_201,learning,medium,medium,mismatched_resource,9,144,0.0625
autoregressive_ppo_order_201,learning,medium,medium,attempted_miss,45,144,0.3125
autoregressive_ppo_order_201,learning,medium,medium,resource_exhausted,0,144,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,never_legal,0,177,0.0
autoregressive_ppo_order_201,learning,medium,time_pressure,unassigned,106,177,0.5988700564971752
autoregressive_ppo_order_201,learning,medium,time_pressure,prefix_denied,15,177,0.0847457627118644
autoregressive_ppo_order_201,learning,medium,time_pressure,mismatched_resource,11,177,0.062146892655367235
autoregressive_ppo_order_201,learning,medium,time_pressure,attempted_miss,45,177,0.2542372881355932
autoregressive_ppo_order_201,learning,medium,time_pressure,resource_exhausted,0,177,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,never_legal,0,163,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,unassigned,89,163,0.5460122699386503
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,prefix_denied,5,163,0.03067484662576687
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,mismatched_resource,18,163,0.11042944785276074
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,attempted_miss,51,163,0.3128834355828221
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,resource_exhausted,0,163,0.0
