method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
autoregressive_ppo_order_012,learning,medium,medium,0,0,never_legal,0,46,0.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,unassigned,33,46,0.717391304347826
autoregressive_ppo_order_012,learning,medium,medium,0,0,prefix_denied,5,46,0.10869565217391304
autoregressive_ppo_order_012,learning,medium,medium,0,0,mismatched_resource,4,46,0.08695652173913043
autoregressive_ppo_order_012,learning,medium,medium,0,0,attempted_miss,4,46,0.08695652173913043
autoregressive_ppo_order_012,learning,medium,medium,0,0,resource_exhausted,0,46,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,never_legal,0,36,0.0
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,unassigned,24,36,0.6666666666666666
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,prefix_denied,2,36,0.05555555555555555
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,mismatched_resource,4,36,0.1111111111111111
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,attempted_miss,6,36,0.16666666666666666
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,resource_exhausted,0,36,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,never_legal,0,43,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,unassigned,22,43,0.5116279069767442
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,prefix_denied,1,43,0.023255813953488372
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,mismatched_resource,11,43,0.2558139534883721
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,attempted_miss,9,43,0.20930232558139536
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,resource_exhausted,0,43,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,never_legal,0,57,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,unassigned,34,57,0.5964912280701754
autoregressive_ppo_order_120,learning,medium,medium,0,0,prefix_denied,2,57,0.03508771929824561
