method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,target_index,target_threat,target_payload,target_class,attribution
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,0,200,3,0.9248442583499341,1.427710962541492,loitering_munition,mismatched_resource
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,1,201,0,0.8420367132471509,1.0677337632844333,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,6,206,1,0.8944048812044247,1.4572351588422823,decoy,prefix_denied
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,6,206,2,0.9081031613079442,1.1054872720324505,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,7,207,0,0.9055975691529208,1.0315643307330864,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,8,208,0,0.9632869050654413,1.3110095725560273,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,8,208,2,0.8947552987342137,0.789668927855583,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,9,209,1,0.9222072687505453,1.4496369741463937,decoy,prefix_denied
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,9,209,2,0.8865700165932622,0.6908337415032525,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,12,212,1,0.9092359461547419,1.4967940477136303,decoy,attempted_miss
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,14,214,1,0.8942190740469047,0.7947178506719549,decoy,attempted_miss
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,14,214,3,0.8846164374183834,1.0277716198360474,decoy,mismatched_resource
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,15,215,2,0.9921921190659961,0.6100594382117973,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,16,216,0,0.8349749712754537,1.4724532247311712,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,17,217,2,0.8994361421229939,1.2207032715971202,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,18,218,1,0.918097346924375,1.0408459568840718,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,20,220,2,0.9255153569495782,0.8040389236946536,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,22,222,2,0.8678950328663266,0.8239371455947821,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,24,224,2,0.8656763254993752,1.4000612966564558,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,24,224,3,0.8053169736488529,0.7763811453739571,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,25,225,2,0.9546699551960385,1.3686960469289224,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,26,226,0,0.8049255777904354,0.6967088107867487,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,26,226,2,0.8766781675150099,1.407521550712032,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,27,227,0,0.926405092053262,0.9117486533613706,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,27,227,3,0.8038794923999348,1.3037351313170626,loitering_munition,mismatched_resource
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,28,228,0,0.874564792260035,0.8861850760876031,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,28,228,2,0.8678324620069322,1.2003564392699184,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,29,229,0,0.8101411536823777,0.9521759588833552,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,33,233,1,0.9399300097544505,1.338603840205524,small_uav,attempted_miss
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,34,234,1,0.9987605683190486,1.382633122653382,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,35,235,0,0.947378511822139,0.9161325857618856,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,35,235,1,0.8498365656747995,1.0946875613289229,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,37,237,0,0.9122919618811225,0.6754953923489928,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,37,237,1,0.9915144149250944,0.6159244045707418,small_uav,prefix_denied
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,37,237,3,0.8844076439360435,1.1771779707198937,loitering_munition,mismatched_resource
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,38,238,0,0.9229575078444974,1.1938784784004273,loitering_munition,attempted_miss
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,39,239,0,0.945351523096277,0.8253346417187011,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,39,239,1,0.9181996765078659,0.65311491393885,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,39,239,2,0.9725484771225437,1.250464086049769,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,41,241,2,0.9234232933313072,1.2227582187105743,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,44,244,1,0.8764380783967007,0.9402062976443621,loitering_munition,prefix_denied
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,45,245,2,0.9546854879064977,0.6391476859746339,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,45,245,3,0.9978949597843434,0.9838095897607897,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,46,246,0,0.8843448719219982,0.7919186799642901,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,46,246,1,0.9958250233411822,0.8139349426129733,decoy,prefix_denied
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,48,248,0,0.8815314506443526,0.8989258770289815,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,1,251,3,0.9237230773016122,0.616250919912957,loitering_munition,mismatched_resource
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,2,252,2,0.8806566100623021,1.3361606658043503,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,4,254,2,0.8611343243379505,1.3636323233571388,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,5,255,1,0.812174215050056,1.2237406029857851,small_uav,prefix_denied
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,5,255,2,0.8296329048914828,0.9083505658898263,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,6,256,3,0.8085896951318854,0.8257180602738128,small_uav,mismatched_resource
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,7,257,0,0.9741552655021192,0.9103714795211453,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,8,258,2,0.8661698965272648,1.1063789082006505,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,10,260,4,0.9470806423698681,0.7169312784580577,loitering_munition,attempted_miss
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,11,261,2,0.8196741611369283,1.0945811467883129,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,15,265,0,0.9045333273570912,0.7625457481474401,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,15,265,1,0.8906058094258016,0.9421484223073133,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,15,265,4,0.9624612055138818,1.1572007680500205,loitering_munition,mismatched_resource
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,16,266,4,0.908129582137759,0.6479743068668163,small_uav,mismatched_resource
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,17,267,2,0.8604147965221793,0.8976298828317256,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,19,269,2,0.9741429112478777,0.7650032952106229,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,20,270,2,0.9710494187039715,0.7512830441570937,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,22,272,2,0.8206082375841596,1.0760156931093945,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,23,273,0,0.9859604590011906,1.3335373066223712,small_uav,attempted_miss
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,23,273,2,0.953372145651505,0.9631241990214265,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,24,274,2,0.8181574564983676,1.2467585726447563,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,24,274,3,0.973124431153356,1.3439794781147025,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,25,275,0,0.9432105065601077,1.3184827092029443,decoy,attempted_miss
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,32,282,1,0.9080647142132251,1.2964426159251614,small_uav,attempted_miss
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,34,284,1,0.9062890968894948,1.1572793199745917,loitering_munition,attempted_miss
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,36,286,0,0.8167950174008726,1.3772116251581021,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,36,286,1,0.8036673618713046,1.284482319775327,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,38,288,2,0.9459143305417056,0.6636242392651964,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,39,289,0,0.946984403086484,1.030470439853902,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,39,289,2,0.8995481148742286,1.4227832269649112,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,43,293,0,0.9611380225078789,1.4188809249791836,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,43,293,3,0.9602104932681219,0.858252835045489,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,48,298,3,0.9527217305927551,0.8841903847309482,small_uav,attempted_miss
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,49,299,0,0.8171790587592289,1.055378086684882,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,49,299,1,0.984496800646774,0.6678334849555645,small_uav,prefix_denied
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,49,299,2,0.8118655439427345,0.7234589953679148,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,0,300,0,0.8766402249059895,1.3481164567599313,decoy,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,1,301,0,0.9421927266143664,1.2598238492249303,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,6,306,0,0.9848892985625926,1.3640419868210558,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,8,308,1,0.8879550828190214,0.9602042968468949,decoy,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,10,310,2,0.970719909123343,0.6689446478932438,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,13,313,0,0.8059811838717446,0.8915306432472889,loitering_munition,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,15,315,0,0.995535218160054,1.2373487339469043,decoy,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,15,315,2,0.9160532551029508,1.3686817410235288,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,16,316,1,0.9525251901338216,1.4266149883814951,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,17,317,3,0.8359295105585298,1.0795347709395897,small_uav,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,20,320,3,0.9681533883321591,1.258137527090481,decoy,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,21,321,1,0.9791577479000984,0.94617311732796,decoy,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,22,322,4,0.8994186853027275,0.9478792848218572,small_uav,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,23,323,4,0.8928189803865432,0.7112662828604263,loitering_munition,prefix_denied
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,24,324,1,0.8818862564337586,0.8855931071997023,small_uav,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,25,325,2,0.8646854202023707,1.2132363783239533,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,26,326,2,0.8948080451660868,0.6026064881715921,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,27,327,1,0.9252050727940623,1.2536573587408233,decoy,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,27,327,2,0.8080155122670448,1.4185367035445706,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,28,328,0,0.9074921300130249,1.179165831430836,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,28,328,3,0.8349523261483329,1.4179243275944056,loitering_munition,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,31,331,0,0.9224340919498668,1.0027357332929068,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,32,332,1,0.9021556154363087,0.7189659133103478,decoy,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,32,332,3,0.9185647109759452,1.181570212133924,small_uav,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,33,333,0,0.9855928092778905,1.1573936014757469,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,33,333,2,0.9600460337916197,1.2187213754322213,loitering_munition,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,33,333,3,0.9472718826131422,0.9027562705136181,small_uav,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,34,334,2,0.9880291003505386,0.781218815667838,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,35,335,0,0.9730868493001985,0.881628453413509,small_uav,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,36,336,3,0.8415364174020092,0.6975240564315193,small_uav,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,37,337,2,0.9074514870342004,0.6375076199421656,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,38,338,0,0.9315734277808158,0.7483516028628955,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,38,338,3,0.9822581897582848,0.8625199687076004,loitering_munition,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,39,339,2,0.8411553191485635,0.8265520396590296,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,40,340,0,0.9852726442877812,1.122436282629205,decoy,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,40,340,2,0.8013454313181981,1.4250084686747937,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,42,342,2,0.9147395942215992,1.475394420910698,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,43,343,3,0.8525208561720816,0.7176780783054815,small_uav,mismatched_resource
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,44,344,2,0.9831742846953466,0.7836344026859522,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,47,347,2,0.8838976148652724,1.0500211267316932,decoy,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,48,348,0,0.8705246553064767,0.6583598717361937,small_uav,unassigned
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,49,349,1,0.9963299502798125,1.3597521151892122,decoy,attempted_miss
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,49,349,2,0.933526540265332,1.2625230197400725,decoy,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,0,200,3,0.9248442583499341,1.427710962541492,loitering_munition,mismatched_resource
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,1,201,0,0.8420367132471509,1.0677337632844333,decoy,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,4,204,3,0.837353892472961,1.2587968749770213,loitering_munition,attempted_miss
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,5,205,1,0.9489907371034737,1.146926557288364,loitering_munition,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,6,206,1,0.8944048812044247,1.4572351588422823,decoy,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,6,206,4,0.8438187311845561,1.0477574804219723,loitering_munition,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,7,207,0,0.9055975691529208,1.0315643307330864,small_uav,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,8,208,0,0.9632869050654413,1.3110095725560273,decoy,prefix_denied
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,8,208,2,0.8947552987342137,0.789668927855583,small_uav,attempted_miss
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,8,208,3,0.8194899642927378,1.4616143065046505,small_uav,attempted_miss
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,9,209,1,0.9222072687505453,1.4496369741463937,decoy,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,9,209,2,0.8865700165932622,0.6908337415032525,small_uav,prefix_denied
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,9,209,4,0.907537466686303,1.2499566173126455,decoy,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,10,210,4,0.9490506813071615,0.6592053036925285,small_uav,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,11,211,1,0.839066191099006,0.7411640227113832,decoy,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,12,212,1,0.9092359461547419,1.4967940477136303,decoy,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,14,214,1,0.8942190740469047,0.7947178506719549,decoy,unassigned
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,14,214,3,0.8846164374183834,1.0277716198360474,decoy,attempted_miss
