method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
autoregressive_ppo_order_012,medium,medium,0,0,0,10000,0.7003401000001759,10.0,-57.18045098921692,28.493627997144273,46.1,0.0,0.34,0.5,1.4836388372989462,12.3,12.3,0.13821138211382114,0.0,1.1558045554048673,0.35714285714285715,1.4836388372989462,0.0,0.0,0.1083813411849895,15.15
autoregressive_ppo_order_012,medium,medium,0,0,10000,10000,26.40609889999905,10.0,-53.49777841118437,33.84555363540518,47.1,0.0,0.4,0.42,1.3611574584166533,14.4,14.4,0.1388888888888889,0.0,1.3126352440948068,0.5714285714285714,1.3611574584166533,0.0,0.0,0.09734266909613451,15.75
autoregressive_ppo_order_012,medium,medium,0,0,20000,10000,56.798960799998895,10.0,-62.93388082205006,28.89362976691746,46.4,0.0,0.34,0.5,1.73051633103904,9.6,9.6,0.17708333333333334,0.0,1.4143614225680534,0.6428571428571429,1.73051633103904,0.0,0.0,0.11170748578251943,12.15
autoregressive_ppo_order_012,medium,medium,0,0,30000,10000,83.32614409999951,10.0,-60.21307694113492,24.642082494791808,46.2,0.0,0.36,0.46,1.683520549665874,12.7,12.7,0.14173228346456693,0.0,1.1675952381196884,0.6428571428571429,1.683520549665874,0.0,0.0,0.08853010245469678,11.45
autoregressive_ppo_order_012,medium,medium,0,0,30208,10000,84.52401719999762,10.0,-60.60659912125175,23.81315718782143,45.8,0.0,0.36,0.44,1.6493308331419896,13.4,13.4,0.13432835820895522,0.0,1.1195329694903082,0.6428571428571429,1.6493308331419896,0.0,0.0,0.08074838495115534,12.85
autoregressive_ppo_order_120,medium,medium,0,0,0,10000,0.6947113999995054,10.0,-57.649857263693356,29.335682068538706,46.4,0.0,0.34,0.48,1.4833101246439688,12.3,12.3,0.13821138211382114,0.0,1.1422806035170652,0.42857142857142855,1.4833101246439688,0.0,0.0,0.10397619580268493,15.15
autoregressive_ppo_order_120,medium,medium,0,0,10000,10000,31.86964159999843,10.0,-73.91572453552212,28.798810338336324,46.5,0.0,0.2,0.6,1.939207869080369,6.5,6.5,0.15384615384615385,0.0,1.399409892544481,0.7142857142857143,1.939207869080369,0.0,0.0,0.11091052558267667,11.2
autoregressive_ppo_order_120,medium,medium,0,0,20000,10000,59.3426690999986,10.0,-57.98855307994644,22.074750512436303,47.0,0.0,0.26,0.54,1.6489749407889345,8.8,8.8,0.14772727272727273,0.0,1.1184219148259564,0.5714285714285714,1.6489749407889345,0.0,0.0,0.12097148411494983,8.75
autoregressive_ppo_order_120,medium,medium,0,0,30000,10000,85.94922469999801,10.0,-60.35160287122726,30.740296743719423,46.3,0.0,0.34,0.48,1.5639764163697838,11.8,11.8,0.1440677966101695,0.0,1.356141468645242,0.6428571428571429,1.5639764163697838,0.0,0.0,0.09707777638970178,14.75
autoregressive_ppo_order_120,medium,medium,0,0,30208,10000,87.51546260000032,10.0,-62.646945210347006,30.41377962974178,45.4,0.0,0.32,0.52,1.6737370543877925,10.1,10.1,0.15841584158415842,0.0,1.454758810611249,0.6428571428571429,1.6737370543877925,0.0,0.0,0.11160098848136642,13.45
autoregressive_ppo_order_201,medium,medium,0,0,0,10000,0.6890373000023828,10.0,-57.18045098921692,28.493627997144273,46.1,0.0,0.34,0.5,1.4836388372989462,12.3,12.3,0.13821138211382114,0.0,1.1407993491771864,0.35714285714285715,1.4836388372989462,0.0,0.0,0.1083813411849895,15.15
autoregressive_ppo_order_201,medium,medium,0,0,10000,10000,31.317486400002963,10.0,-55.45074357875394,41.66678537158752,46.6,0.0,0.38,0.42,1.3637213553145189,15.2,15.2,0.125,0.0,4.002269957061393,0.42857142857142855,1.3637213553145189,0.0,0.0,0.09206889762711086,15.4
autoregressive_ppo_order_201,medium,medium,0,0,20000,10000,61.939967199999955,10.0,-64.19605347061736,36.99417643367055,46.2,0.0,0.36,0.46,1.6749063748590323,10.0,10.0,0.18,0.0,1.18572186141991,0.5714285714285714,1.6749063748590323,0.0,0.0,0.11413476149262503,13.7
autoregressive_ppo_order_201,medium,medium,0,0,30000,10000,93.64638540000306,10.0,-79.29658450870747,28.65492001558973,46.4,0.0,0.22,0.6,2.052844820940221,5.5,5.5,0.2,0.0,1.4277577585023116,0.7857142857142857,2.052844820940221,0.0,0.0,0.12897682037759503,11.0
autoregressive_ppo_order_201,medium,medium,0,0,30208,10000,95.08438650000244,10.0,-79.21624256333197,27.751412218225767,46.4,0.0,0.2,0.62,2.0308967056133196,5.8,5.8,0.1724137931034483,0.0,1.3267534482267742,0.7142857142857143,2.0308967056133196,0.0,0.0,0.12828695969409998,11.6
autoregressive_ppo_order_012,medium,medium,1,1,0,10010,0.9677006999991136,10.0,-53.683344666990344,34.68083373454339,48.5,0.0,0.34,0.34,1.2223691091884887,15.6,15.6,0.10897435897435898,0.0,1.51746804137671,0.4375,1.2223691091884885,0.0,0.0,0.07966274241317267,16.2
autoregressive_ppo_order_012,medium,medium,1,1,10000,10010,32.45525500000076,10.0,-48.722339088371335,42.090376318233126,48.5,0.0,0.38,0.32,1.1112394155128544,15.4,15.4,0.12337662337662338,0.0,1.2626748453746501,0.375,1.1112394155128544,0.0,0.0,0.09193062254668113,15.8
autoregressive_ppo_order_012,medium,medium,1,1,20000,10010,64.65631469999789,10.0,-48.09916384930178,37.70696130620048,47.3,0.0,0.4,0.32,1.2665280402886558,11.5,11.5,0.17391304347826086,0.0,1.4382071881252292,0.5625,1.2665280402886558,0.0,0.0,0.11692811687686001,10.25
autoregressive_ppo_order_012,medium,medium,1,1,30000,10010,96.05293080000047,10.0,-60.582127527400715,31.94302498239799,49.0,0.0,0.24,0.42,1.5933888140452097,8.6,8.6,0.13953488372093023,0.0,1.4285169387407297,0.5625,1.5933888140452097,0.0,0.0,0.09674794854565374,8.8
autoregressive_ppo_order_012,medium,medium,1,1,30208,10010,97.70432380000057,10.0,-56.6493290758212,34.92519588360964,49.0,0.0,0.3,0.4,1.5434271736826868,6.7,6.7,0.22388059701492538,0.0,1.4395479592779765,0.5625,1.5434271736826868,0.0,0.0,0.15148006243451723,7.85
autoregressive_ppo_order_120,medium,medium,1,1,0,10010,0.8993431000017154,10.0,-57.29795566123387,33.09055432603141,48.5,0.0,0.32,0.38,1.3355492637596638,15.5,15.5,0.1032258064516129,0.0,1.410612577238521,0.4375,1.3355492637596635,0.0,0.0,0.07475428950977007,16.0
autoregressive_ppo_order_120,medium,medium,1,1,10000,10010,32.3128527000008,10.0,-63.21552977414827,33.48952703843756,47.9,0.0,0.24,0.46,1.676105786978492,10.1,10.1,0.1188118811881188,0.0,1.2195144050728723,0.5625,1.676105786978492,0.0,0.0,0.08693235341782438,9.55
