method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,30000,30208,85.37105410000004,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_012_seed0.zip,50.0,-64.4563866775638,30.799222681771436,46.76,0.0,0.316,0.496,1.7398020880749048,13.04,13.04,0.12116564417177914,0.0,1.1055060307761637,0.4842105263157895,1.739802088074905,0.0,0.0,0.08250059664056573,12.64
autoregressive_ppo_order_012,learning,medium,time_pressure,0,0,250,30000,30208,85.37105410000004,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_012_seed0.zip,50.0,-60.40738313859907,37.59946359252014,35.42,0.0,0.472,0.516,1.7355586158673595,12.94,12.94,0.18238021638330756,0.0,1.0886522869065847,0.42857142857142855,1.7355586158673595,0.0,0.0,0.13214680184401478,12.26
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,30000,30208,85.37105410000004,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_012_seed0.zip,50.0,-67.73325401127319,32.84336370496977,47.0,0.0,0.308,0.52,1.8119861765002807,13.04,13.04,0.11809815950920245,0.0,1.1035068510527515,0.44329896907216493,1.8119861765002807,0.0,0.0,0.08259038533959967,11.656999999999998
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,30000,30208,87.53313049999997,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_120_seed0.zip,50.0,-83.38174790226371,28.919703195834877,46.38,0.0,0.176,0.608,2.1163820929423744,8.4,8.4,0.10476190476190476,0.0,1.2279840448298265,0.6,2.1163820929423744,0.0,0.0,0.07802700541557692,13.08
autoregressive_ppo_order_120,learning,medium,time_pressure,0,0,250,30000,30208,87.53313049999997,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_120_seed0.zip,50.0,-87.53357771421614,39.62137455086431,35.36,0.02,0.324,0.652,2.2858736996499616,8.04,8.04,0.20149253731343283,0.0,1.1587162329824547,0.6190476190476191,2.2858736996499616,0.0,0.0,0.13901620785916857,12.54
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,300,30000,30208,87.53313049999997,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_120_seed0.zip,50.0,-74.20605354634144,29.98153434901397,46.06,0.0,0.252,0.548,1.9336407038099894,7.44,7.44,0.1693548387096774,0.0,1.1382090751309,0.5257731958762887,1.9336407038099894,0.0,0.0,0.1151539973505887,12.831
autoregressive_ppo_order_201,learning,medium,medium,0,0,200,30000,30208,95.0991793999965,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_201_seed0.zip,50.0,-81.76366034106188,35.26150214901182,46.6,0.0,0.168,0.596,2.071351947702118,5.74,5.74,0.14634146341463414,0.0,1.2210099570961672,0.5578947368421052,2.071351947702118,0.0,0.0,0.10646348515718504,11.48
autoregressive_ppo_order_201,learning,medium,time_pressure,0,0,250,30000,30208,95.0991793999965,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_201_seed0.zip,50.0,-90.0641746060698,31.728946266105304,35.78,0.0,0.28,0.688,2.3746296219649268,5.52,5.52,0.2536231884057971,0.0,1.1934784237079705,0.7023809523809523,2.3746296219649268,0.0,0.0,0.17699820929956736,11.04
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,300,30000,30208,95.0991793999965,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_201_seed0.zip,50.0,-79.4693138229873,33.48355295475586,45.94,0.0,0.208,0.576,1.9825226399702192,5.82,5.82,0.17869415807560138,0.0,1.2380548106503628,0.5257731958762887,1.982522639970219,0.0,0.0,0.12762832875991542,12.63
autoregressive_ppo_order_012,learning,medium,medium,1,1,350,30000,30208,97.72190729999784,results\air_defense_v1\task10_order_screening_30k_3seeds\models\medium\autoregressive_ppo_order_012_seed1.zip,50.0,-68.06317541741947,30.259585981852535,46.78,0.0,0.252,0.532,1.9118200721714231,5.84,5.84,0.21575342465753425,0.0,1.2695051304192677,0.509090909090909,1.9118200721714231,0.0,0.0,0.15165397522997645,7.42
