method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate
autoregressive_ppo_order_012,learning,medium,medium,0,0,0-1-2,0,missile,0,98,6,0.061224489795918366,6,0,0.0,3,9,0.3333333333333333,0.7859237403770116,0.24393961550284834,0.9486177508634451,0,23,0.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,0-1-2,1,missile,1,98,6,0.061224489795918366,6,0,0.0,3,5,0.6,0.7926223929774482,0.027872738867426822,0.21849441817687834,4,23,0.17391304347826086
autoregressive_ppo_order_012,learning,medium,medium,0,0,0-1-2,2,laser,2,98,20,0.20408163265306123,20,0,0.0,0,7,0.0,0.7159585749992919,0.08307087306413832,1.0,0,33,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,0,missile,0,90,6,0.06666666666666667,6,0,0.0,5,5,1.0,0.8222545246220725,0.19729567591258115,0.6159771118347103,0,29,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,1,missile,1,90,6,0.06666666666666667,7,1,0.14285714285714285,0,0,0.0,0.612304692965065,0.04361487876504778,0.42920701143453477,2,23,0.08695652173913043
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,2,laser,2,90,15,0.16666666666666666,74,59,0.7972972972972973,4,4,1.0,0.6857430939698795,0.044285164303818535,0.8137682551001303,0,146,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,1-2-0,1,missile,0,90,6,0.06666666666666667,7,1,0.14285714285714285,3,8,0.375,0.8159407271854863,0.2034957030971747,0.738567633471659,0,22,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,1-2-0,2,laser,1,90,0,0.0,76,76,1.0,0,74,0.0,0.0,0.0,0.0,0,192,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,1-2-0,0,missile,2,90,6,0.06666666666666667,6,0,0.0,3,6,0.5,0.8143925189359168,0.2413243707880491,1.0,4,22,0.18181818181818182
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,1,missile,0,85,6,0.07058823529411765,9,3,0.3333333333333333,2,2,1.0,0.6506690342828241,0.050145177847592676,0.37694550856233583,0,31,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,2,laser,1,85,6,0.07058823529411765,73,67,0.9178082191780822,6,17,0.35294117647058826,0.8588124029573939,0.055876728451986046,1.0,0,180,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,0,missile,2,85,6,0.07058823529411765,6,0,0.0,0,4,0.0,0.6543582465231793,0.22275542509726062,0.6762160879873459,3,30,0.1
autoregressive_ppo_order_201,learning,medium,medium,0,0,2-0-1,2,laser,0,92,20,0.21739130434782608,30,10,0.3333333333333333,10,22,0.45454545454545453,0.73147966948875,0.022220689611048478,0.47168156019584623,0,62,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,2-0-1,0,missile,1,92,6,0.06521739130434782,6,0,0.0,0,9,0.0,0.7176974852336637,0.16201418069898313,0.6559800304927068,0,23,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,2-0-1,1,missile,2,92,6,0.06521739130434782,7,1,0.14285714285714285,2,8,0.25,0.7995797146885607,0.09620069496222672,0.35918861716254474,3,23,0.13043478260869565
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,2,laser,0,65,18,0.27692307692307694,19,1,0.05263157894736842,1,1,1.0,0.5859063417902279,0.05665943587562551,0.9647987169388844,0,41,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,0,missile,1,65,6,0.09230769230769231,6,0,0.0,0,6,0.0,0.6311242774507649,0.18547117718847847,0.5349611424515832,1,29,0.034482758620689655
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,1,missile,2,65,5,0.07692307692307693,17,12,0.7058823529411765,0,12,0.0,0.6566851429137162,0.04688131902973025,0.667964355834284,12,39,0.3076923076923077
autoregressive_ppo_order_012,learning,medium,medium,1,1,0-1-2,0,missile,0,96,6,0.0625,6,0,0.0,2,2,1.0,0.7768608365752989,0.06843187097690474,0.9672024246386832,0,8,0.0
autoregressive_ppo_order_012,learning,medium,medium,1,1,0-1-2,1,missile,1,96,6,0.0625,7,1,0.14285714285714285,1,5,0.2,0.7818688941774617,0.10613280537449189,0.8314096642994536,4,19,0.21052631578947367
autoregressive_ppo_order_012,learning,medium,medium,1,1,0-1-2,2,laser,2,96,20,0.20833333333333334,21,1,0.047619047619047616,10,10,1.0,0.7783917939845885,0.08351379737507864,0.9170289265757392,1,43,0.023255813953488372
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,0,missile,0,90,6,0.06666666666666667,6,0,0.0,6,9,0.6666666666666666,0.9256542357333616,0.13719502072996584,0.6919865726849185,0,21,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,1,missile,1,90,6,0.06666666666666667,7,1,0.14285714285714285,3,5,0.6,0.8197200865846362,0.07668009340587274,0.7703901490165853,0,15,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,2,laser,2,90,20,0.2222222222222222,22,2,0.09090909090909091,2,20,0.1,0.709560281882592,0.034067618123735655,0.47392410243331434,0,45,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,1-2-0,1,missile,0,96,5,0.052083333333333336,58,53,0.9137931034482759,2,12,0.16666666666666666,0.808032664910152,0.11796661266153805,0.452125312700068,0,157,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,1-2-0,2,laser,1,96,17,0.17708333333333334,48,31,0.6458333333333334,0,8,0.0,0.747884057847431,0.052213580104775864,0.5939643847329521,0,89,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,1-2-0,0,missile,2,96,0,0.0,96,96,1.0,0,35,0.0,0.0,0.0,0.0,21,271,0.07749077490774908
