method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
autoregressive_ppo_order_012,learning,medium,medium,0,0,never_legal,0,2,0.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,unassigned,1,2,0.5
autoregressive_ppo_order_012,learning,medium,medium,0,0,prefix_denied,1,2,0.5
autoregressive_ppo_order_012,learning,medium,medium,0,0,mismatched_resource,0,2,0.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,attempted_miss,0,2,0.0
autoregressive_ppo_order_012,learning,medium,medium,0,0,resource_exhausted,0,2,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,never_legal,0,2,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,unassigned,0,2,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,prefix_denied,0,2,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,mismatched_resource,0,2,0.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,attempted_miss,2,2,1.0
autoregressive_ppo_order_120,learning,medium,medium,0,0,resource_exhausted,0,2,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,never_legal,0,1,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,unassigned,0,1,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,prefix_denied,1,1,1.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,mismatched_resource,0,1,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,attempted_miss,0,1,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,resource_exhausted,0,1,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,never_legal,0,2,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,unassigned,0,2,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,prefix_denied,0,2,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,mismatched_resource,0,2,0.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,attempted_miss,2,2,1.0
autoregressive_ppo_order_201,learning,medium,medium,0,0,resource_exhausted,0,2,0.0
autoregressive_ppo_order_012,learning,medium,medium,1,1,never_legal,0,1,0.0
autoregressive_ppo_order_012,learning,medium,medium,1,1,unassigned,0,1,0.0
autoregressive_ppo_order_012,learning,medium,medium,1,1,prefix_denied,0,1,0.0
autoregressive_ppo_order_012,learning,medium,medium,1,1,mismatched_resource,0,1,0.0
autoregressive_ppo_order_012,learning,medium,medium,1,1,attempted_miss,1,1,1.0
autoregressive_ppo_order_012,learning,medium,medium,1,1,resource_exhausted,0,1,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,never_legal,0,3,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,unassigned,1,3,0.3333333333333333
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,prefix_denied,0,3,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,0,3,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,attempted_miss,2,3,0.6666666666666666
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,3,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,never_legal,0,1,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,unassigned,1,1,1.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,prefix_denied,0,1,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,mismatched_resource,0,1,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,attempted_miss,0,1,0.0
autoregressive_ppo_order_120,learning,medium,medium,1,1,resource_exhausted,0,1,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,never_legal,0,3,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,unassigned,1,3,0.3333333333333333
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,prefix_denied,2,3,0.6666666666666666
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,0,3,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,attempted_miss,0,3,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,3,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,never_legal,0,1,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,unassigned,0,1,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,prefix_denied,0,1,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,mismatched_resource,0,1,0.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,attempted_miss,1,1,1.0
autoregressive_ppo_order_201,learning,medium,medium,1,1,resource_exhausted,0,1,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,never_legal,0,3,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,unassigned,2,3,0.6666666666666666
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,prefix_denied,0,3,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,mismatched_resource,0,3,0.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,attempted_miss,1,3,0.3333333333333333
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,resource_exhausted,0,3,0.0
