method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
autoregressive_ppo_order_012,medium,medium,0,0,0,10000,0.08280670000021928,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.2532939999800874,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
autoregressive_ppo_order_012,medium,medium,0,0,128,10000,0.37710530000185827,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.1046640000131447,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
autoregressive_ppo_order_012,medium,medium,0,0,256,10000,0.7272420000008424,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.5489459999662358,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
autoregressive_ppo_order_120,medium,medium,0,0,0,10000,0.09159389999695122,1.0,-24.467939783184033,0.0,50.0,0.0,0.4,0.2,0.4156637888062806,14.0,14.0,0.14285714285714285,0.0,1.366520000010496,0.0,0.4156637888062806,0.0,0.0,0.06788506687719302,16.0
autoregressive_ppo_order_120,medium,medium,0,0,128,10000,0.3954935999972804,1.0,-24.467939783184033,0.0,50.0,0.0,0.4,0.2,0.4156637888062806,14.0,14.0,0.14285714285714285,0.0,1.1910800002078759,0.0,0.4156637888062806,0.0,0.0,0.06788506687719302,16.0
autoregressive_ppo_order_120,medium,medium,0,0,256,10000,0.7900807999976678,1.0,-24.467939783184033,0.0,50.0,0.0,0.4,0.2,0.4156637888062806,14.0,14.0,0.14285714285714285,0.0,1.1148699999466771,0.0,0.4156637888062806,0.0,0.0,0.06788506687719302,16.0
autoregressive_ppo_order_201,medium,medium,0,0,0,10000,0.08150480000040261,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.2187019999691984,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
autoregressive_ppo_order_201,medium,medium,0,0,128,10000,0.3850851999995939,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.1396759998751804,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
autoregressive_ppo_order_201,medium,medium,0,0,256,10000,0.6734744000023056,1.0,-45.631197122803314,0.0,50.0,0.0,0.2,0.4,0.9427564880681116,14.0,14.0,0.07142857142857142,0.0,1.1461160000180826,0.0,0.9427564880681116,0.0,0.0,0.030235588358490797,16.0
autoregressive_ppo_order_012,medium,medium,1,1,0,10001,0.08172399999966729,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.2239720002253307,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_ppo_order_012,medium,medium,1,1,128,10001,0.3694753000017954,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.098013999653631,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_ppo_order_012,medium,medium,1,1,256,10001,0.6653065999998944,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.2070959998527542,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_ppo_order_120,medium,medium,1,1,0,10001,0.09698840000055498,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.4503840000543278,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_ppo_order_120,medium,medium,1,1,128,10001,0.38192780000099447,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.1127520001173252,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_ppo_order_120,medium,medium,1,1,256,10001,0.6669939999992494,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.1327839998557465,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_ppo_order_201,medium,medium,1,1,0,10001,0.07926949999819044,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.2004420001903782,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_ppo_order_201,medium,medium,1,1,128,10001,0.36940839999806485,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.061180000033346,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
autoregressive_ppo_order_201,medium,medium,1,1,256,10001,0.6791029999985767,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.082607999778702,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
