method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
autoregressive_ppo_order_012,learning,medium,medium,0,0,200,256,256,1.9016577000002144,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_012_seed0.zip,2.0,-84.18245228599876,2.130793030506794,49.0,0.0,0.2,0.6,2.229934699401997,16.0,16.0,0.0625,0.0,1.2942255101622824,0.6666666666666666,2.229934699401997,0.0,0.0,0.0330178212840636,17.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,202,256,256,1.9016577000002144,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_012_seed0.zip,2.0,-64.43006838168009,9.10153196259228,45.0,0.0,0.3,0.6,1.7694863911252288,13.5,13.5,0.1111111111111111,0.0,1.2021966663774544,0.0,1.7694863911252288,0.0,0.0,0.07703159940154476,14.774999999999999
autoregressive_ppo_order_120,learning,medium,medium,0,0,200,256,256,1.0201630999981717,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_120_seed0.zip,2.0,-102.31973777170717,21.006492455201624,45.0,0.0,0.1,0.7,2.5073432472942008,6.0,6.0,0.08333333333333333,0.0,1.3547277778545523,0.6666666666666666,2.5073432472942008,0.0,0.0,0.04181276544213561,12.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,202,256,256,1.0201630999981717,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_120_seed0.zip,2.0,-104.3134040522161,24.964990284550396,42.5,0.0,0.1,0.8,2.578288455468191,9.0,9.0,0.05555555555555555,0.0,1.204394117667107,0.5,2.578288455468191,0.0,0.0,0.06061098267356376,13.649999999999999
autoregressive_ppo_order_201,learning,medium,medium,0,0,200,256,256,0.8896026000002166,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_201_seed0.zip,2.0,-94.30063666477199,28.74476631570868,46.0,0.0,0.2,0.6,2.1750387309609236,16.0,16.0,0.0625,0.0,1.2822163045870105,0.6666666666666666,2.1750387309609236,0.0,0.0,0.03649980805931341,17.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,202,256,256,0.8896026000002166,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_201_seed0.zip,2.0,-16.041630765812158,51.50736166181224,32.5,0.5,0.6,0.3,0.8531266788742586,14.5,14.5,0.20689655172413793,0.0,1.1611292309960566,0.0,0.8531266788742586,0.0,0.0,0.13491629683943618,14.399999999999999
autoregressive_ppo_order_012,learning,medium,medium,1,1,204,256,256,0.907252699998935,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_012_seed1.zip,2.0,-75.20508546939443,53.336768167017155,48.0,0.0,0.3,0.5,1.6621588055651402,16.0,16.0,0.09375,0.0,1.6016489583231912,0.5,1.6621588055651402,0.0,0.0,0.06475186105642966,17.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,206,256,256,0.907252699998935,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_012_seed1.zip,2.0,-91.48174653547922,29.01935475195602,45.0,0.0,0.2,0.5,2.1497378119056965,16.0,16.0,0.0625,0.0,1.1429599998033761,0.6,2.1497378119056965,0.0,0.0,0.03746272870496549,15.399999999999999
autoregressive_ppo_order_120,learning,medium,medium,1,1,204,256,256,0.913902500000404,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_120_seed1.zip,2.0,-75.60007430938457,46.941779327026964,48.0,0.0,0.2,0.6,1.8575159980074174,11.0,11.0,0.09090909090909091,0.0,1.6506666665539644,0.5,1.8575159980074174,0.0,0.0,0.07642478040550883,9.25
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,206,256,256,0.913902500000404,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_120_seed1.zip,2.0,-86.91886923348018,31.2347818287634,45.0,0.0,0.1,0.5,2.1723483499607816,12.0,12.0,0.041666666666666664,0.0,1.1194033329552946,0.6,2.1723483499607816,0.0,0.0,0.026118268252772123,6.75
autoregressive_ppo_order_201,learning,medium,medium,1,1,204,256,256,0.914712600002531,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_201_seed1.zip,2.0,-75.04645707659266,53.49539655981892,48.0,0.0,0.3,0.5,1.6875656460819068,14.0,14.0,0.10714285714285714,0.0,1.4040552084300846,0.5,1.6875656460819068,0.0,0.0,0.07218735259900767,16.0
autoregressive_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,206,256,256,0.914712600002531,results\air_defense_v1\task10_order_smoke\models\medium\autoregressive_ppo_order_201_seed1.zip,2.0,-72.64178912687899,10.179397343355792,50.0,0.0,0.2,0.5,1.9401173861994732,16.0,16.0,0.0625,0.0,1.1992049999389565,0.6,1.9401173861994732,0.0,0.0,0.06173180479087327,15.399999999999999
