method,method_type,train_scenario,eval_scenario,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_reward,2,-77.95590745857965,19.12842506502735,13.525839076899565,0.95,-249.81798800169923,93.90617308453994
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_steps,2,45.0,0.0,0.0,0.95,45.0,45.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,intercept_rate,2,0.25,0.07071067811865474,0.04999999999999999,0.95,0.0,0.8853102368216046
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,leak_rate,2,0.55,0.07071067811865474,0.04999999999999999,0.95,0.0,1.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_total_damage,2,1.9596121015154626,0.26887835818968797,0.19012571039023382,0.95,0.0,4.375388303393368
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_ammo_used,2,14.75,1.7677669529663689,1.25,0.95,0.0,30.63275592054012
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_shots,2,14.75,1.7677669529663689,1.25,0.95,0.0,30.63275592054012
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,hit_rate_per_shot,2,0.08680555555555555,0.034373246307679385,0.02430555555555555,0.95,0.0,0.39563692067716894
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_decision_time_ms,2,1.1725783330904154,0.041886648629417204,0.02961833328703911,0.95,0.7962417263934146,1.5489149397874162
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,high_threat_leak_rate,2,0.3,0.4242640687119285,0.3,0.95,0.0,1.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_zone_weighted_damage,2,1.9596121015154626,0.26887835818968797,0.19012571039023382,0.95,0.0,4.375388303393368
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,assignment_conflict_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,overkill_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,damage_reduction_per_ammo,2,0.057247164053255126,0.027979416793444872,0.019784435348289636,0.95,0.0,0.30863225018332746
autoregressive_ppo_order_012,learning,medium,heterogeneity_pressure,avg_resource_cost,2,15.087499999999999,0.4419417382415922,0.3125,0.95,11.116811019864969,19.05818898013503
autoregressive_ppo_order_012,learning,medium,medium,avg_reward,2,-79.6937688776966,6.347956953220011,4.488683408302165,0.95,-136.72789926060972,-22.659638494783465
autoregressive_ppo_order_012,learning,medium,medium,avg_steps,2,48.5,0.7071067811865476,0.5,0.95,42.14689763178395,54.85310236821605
autoregressive_ppo_order_012,learning,medium,medium,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning,medium,medium,intercept_rate,2,0.25,0.07071067811865474,0.04999999999999999,0.95,0.0,0.8853102368216046
autoregressive_ppo_order_012,learning,medium,medium,leak_rate,2,0.55,0.07071067811865474,0.04999999999999999,0.95,0.0,1.0
autoregressive_ppo_order_012,learning,medium,medium,avg_total_damage,2,1.9460467524835685,0.40147818472629465,0.28388794691842834,0.95,0.0,5.553185128234486
autoregressive_ppo_order_012,learning,medium,medium,avg_ammo_used,2,16.0,0.0,0.0,0.95,16.0,16.0
autoregressive_ppo_order_012,learning,medium,medium,avg_shots,2,16.0,0.0,0.0,0.95,16.0,16.0
autoregressive_ppo_order_012,learning,medium,medium,hit_rate_per_shot,2,0.078125,0.02209708691207961,0.015625,0.95,0.0,0.2766594490067515
autoregressive_ppo_order_012,learning,medium,medium,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning,medium,medium,avg_decision_time_ms,2,1.4479372342427368,0.2173812048903297,0.15371172408045441,0.95,0.0,3.40102987079895
autoregressive_ppo_order_012,learning,medium,medium,high_threat_leak_rate,2,0.5833333333333333,0.11785113019775789,0.0833333333333333,0.95,0.0,1.0
autoregressive_ppo_order_012,learning,medium,medium,avg_zone_weighted_damage,2,1.9460467524835685,0.40147818472629465,0.28388794691842834,0.95,0.0,5.553185128234486
autoregressive_ppo_order_012,learning,medium,medium,assignment_conflict_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning,medium,medium,overkill_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_012,learning,medium,medium,damage_reduction_per_ammo,2,0.048884841170246635,0.022439354717483644,0.01586701988618303,0.95,0.0,0.25049444440112767
autoregressive_ppo_order_012,learning,medium,medium,avg_resource_cost,2,17.0,0.0,0.0,0.95,17.0,17.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_reward,2,-95.61613664284815,12.299793525913682,8.697267409367958,0.95,-206.12539699377578,14.8931237080795
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_steps,2,43.75,1.7677669529663689,1.25,0.95,27.86724407945988,59.63275592054012
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,intercept_rate,2,0.1,0.0,0.0,0.95,0.1,0.1
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,leak_rate,2,0.65,0.21213203435596428,0.15,0.95,0.0,1.0
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_total_damage,2,2.3753184027144862,0.2870430013598716,0.20297005275370458,0.95,0.0,4.9542974483674795
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_ammo_used,2,10.5,2.1213203435596424,1.4999999999999998,0.95,0.0,29.55930710464814
autoregressive_ppo_order_120,learning,medium,heterogeneity_pressure,avg_shots,2,10.5,2.1213203435596424,1.4999999999999998,0.95,0.0,29.55930710464814
