method,eval_scenario,run_index,train_seed,collapsed_unit_count
role_conditioned_ar_ppo_order_012,heterogeneity_pressure,0,0,2
role_conditioned_ar_ppo_order_012,heterogeneity_pressure,1,1,3
role_conditioned_ar_ppo_order_012,heterogeneity_pressure,2,2,0
role_conditioned_ar_ppo_order_012,medium,0,0,1
role_conditioned_ar_ppo_order_012,medium,1,1,3
role_conditioned_ar_ppo_order_012,medium,2,2,0
role_conditioned_ar_ppo_order_012,time_pressure,0,0,1
role_conditioned_ar_ppo_order_012,time_pressure,1,1,3
role_conditioned_ar_ppo_order_012,time_pressure,2,2,0
role_conditioned_ar_ppo_order_120,heterogeneity_pressure,0,0,0
role_conditioned_ar_ppo_order_120,heterogeneity_pressure,1,1,0
role_conditioned_ar_ppo_order_120,heterogeneity_pressure,2,2,3
role_conditioned_ar_ppo_order_120,medium,0,0,0
role_conditioned_ar_ppo_order_120,medium,1,1,0
role_conditioned_ar_ppo_order_120,medium,2,2,3
role_conditioned_ar_ppo_order_120,time_pressure,0,0,0
role_conditioned_ar_ppo_order_120,time_pressure,1,1,0
role_conditioned_ar_ppo_order_120,time_pressure,2,2,3
role_conditioned_ar_ppo_order_201,heterogeneity_pressure,0,0,3
role_conditioned_ar_ppo_order_201,heterogeneity_pressure,1,1,2
role_conditioned_ar_ppo_order_201,heterogeneity_pressure,2,2,1
role_conditioned_ar_ppo_order_201,medium,0,0,3
role_conditioned_ar_ppo_order_201,medium,1,1,2
role_conditioned_ar_ppo_order_201,medium,2,2,1
role_conditioned_ar_ppo_order_201,time_pressure,0,0,3
role_conditioned_ar_ppo_order_201,time_pressure,1,1,2
role_conditioned_ar_ppo_order_201,time_pressure,2,2,0
