method,method_type,train_scenario,eval_scenario,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate,collapsed_unit
role_conditioned_ar_ppo_order_012,learning,medium,medium,0-1-2,0,missile,0,6670,137,0.020539730134932533,6396,6259,0.9785803627267042,47,9146,0.005138858517384649,0.7426479799117954,0.5004001072434909,0.9413850903404798,0,22935,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,0-1-2,1,missile,1,6670,80,0.01199400299850075,6594,6514,0.9878677585683955,36,9984,0.003605769230769231,0.782204115473608,0.4726981286354285,0.9383142100930406,118,25079,0.004705131783563938,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,0-1-2,2,laser,2,6670,298,0.044677661169415295,5912,5614,0.949594046008119,110,5827,0.01887763857902866,0.7578632618403757,0.23747125422909937,0.9152980160295978,203,15146,0.013402878647827809,False
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0-1-2,0,missile,0,4922,115,0.02336448598130841,4717,4602,0.9756200975196099,41,6666,0.006150615061506151,0.7559203769472732,0.4882674879934594,0.9296920336200547,0,17231,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0-1-2,1,missile,1,4922,87,0.0176757415684681,4834,4747,0.9820024824162185,41,7257,0.005649717514124294,0.7739545646969082,0.5037541070453553,0.927217180025362,96,18746,0.005121092499733276,False
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0-1-2,2,laser,2,4922,209,0.04246241365298659,4406,4197,0.9525646845211075,90,4533,0.01985440105890139,0.7675672610880213,0.28731852355243526,0.9194894449129412,192,11776,0.016304347826086956,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0-1-2,0,missile,0,6553,150,0.02289027926140699,6205,6055,0.975825946817083,72,10025,0.007182044887780549,0.7551909182053235,0.5142447616761042,0.9387209134407082,0,24054,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0-1-2,1,missile,1,6553,68,0.010376926598504501,6398,6330,0.989371678649578,29,8879,0.0032661335736006306,0.7296729276811998,0.37264064505393035,0.9670456726397163,131,21785,0.006013311911865962,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0-1-2,2,laser,2,6553,260,0.03967648405310545,5091,4831,0.948929483402082,118,4547,0.025951176599956015,0.7523439224227034,0.16842040550689927,0.9462945147712897,179,11282,0.015865981209005495,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,1-2-0,1,missile,0,6684,208,0.031119090365050867,6095,5887,0.9658736669401149,82,9377,0.008744801109096726,0.7562112227766191,0.5009278878387292,0.8798332984813838,0,23808,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,1-2-0,2,laser,1,6684,103,0.015409934171154997,5988,5885,0.9827989311957248,41,5693,0.0072018268048480594,0.7671801177226599,0.343473058848524,0.9182234298895309,208,14901,0.01395879471176431,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,1-2-0,0,missile,2,6684,138,0.02064631956912029,6342,6204,0.978240302743614,59,8909,0.006622516556291391,0.7704592272816171,0.518426673457604,0.93247712198578,213,22677,0.009392776822330997,False
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1-2-0,1,missile,0,4848,229,0.04723597359735974,4387,4158,0.9478003191246865,92,6806,0.013517484572436086,0.7552827019495588,0.4890836257654397,0.8771924110577753,0,17525,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1-2-0,2,laser,1,4848,138,0.028465346534653466,4342,4204,0.9682174113311838,47,4307,0.010912468075226375,0.7546357485829681,0.31723894995506635,0.9342511704271182,229,11252,0.020351937433345183,False
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1-2-0,0,missile,2,4848,154,0.03176567656765677,4462,4308,0.9654863290004483,65,6323,0.010279930412778745,0.7596267701820782,0.4918900672088838,0.9063206286041261,219,16570,0.013216656608328305,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1-2-0,1,missile,0,6654,211,0.0317102494740006,6154,5943,0.9657133571660709,91,8623,0.010553171749971007,0.7564335115689836,0.4276897914894527,0.9318375075860661,0,20932,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1-2-0,2,laser,1,6654,160,0.024045686804929366,5201,5041,0.969236685252836,71,4400,0.016136363636363636,0.7579091058562419,0.22482301270717517,0.8851779711239945,205,10985,0.018661811561219845,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1-2-0,0,missile,2,6654,205,0.03080853621881575,6020,5815,0.9659468438538206,109,9611,0.011341171574237852,0.7851630249821901,0.5091152910403849,0.8860815695481528,159,23396,0.00679603351000171,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,2-0-1,2,laser,0,6873,155,0.02255201513167467,6079,5924,0.9745023852607336,69,5667,0.012175754367390153,0.7790667851313499,0.2631459183446277,0.9182970672738539,0,14551,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,2-0-1,0,missile,1,6873,132,0.01920558707987778,6107,5975,0.9783854593089897,43,8518,0.0050481333646395865,0.7469549450857711,0.3550038786307653,0.8559730584535735,146,21404,0.006821154924313212,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,2-0-1,1,missile,2,6873,164,0.02386148697802997,5899,5735,0.9721986777419902,62,8938,0.006936674871335869,0.7535137058869699,0.35251759822303236,0.8216108807331476,230,22482,0.010230406547460191,False
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2-0-1,2,laser,0,4996,125,0.02502001601281025,4437,4312,0.9718278115844039,55,4163,0.013211626231083353,0.7727965030224868,0.3076260018822387,0.9300346296751855,0,11003,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2-0-1,0,missile,1,4996,148,0.029623698959167333,4191,4043,0.9646862324027679,61,5709,0.01068488351725346,0.7616185164519731,0.3139763763880416,0.7981916998227058,95,15147,0.0062718690169670565,False
