method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate,collapsed_unit
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,0-1-2,0,missile,0,2397,79,0.03295786399666249,2177,2098,0.9637115296279284,26,2876,0.009040333796940195,0.7363949335182228,0.527239156489177,0.915560822862802,0,7527,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,0-1-2,1,missile,1,2397,24,0.010012515644555695,2374,2350,0.9898904802021904,13,3310,0.00392749244712991,0.8136243833121389,0.5634537658866073,0.8986061014610006,79,8534,0.009257089289899227,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,0-1-2,2,laser,2,2397,0,0.0,2100,2100,1.0,0,1925,0.0,0.0,0.0,0.0,102,5127,0.01989467524868344,True
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,0-1-2,0,missile,0,1813,74,0.04081632653061224,1637,1563,0.9547953573610263,21,1770,0.011864406779661017,0.7413263438725012,0.49780351108342663,0.9082150984981944,0,5506,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,0-1-2,1,missile,1,1813,49,0.02702702702702703,1754,1705,0.9720638540478905,26,2003,0.012980529206190713,0.7964800556071467,0.5375517004378496,0.9183216281722595,67,6192,0.010820413436692506,False
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,0-1-2,2,laser,2,1813,0,0.0,1629,1629,1.0,0,1263,0.0,0.0,0.0,0.0,113,3981,0.02838482793268023,True
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,0,missile,0,2291,90,0.0392841553906591,1983,1893,0.9546142208774584,45,2955,0.015228426395939087,0.7650928559970069,0.563676370528176,0.9107324619389855,0,7630,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,1,missile,1,2291,2,0.0008729812309035355,2248,2246,0.9991103202846975,1,2682,0.0003728560775540641,0.8000357855448137,0.5214977897391289,1.0,87,7294,0.011927611735673155,True
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,2,laser,2,2291,0,0.0,1836,1836,1.0,0,1418,0.0,0.0,0.0,0.0,78,3814,0.02045097011012061,True
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,1-2-0,1,missile,0,2189,68,0.031064412973960714,2131,2063,0.9680900985452839,28,3277,0.008544400366188587,0.7487428373328989,0.4778355440525971,0.846880911403446,0,8404,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,1-2-0,2,laser,1,2189,56,0.025582457743261764,1927,1871,0.9709392838609238,21,1921,0.010931806350858927,0.745660296345237,0.31539712349776866,0.8718025688033736,68,5082,0.01338055883510429,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,1-2-0,0,missile,2,2189,39,0.017816354499771585,2129,2090,0.9816815406294035,15,3019,0.004968532626697582,0.7409341101902057,0.5163877419459926,0.9020147721957569,87,7940,0.010957178841309824,False
