method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,-36.8882638938107,50,5,2,1,1.3204102862897569,2,2,2,0,False,0.12065799999982119,2.4131599999964237,0.8,2,1,0.5,1.3204102862897569,2,0,0.0,0,0.0,1.4171307212738704,0.7085653606369352,4.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,1,201,-41.60594004499497,50,5,1,3,1.3780744583657385,1,1,1,0,False,0.12400560002424754,2.480112000484951,0.8,1,0,0.0,1.3780744583657385,1,0,0.0,0,0.0,0.8990710286590357,0.8990710286590357,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,2,202,-55.46649110915528,40,5,2,3,1.8488581974292746,4,4,2,0,False,0.09454300000652438,2.3635750001631095,0.8,1,0,0.0,1.8488581974292748,4,0,0.0,0,0.0,1.5360040022853956,0.3840010005713489,8.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,3,203,-58.14899242762446,50,5,1,3,1.7062533577485173,3,3,1,0,False,0.10602039998775581,2.120407999755116,0.8,1,0,0.0,1.7062533577485173,3,0,0.0,0,0.0,0.5277104086289783,0.17590346954299277,6.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,4,204,-69.36768819017632,50,5,1,3,2.2693391041475497,1,1,1,0,False,0.11809519999223994,2.361903999844799,0.8,1,1,1.0,2.2693391041475497,1,0,0.0,0,0.0,0.46205601706617005,0.46205601706617005,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,5,205,-61.72015803492798,50,5,1,3,2.021245872772215,1,1,1,0,False,0.11234180001338245,2.246836000267649,0.8,1,1,1.0,2.021245872772215,1,0,0.0,0,0.0,0.6437361709500938,0.6437361709500938,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,6,206,-43.86883155194433,39,5,3,2,1.7345585488897557,4,4,3,0,False,0.09227150001970585,2.3659358979411755,0.8,4,1,0.25,1.7345585488897557,4,0,0.0,0,0.0,2.414761678619353,0.6036904196548383,8.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,7,207,-38.72215801407365,50,5,1,2,1.298897952243233,1,1,1,0,False,0.10907969999243505,2.181593999848701,0.8,1,0,0.0,1.298897952243233,1,0,0.0,0,0.0,0.9341821503367427,0.9341821503367427,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,8,208,-62.329324716242986,50,5,1,2,1.9685252876047308,2,2,1,0,False,0.10389559999748599,2.0779119999497198,0.8,4,2,0.5,1.9685252876047308,2,0,0.0,0,0.0,0.5652483659556387,0.2826241829778193,4.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,9,209,-66.46456676630592,50,5,1,3,2.1574955499932105,2,2,1,0,False,0.13550560000294354,2.7101120000588708,0.8,3,2,0.6666666666666666,2.157495549993211,2,0,0.0,0,0.0,1.134382461943699,0.5671912309718495,4.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,10,210,-37.51445818583036,50,5,2,2,1.2596954656220154,2,2,2,0,False,0.11725470000965288,2.3450940001930576,0.8,2,1,0.5,1.2596954656220154,2,0,0.0,0,0.0,1.5046827304485817,0.7523413652242908,4.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,11,211,-35.61439673791961,50,5,1,2,1.1304140829656533,1,1,1,0,False,0.09849830000166548,1.9699660000333097,0.8,3,1,0.3333333333333333,1.1304140829656533,1,0,0.0,0,0.0,0.9905230042535716,0.9905230042535716,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,12,212,-76.17553107187186,50,5,1,3,2.4622980572856843,1,1,1,0,False,0.097165600011067,1.94331200022134,0.8,1,1,1.0,2.4622980572856843,1,0,0.0,0,0.0,0.4258673780722083,0.4258673780722083,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,13,213,-65.84103645942915,47,5,2,3,2.283166402005741,3,3,2,0,False,0.09673429994290927,2.0581765945299844,0.8,1,0,0.0,2.283166402005741,3,0,0.0,0,0.0,1.8976412793773925,0.6325470931257975,6.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,14,214,-70.16364172589391,31,5,2,3,2.1811213301335366,6,6,2,0,False,0.065767500003858,2.1215322581889677,0.8,2,2,1.0,2.1811213301335366,6,0,0.0,0,0.0,1.4877042225743247,0.24795070376238745,12.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,15,215,-52.78331390129459,50,5,0,3,1.5261104633764857,1,1,0,0,False,0.09622149999631802,1.9244299999263603,0.8,1,1,1.0,1.5261104633764857,1,0,0.0,0,0.0,0.0,0.0,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,16,216,-45.84448850167518,50,5,2,2,1.560736346912449,2,2,2,0,False,0.09083580001606606,1.8167160003213212,0.8,2,1,0.5,1.560736346912449,2,0,0.0,0,0.0,1.238986010667726,0.619493005333863,4.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,17,217,-53.61738537874742,50,5,1,2,1.6379588908913116,2,2,1,0,False,0.09752379998826655,1.950475999765331,0.8,2,1,0.5,1.6379588908913116,2,0,0.0,0,0.0,0.7018171620974326,0.3509085810487163,4.0
