method,method_type,train_scenario,eval_scenario,attribution,count,total_high_threat_leaks,rate
role_conditioned_ar_ppo_order_012,learning,medium,medium,never_legal,0,152,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,unassigned,146,152,0.9605263157894737
role_conditioned_ar_ppo_order_012,learning,medium,medium,prefix_denied,0,152,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,mismatched_resource,3,152,0.019736842105263157
role_conditioned_ar_ppo_order_012,learning,medium,medium,attempted_miss,3,152,0.019736842105263157
role_conditioned_ar_ppo_order_012,learning,medium,medium,resource_exhausted,0,152,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,never_legal,0,194,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,unassigned,184,194,0.9484536082474226
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,prefix_denied,0,194,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,mismatched_resource,7,194,0.03608247422680412
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,attempted_miss,3,194,0.015463917525773196
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,resource_exhausted,0,194,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,never_legal,0,173,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,unassigned,164,173,0.9479768786127167
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,prefix_denied,0,173,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,mismatched_resource,6,173,0.03468208092485549
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,attempted_miss,3,173,0.017341040462427744
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,resource_exhausted,0,173,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,never_legal,0,118,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,unassigned,114,118,0.9661016949152542
role_conditioned_ar_ppo_order_120,learning,medium,medium,prefix_denied,0,118,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,mismatched_resource,0,118,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,attempted_miss,4,118,0.03389830508474576
role_conditioned_ar_ppo_order_120,learning,medium,medium,resource_exhausted,0,118,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,never_legal,0,158,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,unassigned,152,158,0.9620253164556962
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,prefix_denied,1,158,0.006329113924050633
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,mismatched_resource,0,158,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,attempted_miss,5,158,0.03164556962025317
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,resource_exhausted,0,158,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,never_legal,0,126,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,unassigned,117,126,0.9285714285714286
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,prefix_denied,1,126,0.007936507936507936
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,mismatched_resource,0,126,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,attempted_miss,8,126,0.06349206349206349
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,resource_exhausted,0,126,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,never_legal,0,144,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,unassigned,135,144,0.9375
role_conditioned_ar_ppo_order_201,learning,medium,medium,prefix_denied,3,144,0.020833333333333332
role_conditioned_ar_ppo_order_201,learning,medium,medium,mismatched_resource,0,144,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,attempted_miss,6,144,0.041666666666666664
role_conditioned_ar_ppo_order_201,learning,medium,medium,resource_exhausted,0,144,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,never_legal,0,191,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,unassigned,172,191,0.900523560209424
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,prefix_denied,9,191,0.04712041884816754
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,mismatched_resource,0,191,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,attempted_miss,10,191,0.05235602094240838
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,resource_exhausted,0,191,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,never_legal,0,162,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,unassigned,148,162,0.9135802469135802
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,prefix_denied,10,162,0.06172839506172839
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,mismatched_resource,0,162,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,attempted_miss,4,162,0.024691358024691357
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,resource_exhausted,0,162,0.0
