method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,never_legal,0,45,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,unassigned,43,45,0.9555555555555556
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,prefix_denied,0,45,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,mismatched_resource,0,45,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,attempted_miss,2,45,0.044444444444444446
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,resource_exhausted,0,45,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,never_legal,0,53,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,unassigned,51,53,0.9622641509433962
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,prefix_denied,0,53,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,mismatched_resource,0,53,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,attempted_miss,2,53,0.03773584905660377
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,resource_exhausted,0,53,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,never_legal,0,47,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,unassigned,44,47,0.9361702127659575
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,prefix_denied,0,47,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,mismatched_resource,0,47,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,attempted_miss,3,47,0.06382978723404255
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,resource_exhausted,0,47,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,never_legal,0,38,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,unassigned,38,38,1.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,prefix_denied,0,38,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,mismatched_resource,0,38,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,attempted_miss,0,38,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,resource_exhausted,0,38,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,never_legal,0,40,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,unassigned,37,40,0.925
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,prefix_denied,1,40,0.025
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,mismatched_resource,0,40,0.0
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,attempted_miss,2,40,0.05
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,resource_exhausted,0,40,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,never_legal,0,36,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,unassigned,32,36,0.8888888888888888
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,prefix_denied,1,36,0.027777777777777776
