method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
role_conditioned_ar_ppo_order_012,medium,medium,0,0,0,10000,1.2558938000001945,10.0,-89.67836964568035,32.40879835902876,46.0,0.0,0.02,0.7,2.3896223215489565,0.8,0.8,0.125,0.0,2.1508760867974437,0.7142857142857143,2.3896223215489565,0.0,0.0,0.06970248271955555,1.6
role_conditioned_ar_ppo_order_012,medium,medium,0,0,10000,10000,41.959186399995815,10.0,-45.260498396911636,36.01185044114489,46.4,0.0,0.48,0.34,1.1247320623397665,16.0,16.0,0.15,0.0,2.273923275910859,0.35714285714285715,1.1247320623397665,0.0,0.0,0.10234282941732668,17.0
role_conditioned_ar_ppo_order_012,medium,medium,0,0,20000,10000,85.0889401999957,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,2.284023913117657,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,0,0,30000,10000,124.99163199999748,10.0,-52.574387477358826,21.316729921897288,46.3,0.0,0.32,0.52,1.6980981017896977,1.7,1.7,0.9411764705882353,0.0,2.360764362954396,0.5714285714285714,1.6980981017896977,0.0,0.0,0.7111676561821241,3.4
role_conditioned_ar_ppo_order_012,medium,medium,0,0,30208,10000,127.47043539999868,10.0,-51.92983043824446,25.047964341360416,46.4,0.0,0.3,0.52,1.6623294395466168,1.7,1.7,0.8823529411764706,0.0,2.4077661637106913,0.5714285714285714,1.6623294395466168,0.0,0.0,0.6788781572976537,3.4
role_conditioned_ar_ppo_order_120,medium,medium,0,0,0,10000,1.399952600004326,10.0,-89.67836964568035,32.40879835902876,46.0,0.0,0.02,0.7,2.3896223215489565,0.8,0.8,0.125,0.0,2.4262586956193326,0.7142857142857143,2.3896223215489565,0.0,0.0,0.06970248271955555,1.6
role_conditioned_ar_ppo_order_120,medium,medium,0,0,10000,10000,43.139189300003636,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,1.9280913043273713,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,0,0,20000,10000,85.23939249999967,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,2.3423128262473494,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,0,0,30000,10000,126.02357050000137,10.0,-43.81316948704306,32.95620102949651,44.4,0.1,0.36,0.5,1.603407912789116,2.1,2.1,0.8571428571428571,0.0,1.9413290539870998,0.5,1.603407912789116,0.0,0.0,0.6299453966309487,3.45
role_conditioned_ar_ppo_order_120,medium,medium,0,0,30208,10000,127.8555489000064,10.0,-44.70300346592528,37.31581094660982,43.6,0.1,0.46,0.46,1.564380393751053,3.2,3.2,0.71875,0.0,1.8833555046562693,0.5714285714285714,1.564380393751053,0.0,0.0,0.47337325725990653,5.05
role_conditioned_ar_ppo_order_201,medium,medium,0,0,0,10000,1.3239621000029729,10.0,-89.67836964568035,32.40879835902876,46.0,0.0,0.02,0.7,2.3896223215489565,0.8,0.8,0.125,0.0,2.2873508693959117,0.7142857142857143,2.3896223215489565,0.0,0.0,0.06970248271955555,1.6
role_conditioned_ar_ppo_order_201,medium,medium,0,0,10000,10000,40.84687300000223,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,1.9306128262384015,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,0,0,20000,10000,83.0627364000029,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,2.279843260950419,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,0,0,30000,10000,124.4251934999993,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,2.8809802173307855,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,0,0,30208,10000,126.8826790000021,10.0,-90.461529231738,29.400506407269948,46.0,0.0,0.0,0.72,2.445384307724601,0.0,0.0,0.0,0.0,2.3658458695180067,0.7857142857142857,2.445384307724601,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,1,1,0,10010,1.1161811999991187,10.0,-52.4160192088234,41.549331297559654,48.5,0.0,0.34,0.32,1.1556578161658742,16.0,16.0,0.10625,0.0,1.8800676288143203,0.375,1.1556578161658742,0.0,0.0,0.07810077742929836,17.0
role_conditioned_ar_ppo_order_012,medium,medium,1,1,10000,10010,43.31222539999726,10.0,-61.61837824906523,33.49093305365193,49.4,0.0,0.18,0.48,1.727261254273738,8.0,8.0,0.1125,0.0,2.4438601214812667,0.5625,1.727261254273738,0.0,0.0,0.08780223652113021,7.6
role_conditioned_ar_ppo_order_012,medium,medium,1,1,20000,10010,84.96015809999517,10.0,-83.1398086780004,29.864444620115176,45.2,0.0,0.0,0.6,2.2039936226000134,0.0,0.0,0.0,0.0,1.8578946900424451,0.75,2.2039936226000134,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,1,1,30000,10010,127.48372179999569,10.0,-83.1398086780004,29.864444620115176,45.2,0.0,0.0,0.6,2.2039936226000134,0.0,0.0,0.0,0.0,2.4092601772152564,0.75,2.2039936226000134,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,1,1,30208,10010,129.96466019999934,10.0,-83.1398086780004,29.864444620115176,45.2,0.0,0.0,0.6,2.2039936226000134,0.0,0.0,0.0,0.0,2.483050442332674,0.75,2.2039936226000134,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,1,1,0,10010,1.4421052999969106,10.0,-48.80372825409041,33.564947697959184,49.4,0.0,0.42,0.32,1.1631036333451343,16.0,16.0,0.13125,0.0,2.4044372468690955,0.4375,1.1631036333451343,0.0,0.0,0.09213911690472985,17.0
role_conditioned_ar_ppo_order_120,medium,medium,1,1,10000,10010,42.57702729999437,10.0,-83.1398086780004,29.864444620115176,45.2,0.0,0.0,0.6,2.2039936226000134,0.0,0.0,0.0,0.0,1.9615535396935502,0.75,2.2039936226000134,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,1,1,20000,10010,84.17079879999801,10.0,-83.92917936165827,30.57419993414163,46.1,0.0,0.02,0.6,2.2405838782910443,0.1,0.1,1.0,0.0,2.302213665716645,0.75,2.2405838782910448,0.0,0.0,0.3960212567611633,0.05
role_conditioned_ar_ppo_order_120,medium,medium,1,1,30000,10010,126.35678749999352,10.0,2.9474186075485487,22.294596023119183,47.0,0.3,0.8,0.08,0.29071398953056093,7.5,7.5,0.5333333333333333,0.0,2.082955744674806,0.0625,0.29071398953056093,0.0,0.0,0.3811765528103114,12.15
role_conditioned_ar_ppo_order_120,medium,medium,1,1,30208,10010,128.8798112000004,10.0,-11.576093276406578,23.403090858614235,48.1,0.0,0.64,0.12,0.49264902955658957,5.2,5.2,0.6153846153846154,0.0,2.4462550939455254,0.125,0.49264902955658957,0.0,0.0,0.434183557674385,8.75
role_conditioned_ar_ppo_order_201,medium,medium,1,1,0,10010,1.1329678000038257,10.0,-55.990591641147056,41.689423525557864,48.5,0.0,0.34,0.34,1.262501219784901,16.0,16.0,0.10625,0.0,1.9121119587654585,0.4375,1.262501219784901,0.0,0.0,0.07516291694056759,17.0
role_conditioned_ar_ppo_order_201,medium,medium,1,1,10000,10010,41.90625459999865,10.0,-83.1398086780004,29.864444620115176,45.2,0.0,0.0,0.6,2.2039936226000134,0.0,0.0,0.0,0.0,1.9147561948734337,0.75,2.2039936226000134,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,1,1,20000,10010,83.9173626999982,10.0,-83.1398086780004,29.864444620115176,45.2,0.0,0.0,0.6,2.2039936226000134,0.0,0.0,0.0,0.0,1.9678913718254296,0.75,2.2039936226000134,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,1,1,30000,10010,125.82227380000404,10.0,-51.11782939203291,43.70356091031168,46.7,0.0,0.34,0.4,1.4728386872884158,4.9,4.9,0.3469387755102041,0.0,1.956534689389283,0.5,1.4728386872884158,0.0,0.0,0.2380852760827272,3.2
role_conditioned_ar_ppo_order_201,medium,medium,1,1,30208,10010,127.7904114999983,10.0,-55.93915351350161,38.90707774066583,47.2,0.0,0.28,0.42,1.5906275268005596,4.0,4.0,0.35,0.0,1.9223220339218812,0.5625,1.5906275268005596,0.0,0.0,0.2332638437908688,2.9
