train_scenario,eval_scenario,method_a,method_b,metric,n_pairs,mean_difference,std_difference,sem_difference,confidence_level,ci_low,ci_high
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,avg_reward,3,-17.014016107547224,67.29190828689494,38.8510013637224,0.95,-184.17638317659598,150.1483509615015
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,avg_steps,3,-0.6733333333333343,3.2815443518766196,1.8946005149136624,0.95,-8.82514141051032,7.478474743843651
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,success_rate,3,-0.060000000000000005,0.09165151389911681,0.05291502622129182,0.95,-0.2876749820129842,0.1676749820129842
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,intercept_rate,3,-0.12933333333333336,0.5780288343442163,0.33372510310799886,0.95,-1.5652365591890909,1.3065698925224243
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,leak_rate,3,0.11200000000000003,0.38855630222658855,0.2243330856858465,0.95,-0.8532273634873659,1.077227363487366
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,avg_total_damage,3,0.41408244475010864,1.4734380904650939,0.8506898781642702,0.95,-3.2461406816582667,4.074305571158484
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,avg_ammo_used,3,-0.6533333333333339,6.957595370049435,4.016969559810535,0.95,-17.93695837495844,16.630291708291775
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,avg_shots,3,-0.6533333333333339,6.957595370049435,4.016969559810535,0.95,-17.93695837495844,16.630291708291775
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,hit_rate_per_shot,3,-0.16718004952533924,0.3637414080359008,0.21000619984494087,0.95,-1.0707637985412874,0.736403699490609
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,avg_invalid_actions,3,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,avg_decision_time_ms,3,-0.07026361833466706,0.18455319477447257,0.10655183668284718,0.95,-0.528719169292257,0.3881919326229229
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,role_conditioned_ar_ppo_order_120,high_threat_leak_rate,3,0.1379271095355394,0.40788584960089175,0.23549300506571408,0.95,-0.8753175115348026,1.1511717306058815
