method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,actor_parameters,critic_parameters,shared_parameters,total_parameters,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,30000,30208,128.33646059999592,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed0.zip,34946,34945,0,69891,50.0,-53.00843160666259,20.648101833071404,47.94,0.0,0.292,0.5,1.7060143711241857,2.06,2.06,0.7087378640776699,0.0,2.0316001250836515,0.47368421052631576,1.7060143711241857,0.0,0.0,0.5240429486808076,4.12
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,0,250,30000,30208,128.33646059999592,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed0.zip,34946,34945,0,69891,50.0,-70.53877479054604,26.71699217982193,36.26,0.0,0.336,0.656,2.1678439474692586,2.46,2.46,0.6829268292682927,0.0,1.91935306139559,0.6309523809523809,2.1678439474692586,0.0,0.0,0.5159029692403759,4.92
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,300,30000,30208,128.33646059999592,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed0.zip,34946,34945,0,69891,50.0,-64.31084907329398,25.822855776846005,45.82,0.0,0.252,0.56,1.9000941351579745,1.84,1.84,0.6847826086956522,0.0,2.2309192492211607,0.4845360824742268,1.9000941351579745,0.0,0.0,0.5150953102607366,5.1
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,200,30000,30208,127.87960300000123,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed0.zip,34946,34945,0,69891,50.0,-46.659509951029875,36.510274482852395,43.78,0.04,0.392,0.44,1.523415126054487,3.26,3.26,0.6012269938650306,0.0,2.2015466423744416,0.4,1.523415126054487,0.0,0.0,0.4441551611030966,4.84
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,0,0,250,30000,30208,127.87960300000123,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed0.zip,34946,34945,0,69891,50.0,-42.27990921521405,43.46428882172674,32.76,0.1,0.496,0.472,1.5363428733678033,3.9,3.9,0.6358974358974359,0.0,2.3981876677106575,0.47619047619047616,1.5363428733678033,0.0,0.0,0.4749760655092639,5.76
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,300,30000,30208,127.87960300000123,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed0.zip,34946,34945,0,69891,50.0,-43.37280040075536,40.43837163117112,42.72,0.08,0.46,0.424,1.4320342642188197,4.7,4.7,0.48936170212765956,0.0,2.5140109550779193,0.3711340206185567,1.4320342642188197,0.0,0.0,0.35701945159214893,6.922
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,200,30000,30208,126.90435250000155,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed0.zip,34946,34945,0,69891,50.0,-93.57602560334283,24.221441998333987,45.18,0.0,0.0,0.708,2.485267520111428,0.0,0.0,0.0,0.0,2.126330500144978,0.6736842105263158,2.485267520111428,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,0,0,250,30000,30208,126.90435250000155,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed0.zip,34946,34945,0,69891,50.0,-114.74168084905529,8.174790744472004,33.32,0.0,0.0,0.836,2.880322694968509,0.0,0.0,0.0,0.0,2.017599639709827,0.8333333333333334,2.8803226949685086,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,300,30000,30208,126.90435250000155,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed0.zip,34946,34945,0,69891,50.0,-91.36764579855888,28.363642801212922,44.0,0.0,0.0,0.708,2.4322548599519633,0.0,0.0,0.0,0.0,2.2509330909914835,0.6701030927835051,2.4322548599519633,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,350,30000,30208,129.9870740999977,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed1.zip,34946,34945,0,69891,50.0,-93.24193445668514,27.050352546218196,45.18,0.0,0.0,0.708,2.490797815222839,0.0,0.0,0.0,0.0,2.055296591430002,0.6636363636363637,2.490797815222839,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,1,1,400,30000,30208,129.9870740999977,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed1.zip,34946,34945,0,69891,50.0,-114.994943309769,10.637219492985642,31.32,0.0,0.0,0.8,2.9120981103256343,0.0,0.0,0.0,0.0,1.9068324392050606,0.8611111111111112,2.9120981103256334,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,450,30000,30208,129.9870740999977,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed1.zip,34946,34945,0,69891,50.0,-97.01262725582116,27.528140617516836,42.94,0.0,0.0,0.704,2.5572875751940383,0.0,0.0,0.0,0.0,2.406035165356705,0.7522123893805309,2.5572875751940383,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,350,30000,30208,128.9035320000039,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed1.zip,34946,34945,0,69891,50.0,-9.555614533036048,19.319020060056214,46.66,0.06,0.676,0.172,0.5298467277547085,5.28,5.28,0.6401515151515151,0.0,1.9918858123538725,0.17272727272727273,0.5298467277547085,0.0,0.0,0.4757527169427243,9.51
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,1,1,400,30000,30208,128.9035320000039,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed1.zip,34946,34945,0,69891,50.0,-18.7676746191069,33.23458453250778,31.88,0.14,0.728,0.26,0.8946760873238938,6.52,6.52,0.558282208588957,0.0,2.5228129233936722,0.3055555555555556,0.8946760873238938,0.0,0.0,0.4105892394613643,10.94
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,450,30000,30208,128.9035320000039,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed1.zip,34946,34945,0,69891,50.0,-14.754583080476678,30.203635557039796,45.8,0.14,0.664,0.216,0.6974974612077541,6.24,6.24,0.532051282051282,0.0,2.3792674672913403,0.19469026548672566,0.6974974612077541,0.0,0.0,0.3962374453805178,11.218
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,350,30000,30208,127.80803719999676,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed1.zip,34946,34945,0,69891,50.0,-57.08300333978063,34.92551197500372,46.02,0.02,0.304,0.5,1.797696778734889,3.7,3.7,0.41081081081081083,0.0,2.180994741518661,0.45454545454545453,1.797696778734889,0.0,0.0,0.28084423812920706,2.81
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,1,1,400,30000,30208,127.80803719999676,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed1.zip,34946,34945,0,69891,50.0,-90.59647221791232,33.90094151127745,31.54,0.0,0.176,0.692,2.479273554271194,2.16,2.16,0.4074074074074074,0.0,2.427649778219555,0.7129629629629629,2.479273554271194,0.0,0.0,0.31575763619304303,1.41
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,450,30000,30208,127.80803719999676,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed1.zip,34946,34945,0,69891,50.0,-70.14625893354179,33.292084681194154,44.08,0.0,0.204,0.58,2.053126302798027,3.14,3.14,0.3248407643312102,0.0,2.5440756806267824,0.584070796460177,2.053126302798027,0.0,0.0,0.24558104496904756,1.95
role_conditioned_ar_ppo_order_012,learning,medium,medium,2,2,500,30000,30208,128.41187440000067,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed2.zip,34946,34945,0,69891,50.0,-34.11403768718816,32.687002763290366,40.28,0.06,0.576,0.38,1.2995399959823584,8.24,8.24,0.34951456310679613,0.0,2.039479940431337,0.3655913978494624,1.2995399959823584,0.0,0.0,0.26407053672191516,7.54
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,2,2,550,30000,30208,128.41187440000067,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed2.zip,34946,34945,0,69891,50.0,-45.74161585359459,29.335532765470234,30.86,0.0,0.508,0.476,1.6321407154681944,5.76,5.76,0.4409722222222222,0.0,2.0759313674085704,0.47058823529411764,1.6321407154681944,0.0,0.0,0.32836419157070534,5.25
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,2,2,600,30000,30208,128.41187440000067,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed2.zip,34946,34945,0,69891,50.0,-36.44786022023521,32.57150431167749,42.3,0.04,0.544,0.38,1.3169232528165722,7.72,7.72,0.35233160621761656,0.0,2.4817288888077007,0.3904761904761905,1.3169232528165722,0.0,0.0,0.26307214291250736,6.6400000000000015
role_conditioned_ar_ppo_order_120,learning,medium,medium,2,2,500,30000,30208,128.8218119000012,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed2.zip,34946,34945,0,69891,50.0,-86.81909109600767,30.390156074864738,43.24,0.0,0.06,0.656,2.328248326241862,0.44,0.44,0.6818181818181818,0.0,1.9510666513693022,0.6559139784946236,2.328248326241862,0.0,0.0,0.6246287674978542,0.52
role_conditioned_ar_ppo_order_120,learning,medium,time_pressure,2,2,550,30000,30208,128.8218119000012,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed2.zip,34946,34945,0,69891,50.0,-115.18693876976866,10.498885436975012,32.32,0.0,0.0,0.82,2.9151646256589547,0.0,0.0,0.0,0.0,2.324682735110004,0.8333333333333334,2.9151646256589547,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,2,2,600,30000,30208,128.8218119000012,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_120_seed2.zip,34946,34945,0,69891,50.0,-88.60190474547665,31.033724151924417,44.56,0.0,0.06,0.668,2.4025259034916853,0.58,0.58,0.5172413793103449,0.0,2.436195736020308,0.6476190476190476,2.4025259034916853,0.0,0.0,0.5446974171445084,0.47
role_conditioned_ar_ppo_order_201,learning,medium,medium,2,2,500,30000,30208,128.6178992999994,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed2.zip,34946,34945,0,69891,50.0,-40.23697535787098,35.209987718189986,46.26,0.02,0.528,0.336,1.2436329663535346,5.32,5.32,0.49624060150375937,0.0,1.9118365759177807,0.3225806451612903,1.2436329663535346,0.0,0.0,0.3517139761644945,10.58
role_conditioned_ar_ppo_order_201,learning,medium,time_pressure,2,2,550,30000,30208,128.6178992999994,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed2.zip,34946,34945,0,69891,50.0,-54.3206351505755,41.019667987797156,35.06,0.04,0.528,0.464,1.6511350467972221,6.34,6.34,0.416403785488959,0.0,2.1358740444484243,0.43137254901960786,1.6511350467972221,0.0,0.0,0.29886790781938416,11.84
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,2,2,600,30000,30208,128.6178992999994,results\air_defense_v1\task11_role_conditioned_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_201_seed2.zip,34946,34945,0,69891,50.0,-33.202397793485275,23.956878450367675,47.04,0.0,0.508,0.304,1.0223523052779775,4.86,4.86,0.522633744855967,0.0,2.4139259353494733,0.29523809523809524,1.0223523052779775,0.0,0.0,0.39597096901383977,10.932999999999998
