method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate,collapsed_unit
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,0-1-2,0,missile,0,92,0,0.0,92,92,1.0,0,114,0.0,0.0,0.0,0.0,0,352,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,0-1-2,1,missile,1,92,0,0.0,92,92,1.0,0,111,0.0,0.0,0.0,0.0,0,378,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,0-1-2,2,laser,2,92,0,0.0,82,82,1.0,0,74,0.0,0.0,0.0,0.0,0,234,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,0,missile,0,87,0,0.0,87,87,1.0,0,75,0.0,0.0,0.0,0.0,0,321,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,1,missile,1,87,0,0.0,87,87,1.0,0,57,0.0,0.0,0.0,0.0,0,285,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,0-1-2,2,laser,2,87,0,0.0,75,75,1.0,0,19,0.0,0.0,0.0,0.0,0,182,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,1-2-0,1,missile,0,92,0,0.0,92,92,1.0,0,111,0.0,0.0,0.0,0.0,0,378,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,1-2-0,2,laser,1,92,0,0.0,82,82,1.0,0,74,0.0,0.0,0.0,0.0,0,234,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,1-2-0,0,missile,2,92,0,0.0,92,92,1.0,0,114,0.0,0.0,0.0,0.0,0,352,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,1,missile,0,87,0,0.0,87,87,1.0,0,57,0.0,0.0,0.0,0.0,0,285,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,2,laser,1,87,0,0.0,75,75,1.0,0,19,0.0,0.0,0.0,0.0,0,182,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,1-2-0,0,missile,2,87,0,0.0,87,87,1.0,0,75,0.0,0.0,0.0,0.0,0,321,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,2-0-1,2,laser,0,92,0,0.0,82,82,1.0,0,74,0.0,0.0,0.0,0.0,0,234,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,2-0-1,0,missile,1,92,0,0.0,92,92,1.0,0,114,0.0,0.0,0.0,0.0,0,352,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,2-0-1,1,missile,2,92,0,0.0,92,92,1.0,0,111,0.0,0.0,0.0,0.0,0,378,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,2,laser,0,87,0,0.0,75,75,1.0,0,19,0.0,0.0,0.0,0.0,0,182,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,0,missile,1,87,0,0.0,87,87,1.0,0,75,0.0,0.0,0.0,0.0,0,321,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,2-0-1,1,missile,2,87,0,0.0,87,87,1.0,0,57,0.0,0.0,0.0,0.0,0,285,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,0-1-2,0,missile,0,96,6,0.0625,6,0,0.0,2,2,1.0,0.7768608365752989,0.06843187097690474,0.9672024246386832,0,8,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,0-1-2,1,missile,1,96,6,0.0625,6,0,0.0,2,2,1.0,0.7887581758812553,0.0868978325274784,0.8545684557621218,6,17,0.35294117647058826,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,0-1-2,2,laser,2,96,20,0.20833333333333334,20,0,0.0,8,8,1.0,0.7775594145609733,0.06245930398256616,0.9536192060719475,0,37,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,0,missile,0,90,6,0.06666666666666667,6,0,0.0,3,9,0.3333333333333333,0.8190285412659294,0.2126766977483979,0.8563796359931007,0,21,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,1,missile,1,90,6,0.06666666666666667,6,0,0.0,3,6,0.5,0.8104775377476998,0.0920285751793712,1.0,1,16,0.0625,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,0-1-2,2,laser,2,90,20,0.2222222222222222,20,0,0.0,10,24,0.4166666666666667,0.8001792275370597,0.06316531240339454,0.8499964779571633,0,42,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,1-2-0,1,missile,0,82,0,0.0,82,82,1.0,0,59,0.0,0.0,0.0,0.0,0,323,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,1-2-0,2,laser,1,82,0,0.0,73,73,1.0,0,48,0.0,0.0,0.0,0.0,0,190,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,1-2-0,0,missile,2,82,0,0.0,82,82,1.0,0,57,0.0,0.0,0.0,0.0,0,285,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,1-2-0,1,missile,0,90,0,0.0,87,87,1.0,0,147,0.0,0.0,0.0,0.0,0,328,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,1-2-0,2,laser,1,90,0,0.0,68,68,1.0,0,82,0.0,0.0,0.0,0.0,0,198,0.0,False
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,1-2-0,0,missile,2,90,0,0.0,90,90,1.0,0,183,0.0,0.0,0.0,0.0,0,377,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,2-0-1,2,laser,0,82,0,0.0,73,73,1.0,0,48,0.0,0.0,0.0,0.0,0,190,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,2-0-1,0,missile,1,82,0,0.0,82,82,1.0,0,57,0.0,0.0,0.0,0.0,0,285,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,medium,1,1,2-0-1,1,missile,2,82,0,0.0,82,82,1.0,0,59,0.0,0.0,0.0,0.0,0,323,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,2-0-1,2,laser,0,90,0,0.0,68,68,1.0,0,82,0.0,0.0,0.0,0.0,0,198,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,2-0-1,0,missile,1,90,0,0.0,90,90,1.0,0,183,0.0,0.0,0.0,0.0,0,377,0.0,False
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,1,1,2-0-1,1,missile,2,90,0,0.0,87,87,1.0,0,147,0.0,0.0,0.0,0.0,0,328,0.0,False
