method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,step_index,unit_index,resource_type,unit_order,unit_order_position,selected_action,selected_target,selected_noop,base_action_legal,conditional_action_legal,ammo_before,cooldown_before,energy_before,num_base_legal_targets,num_conditional_legal_targets,num_conditional_high_threat_targets,prefix_denied_target_count,avoidable_noop,selected_high_threat,target_alive,target_threat,target_payload,target_time_to_impact,target_distance,hit_probability,damage_potential,expected_damage_reduction,best_expected_damage_reduction,matching_efficiency,target_already_selected_by_prefix,shot_fired,hit,target_intercepted,target_status_after
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,0,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.2686379961159966,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,0,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.33966777144363136,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,0,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,1,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.2893935508541203,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,1,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.3603588719859385,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,1,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,0,0,0,0,False,False,,,,,,,,,0.0,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,2,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.31013194909513725,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,2,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.3810278098800076,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,2,2,laser,0-1-2,2,5,,True,True,True,10,0,1.0,1,1,0,0,True,False,,,,,,,,,0.009662318398424132,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,3,0,missile,0-1-2,0,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.33085183500644977,,False,False,False,False,
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,3,1,missile,0-1-2,1,5,,True,True,True,3,0,1.0,4,4,2,0,True,False,,,,,,,,,0.40167275996657215,,False,False,False,False,
