method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,0,200,-111.32623022690883,42,5,0,3,2.7375410075636273,0,0,0,0,False,0.08268139999563573,1.9686047618008506,0.8,2,1,0.5,2.7375410075636273,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,1,201,-73.31436461074323,50,5,0,4,2.2771454870247743,0,0,0,0,False,0.09804019995499402,1.9608039990998805,0.8,1,1,1.0,2.2771454870247743,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,202,0,202,-116.37839433676658,37,5,0,4,2.922613144558886,0,0,0,0,False,0.06958830000075977,1.8807648648853992,0.8,1,1,1.0,2.922613144558886,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,202,1,203,-72.01891299132484,50,5,0,4,2.2339637663774954,0,0,0,0,False,0.09219170002324972,1.8438340004649945,0.8,1,0,0.0,2.233963766377496,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,200,0,200,-111.32623022690883,42,5,0,3,2.7375410075636273,0,0,0,0,False,0.11196380000183126,2.665804761948363,0.8,2,1,0.5,2.7375410075636273,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,200,1,201,-73.31436461074323,50,5,0,4,2.2771454870247743,0,0,0,0,False,0.15501599999697646,3.1003199999395292,0.8,1,1,1.0,2.2771454870247743,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,202,0,202,-116.37839433676658,37,5,0,4,2.922613144558886,0,0,0,0,False,0.11091119998309296,2.997599999543053,0.8,1,1,1.0,2.922613144558886,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,202,1,203,-72.01891299132484,50,5,0,4,2.2339637663774954,0,0,0,0,False,0.10901789998752065,2.180357999750413,0.8,1,0,0.0,2.233963766377496,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,200,0,200,-111.32623022690883,42,5,0,3,2.7375410075636273,0,0,0,0,False,0.0957260000432143,2.2791904772193883,0.8,2,1,0.5,2.7375410075636273,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,200,1,201,-73.31436461074323,50,5,0,4,2.2771454870247743,0,0,0,0,False,0.10883990000729682,2.1767980001459364,0.8,1,1,1.0,2.2771454870247743,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,202,0,202,-116.37839433676658,37,5,0,4,2.922613144558886,0,0,0,0,False,0.08308169998053927,2.2454513508253857,0.8,1,1,1.0,2.922613144558886,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,202,1,203,-72.01891299132484,50,5,0,4,2.2339637663774954,0,0,0,0,False,0.11051010000664974,2.2102020001329947,0.8,1,0,0.0,2.233963766377496,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,204,0,204,-128.5418536364116,46,5,0,4,2.73139512121372,16,16,0,0,False,0.110107299995434,2.3936369564224784,0.8,1,1,1.0,2.73139512121372,16,0,0.0,0,0.0,0.0,0.0,17.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,204,1,205,-12.928991705616236,50,5,3,1,0.3399007038510209,16,16,3,0,False,0.10876749999442836,2.1753499998885673,0.8,1,0,0.0,0.3399007038510209,16,0,0.0,0,0.0,2.325081339871288,0.1453175837419555,17.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,206,0,206,-126.55365106224357,40,5,0,3,2.738455035408119,16,16,0,0,False,0.08442190001369454,2.1105475003423635,0.8,4,2,0.5,2.738455035408119,16,0,0.0,0,0.0,0.0,0.0,15.399999999999999
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,206,1,207,-62.462391783523195,50,5,1,2,1.5610205884032737,16,16,1,0,False,0.11197880001418525,2.239576000283705,0.8,1,1,1.0,1.5610205884032737,16,0,0.0,0,0.0,0.672059514176702,0.04200371963604387,15.399999999999999
