method,train_scenario,eval_scenario,timesteps,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
role_conditioned_ar_ppo_order_012,medium,medium,0,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_012,medium,medium,0,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,0,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_012,medium,medium,0,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_012,medium,medium,0,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,128,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_012,medium,medium,128,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,128,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_012,medium,medium,128,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_012,medium,medium,128,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,256,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_012,medium,medium,256,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,256,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_012,medium,medium,256,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_012,medium,medium,256,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,0,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_120,medium,medium,0,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,0,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_120,medium,medium,0,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_120,medium,medium,0,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,128,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_120,medium,medium,128,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,128,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_120,medium,medium,128,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_120,medium,medium,128,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,256,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_120,medium,medium,256,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,256,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_120,medium,medium,256,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_120,medium,medium,256,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,0,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_201,medium,medium,0,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,0,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_201,medium,medium,0,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_201,medium,medium,0,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,128,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_201,medium,medium,128,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,128,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_201,medium,medium,128,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_201,medium,medium,128,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,256,avg_reward,2,-56.33996886571689,14.648886686853393,10.35832711310737,0.95,-187.95499389179474,75.27505616036098
role_conditioned_ar_ppo_order_201,medium,medium,256,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,256,intercept_rate,2,0.1,0.14142135623730953,0.1,0.95,0.0,1.0
role_conditioned_ar_ppo_order_201,medium,medium,256,avg_total_damage,2,1.5030181258699438,0.19369549893600535,0.13696340078296107,0.95,0.0,3.243303137616251
role_conditioned_ar_ppo_order_201,medium,medium,256,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
