method,train_scenario,eval_scenario,run_index,train_seed,timesteps,evaluation_seed,elapsed_seconds,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
role_conditioned_ar_ppo_order_012,medium,medium,0,0,0,10000,0.11222679999627871,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,1.7857000006188173,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,0,0,128,10000,0.5862389999965671,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,2.0265119992836844,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,0,0,256,10000,1.1132642999946256,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,2.59431999977096,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,0,0,0,10000,0.1183928999962518,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,1.886120000272058,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,0,0,128,10000,0.5309878999978537,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,1.8471460000728257,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,medium,medium,0,0,256,10000,0.9931020000003628,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,2.242909999913536,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,0,0,0,10000,0.1253517999939504,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,1.9924079997872468,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,0,0,128,10000,0.544278099994699,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,1.8447939997713547,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,medium,medium,0,0,256,10000,0.9773366999943391,1.0,-45.98164175260952,0.0,50.0,0.0,0.0,0.6,1.3660547250869828,0.0,0.0,0.0,0.0,2.1808960002090316,0.0,1.3660547250869828,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,1,1,0,10001,0.16627330000483198,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,2.7376060000096913,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
role_conditioned_ar_ppo_order_012,medium,medium,1,1,128,10001,0.6542029000047478,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.8457640000269748,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
role_conditioned_ar_ppo_order_012,medium,medium,1,1,256,10001,1.063628299998527,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.913049999566283,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
role_conditioned_ar_ppo_order_120,medium,medium,1,1,0,10001,0.15902769999956945,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,2.5807559996610507,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
role_conditioned_ar_ppo_order_120,medium,medium,1,1,128,10001,0.7644953999988502,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,3.0065060005290434,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
role_conditioned_ar_ppo_order_120,medium,medium,1,1,256,10001,1.2139724000007845,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.8970619996252935,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
role_conditioned_ar_ppo_order_201,medium,medium,1,1,0,10001,0.12108509999961825,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.97055199983879,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
role_conditioned_ar_ppo_order_201,medium,medium,1,1,128,10001,0.5283259999996517,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,1.8394100005389191,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
role_conditioned_ar_ppo_order_201,medium,medium,1,1,256,10001,0.9724000999995042,1.0,-66.69829597882426,0.0,50.0,0.0,0.2,0.6,1.639981526652905,16.0,16.0,0.0625,0.0,2.2170839994214475,1.0,1.6399815266529045,0.0,0.0,0.028454070684011512,17.0
