method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,actor_parameters,critic_parameters,shared_parameters,total_parameters,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,0,200,256,256,2.429606000005151,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_012_seed0.zip,34946,34945,0,69891,2.0,-92.32029741882603,19.005932808082804,46.0,0.0,0.0,0.7,2.5073432472942008,0.0,0.0,0.0,0.0,1.9643652168546712,0.6666666666666666,2.5073432472942008,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,0,202,256,256,2.429606000005151,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_012_seed0.zip,34946,34945,0,69891,2.0,-94.19865366404571,22.179740672720868,43.5,0.0,0.0,0.8,2.578288455468191,0.0,0.0,0.0,0.0,1.8595402301610287,0.5,2.578288455468191,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,medium,0,0,200,256,256,1.449703900005261,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_120_seed0.zip,34946,34945,0,69891,2.0,-92.32029741882603,19.005932808082804,46.0,0.0,0.0,0.7,2.5073432472942008,0.0,0.0,0.0,0.0,2.9019543478131276,0.6666666666666666,2.5073432472942008,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,0,0,202,256,256,1.449703900005261,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_120_seed0.zip,34946,34945,0,69891,2.0,-94.19865366404571,22.179740672720868,43.5,0.0,0.0,0.8,2.578288455468191,0.0,0.0,0.0,0.0,2.5279206893173978,0.5,2.578288455468191,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,learning,medium,medium,0,0,200,256,256,1.3608679000026314,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_201_seed0.zip,34946,34945,0,69891,2.0,-92.32029741882603,19.005932808082804,46.0,0.0,0.0,0.7,2.5073432472942008,0.0,0.0,0.0,0.0,2.223542391853382,0.6666666666666666,2.5073432472942008,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_201,learning,medium,heterogeneity_pressure,0,0,202,256,256,1.3608679000026314,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_201_seed0.zip,34946,34945,0,69891,2.0,-94.19865366404571,22.179740672720868,43.5,0.0,0.0,0.8,2.578288455468191,0.0,0.0,0.0,0.0,2.2251931033010233,0.5,2.578288455468191,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,1,204,256,256,1.4080848000012338,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_012_seed1.zip,34946,34945,0,69891,2.0,-70.73542267101391,57.80643096539768,48.0,0.0,0.3,0.5,1.5356479125323705,16.0,16.0,0.09375,0.0,2.279945833227733,0.5,1.5356479125323705,0.0,0.0,0.07265879187097775,17.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,1,206,256,256,1.4080848000012338,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_012_seed1.zip,34946,34945,0,69891,2.0,-94.50802142288339,32.04562963936019,45.0,0.0,0.1,0.5,2.1497378119056965,16.0,16.0,0.03125,0.0,2.1822300003097754,0.6,2.1497378119056965,0.0,0.0,0.021001859818021936,15.399999999999999
role_conditioned_ar_ppo_order_120,learning,medium,medium,1,1,204,256,256,1.5345381000006455,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_120_seed1.zip,34946,34945,0,69891,2.0,-110.04565747404042,1.4961961623711346,41.0,0.0,0.0,0.8,2.6981885824680143,0.0,0.0,0.0,0.0,1.9095085368551337,1.0,2.6981885824680143,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_120,learning,medium,heterogeneity_pressure,1,1,206,256,256,1.5345381000006455,results\air_defense_v1\task11_role_conditioned_smoke\models\medium\role_conditioned_ar_ppo_order_120_seed1.zip,34946,34945,0,69891,2.0,-91.57302706982142,19.58062399242217,45.0,0.0,0.0,0.6,2.4857675689940475,0.0,0.0,0.0,0.0,2.0632922218485166,0.6,2.4857675689940475,0.0,0.0,0.0,0.0
