method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,unit_decisions,actionable_decisions,engagements,actionable_engagements,all_noop_episode,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,0,200,-111.32623022690883,42,5,0,3,2.7375410075636273,0,0,0,0,126,124,0,0,True,False,0.0960203999929945,2.2861999998332023,0.8,2,1,0.5,2.7375410075636273,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,1,201,-61.477847075571844,50,5,1,3,1.9322202598398404,1,1,1,0,150,141,1,1,False,False,0.10160420004103798,2.0320840008207597,0.8,1,1,1.0,1.9322202598398404,1,0,0.0,0,0.0,0.3449252271849337,0.3449252271849337,2.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,2,202,-120.37839433676658,37,5,0,4,2.922613144558886,2,2,0,0,111,109,2,2,False,False,0.08039379998081131,2.172805404886792,0.8,1,1,1.0,2.922613144558886,2,0,0.0,0,0.0,0.0,0.0,4.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,3,203,-40.39905722446047,47,5,2,3,1.327919480921549,4,4,2,0,141,137,4,4,False,False,0.10330329999123933,2.1979425530050922,0.8,1,0,0.0,1.327919480921549,4,0,0.0,0,0.0,1.9970419735800942,0.49926049339502354,8.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,4,204,-60.48493815544468,50,5,2,2,1.8036475278253317,6,6,2,0,150,134,6,6,False,False,0.09393890002684202,1.8787780005368404,0.8,1,1,1.0,1.8036475278253317,6,0,0.0,0,0.0,0.9277475933883881,0.15462459889806468,12.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,5,205,-108.54946131166929,36,5,0,4,2.6649820437223086,0,0,0,0,108,103,0,0,True,False,0.07654080000793329,2.1261333335537023,0.8,1,1,1.0,2.6649820437223086,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,6,206,-46.168831551944336,42,5,3,2,1.7345585488897557,5,5,3,0,126,113,5,5,False,False,0.0816589999885764,1.9442619044899143,0.8,4,1,0.25,1.7345585488897557,5,0,0.0,0,0.0,2.414761678619353,0.48295233572387064,10.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,7,207,-71.99240307739925,50,5,0,3,2.233080102579976,0,0,0,0,150,147,0,0,True,False,0.09922989995538956,1.984597999107791,0.8,1,1,1.0,2.2330801025799754,0,0,0.0,0,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,8,208,-110.81320960681109,38,5,0,3,2.5337736535603694,3,3,0,0,114,106,3,3,False,False,0.08061370001087198,2.1214131581808418,0.8,4,3,0.75,2.5337736535603694,3,0,0.0,0,0.0,0.0,0.0,6.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,9,209,-115.25700079808195,42,5,0,3,2.8019000266027305,1,1,0,0,126,126,1,1,False,False,0.0870086999857449,2.071635713946307,0.8,3,2,0.6666666666666666,2.8019000266027305,1,0,0.0,0,0.0,0.0,0.0,2.0
