method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,never_legal,0,43,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,unassigned,40,43,0.9302325581395349
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,prefix_denied,1,43,0.023255813953488372
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,mismatched_resource,0,43,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,attempted_miss,2,43,0.046511627906976744
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,resource_exhausted,0,43,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,8,never_legal,0,48,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,8,unassigned,45,48,0.9375
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,8,prefix_denied,0,48,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,8,mismatched_resource,0,48,0.0
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,8,attempted_miss,3,48,0.0625
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,8,resource_exhausted,0,48,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,never_legal,0,45,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,unassigned,44,45,0.9777777777777777
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,prefix_denied,0,45,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,mismatched_resource,0,45,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,attempted_miss,1,45,0.022222222222222223
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,resource_exhausted,0,45,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,never_legal,0,64,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,unassigned,64,64,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,prefix_denied,0,64,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,mismatched_resource,0,64,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,attempted_miss,0,64,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,resource_exhausted,0,64,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,time_pressure,0,8,never_legal,0,70,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,time_pressure,0,8,unassigned,70,70,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,time_pressure,0,8,prefix_denied,0,70,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,time_pressure,0,8,mismatched_resource,0,70,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,time_pressure,0,8,attempted_miss,0,70,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,time_pressure,0,8,resource_exhausted,0,70,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,never_legal,0,65,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,unassigned,65,65,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,prefix_denied,0,65,0.0
