method,train_scenario,run_index,train_seed,timesteps,probe_scenario,probe_states,actionable_decisions,engage_probability_mean,noop_probability_mean,noop_margin_mean,engagement_entropy_mean,conditional_target_entropy_mean,deterministic_engagement_rate,probe_value_mean
role_conditioned_ar_ppo_order_012,medium,0,8,0,all,768,1299,0.6812781095504761,0.31872186064720154,7.827645458746701e-05,0.5903517007827759,0.8174480199813843,0.49345650500384913,0.12052873522043228
role_conditioned_ar_ppo_order_012,medium,0,8,0,heterogeneity_pressure,256,425,0.6663450598716736,0.33365488052368164,0.00014233723049983382,0.6029318571090698,0.7429767847061157,0.4611764705882353,0.14234910905361176
role_conditioned_ar_ppo_order_012,medium,0,8,0,medium,256,422,0.681359589099884,0.31864041090011597,0.00033132702810689807,0.5902283787727356,0.8182277679443359,0.45023696682464454,0.17234385013580322
role_conditioned_ar_ppo_order_012,medium,0,8,0,time_pressure,256,452,0.6952431201934814,0.30475690960884094,-0.0002182128664571792,0.5786380171775818,0.8867425918579102,0.5641592920353983,0.046893272548913956
role_conditioned_ar_ppo_order_012,medium,0,8,2048,all,768,1309,0.7263983488082886,0.2736016809940338,-0.3022964596748352,0.5547004342079163,0.7778452038764954,1.0,-20.87846565246582
role_conditioned_ar_ppo_order_012,medium,0,8,2048,heterogeneity_pressure,256,415,0.711595356464386,0.2884046733379364,-0.2859589457511902,0.5686483979225159,0.7121074795722961,1.0,-20.862207412719727
role_conditioned_ar_ppo_order_012,medium,0,8,2048,medium,256,446,0.7270076870918274,0.2729923725128174,-0.30712658166885376,0.5561113357543945,0.7695783376693726,1.0,-20.89312744140625
role_conditioned_ar_ppo_order_012,medium,0,8,2048,time_pressure,256,448,0.7395042777061462,0.26049572229385376,-0.3126220107078552,0.5403754115104675,0.8469704389572144,1.0,-20.880064010620117
role_conditioned_ar_ppo_order_012,medium,0,8,4096,all,768,1446,0.5556949377059937,0.44430509209632874,0.5813946723937988,0.6471272110939026,0.8505442142486572,0.0,-28.12788963317871
role_conditioned_ar_ppo_order_012,medium,0,8,4096,heterogeneity_pressure,256,457,0.5462567210197449,0.4537433087825775,0.5987592935562134,0.6547635197639465,0.8192324042320251,0.0,-26.657676696777344
role_conditioned_ar_ppo_order_012,medium,0,8,4096,medium,256,497,0.5451462864875793,0.45485368371009827,0.5817590951919556,0.6485669016838074,0.8056283593177795,0.0,-29.29623031616211
role_conditioned_ar_ppo_order_012,medium,0,8,4096,time_pressure,256,492,0.5751174688339233,0.4248825013637543,0.5648972392082214,0.6385798454284668,0.9250007271766663,0.0,-28.42975616455078
role_conditioned_ar_ppo_order_012,medium,0,8,6144,all,768,1446,0.49527209997177124,0.5047279000282288,0.8525128960609436,0.6507841348648071,0.8508268594741821,0.0,-32.49527359008789
role_conditioned_ar_ppo_order_012,medium,0,8,6144,heterogeneity_pressure,256,457,0.48601487278938293,0.5139850378036499,0.865588366985321,0.6575381755828857,0.8194692134857178,0.0,-32.29638671875
role_conditioned_ar_ppo_order_012,medium,0,8,6144,medium,256,497,0.4824756383895874,0.5175243616104126,0.8616162538528442,0.6499242186546326,0.8058478832244873,0.0,-33.37177276611328
role_conditioned_ar_ppo_order_012,medium,0,8,6144,time_pressure,256,492,0.5167973041534424,0.48320266604423523,0.8311718106269836,0.6453793048858643,0.9253900647163391,0.0,-31.817665100097656
role_conditioned_ar_ppo_order_012,medium,0,8,8192,all,768,1395,0.654996931552887,0.3450030982494354,0.039554413408041,0.6059023141860962,0.7678336501121521,0.3835125448028674,-33.33442687988281
role_conditioned_ar_ppo_order_012,medium,0,8,8192,heterogeneity_pressure,256,449,0.6409457921981812,0.35905423760414124,0.04687168821692467,0.6198211312294006,0.6987353563308716,0.34966592427616927,-33.45873260498047
role_conditioned_ar_ppo_order_012,medium,0,8,8192,medium,256,465,0.6557907462120056,0.3442092537879944,0.03058682195842266,0.6056563854217529,0.76097571849823,0.44731182795698926,-36.68104553222656
role_conditioned_ar_ppo_order_012,medium,0,8,8192,time_pressure,256,481,0.6673457622528076,0.33265420794487,0.04139323532581329,0.5931472778320312,0.8389647603034973,0.35343035343035345,-29.863500595092773
role_conditioned_ar_ppo_order_012,medium,0,8,10240,all,768,1331,0.6821260452270508,0.31787392497062683,-0.11560318619012833,0.5854035019874573,0.7562766075134277,0.8204357625845229,-37.66938018798828
