method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,requested_timesteps,training_timesteps,training_seconds,model_path,actor_parameters,critic_parameters,shared_parameters,total_parameters,episodes,avg_reward,std_reward,avg_steps,success_rate,intercept_rate,leak_rate,avg_total_damage,avg_ammo_used,avg_shots,hit_rate_per_shot,avg_invalid_actions,avg_decision_time_ms,high_threat_leak_rate,avg_zone_weighted_damage,assignment_conflict_rate,overkill_rate,damage_reduction_per_ammo,avg_resource_cost,engagement_rate,actionable_engagement_rate,all_noop_episode_rate
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,30000,30208,138.52167049999844,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed8.zip,34946,34945,0,69891,50.0,-55.07558149700889,28.374711728423303,44.52,0.0,0.344,0.488,1.6945976946459902,3.12,3.12,0.5512820512820513,0.0,2.052069586645314,0.45263157894736844,1.6945976946459902,0.0,0.0,0.40535476065381776,6.03,0.02336028751123091,0.024868483978957436,0.12
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,0,8,250,30000,30208,138.52167049999844,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed8.zip,34946,34945,0,69891,50.0,-64.02117543115618,27.950930097367095,32.84,0.0,0.356,0.596,1.987956689028609,3.12,3.12,0.5705128205128205,0.0,1.8929442143567623,0.5714285714285714,1.987956689028609,0.0,0.0,0.42592415759009555,6.06,0.031668696711327646,0.03359173126614987,0.18
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,300,30000,30208,138.52167049999844,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed8.zip,34946,34945,0,69891,50.0,-58.073130893022416,24.893007263398598,43.44,0.0,0.364,0.516,1.7679467868121788,2.92,2.92,0.6232876712328768,0.0,2.403846777184369,0.4639175257731959,1.7679467868121785,0.0,0.0,0.45720561678206895,7.265999999999999,0.022406384284837322,0.024699712400609034,0.1
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,200,30000,30208,131.34083159999864,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\factorized_engagement_ar_ppo_order_012_seed8.zip,34946,34945,0,69891,50.0,-93.57602560334283,24.221441998333987,45.18,0.0,0.0,0.708,2.485267520111428,0.0,0.0,0.0,0.0,2.050189420151019,0.6736842105263158,2.485267520111428,0.0,0.0,0.0,0.0,0.0,0.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,time_pressure,0,8,250,30000,30208,131.34083159999864,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\factorized_engagement_ar_ppo_order_012_seed8.zip,34946,34945,0,69891,50.0,-114.74168084905529,8.174790744472004,33.32,0.0,0.0,0.836,2.880322694968509,0.0,0.0,0.0,0.0,1.8509192077817824,0.8333333333333334,2.8803226949685086,0.0,0.0,0.0,0.0,0.0,0.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,300,30000,30208,131.34083159999864,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\factorized_engagement_ar_ppo_order_012_seed8.zip,34946,34945,0,69891,50.0,-91.36764579855888,28.363642801212922,44.0,0.0,0.0,0.708,2.4322548599519633,0.0,0.0,0.0,0.0,2.133877227199925,0.6701030927835051,2.4322548599519633,0.0,0.0,0.0,0.0,0.0,0.0,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,350,30000,30208,147.52624630000355,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed9.zip,34946,34945,0,69891,50.0,-82.15530007262528,31.905163169892422,45.1,0.0,0.108,0.652,2.2860655152185663,0.72,0.72,0.75,0.0,1.9371310864926776,0.6363636363636364,2.2860655152185663,0.0,0.0,0.5806226898924841,1.23,0.005321507760532151,0.005517241379310344,0.74
role_conditioned_ar_ppo_order_012,learning,medium,time_pressure,1,9,400,30000,30208,147.52624630000355,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed9.zip,34946,34945,0,69891,50.0,-107.34474851365779,20.965580245092497,31.28,0.0,0.044,0.768,2.7966449920560312,0.3,0.3,0.7333333333333333,0.0,2.0254157928964958,0.8425925925925926,2.7966449920560312,0.0,0.0,0.5353739707139792,0.54,0.00319693094629156,0.003301056338028169,0.86
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,450,30000,30208,147.52624630000355,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\role_conditioned_ar_ppo_order_012_seed9.zip,34946,34945,0,69891,50.0,-81.0198006420492,32.354075214654166,42.98,0.0,0.136,0.632,2.2809633529917726,0.94,0.94,0.723404255319149,0.0,2.4266182874775657,0.6106194690265486,2.2809633529917726,0.0,0.0,0.5354209055795085,2.141,0.007290212501938886,0.007856904045469742,0.58
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,350,30000,30208,134.05154089999996,D:\huang\Programs\防空编组\results\air_defense_v1\task12_factorized_screening_30k_3seeds\models\medium\factorized_engagement_ar_ppo_order_012_seed9.zip,34946,34945,0,69891,50.0,-73.92881963512629,31.922286246521583,44.56,0.0,0.228,0.616,2.1746110158181327,3.68,3.68,0.30978260869565216,0.0,1.986380026879566,0.6,2.1746110158181327,0.0,0.0,0.22793074627830942,2.47,0.02752842609216038,0.02847415660786134,0.24
