method,method_type,train_scenario,eval_scenario,run_index,train_seed,unit_order,unit_index,resource_type,unit_order_position,decision_opportunities,assignments,assignment_rate,actionable_decisions,avoidable_noops,avoidable_noop_rate,high_threat_assignments,high_threat_legal_target_opportunities,high_threat_assignment_rate,mean_assigned_threat,mean_expected_damage_reduction,mean_matching_efficiency,prefix_denied_target_opportunities,base_legal_target_opportunities,prefix_denial_rate,collapsed_unit
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,0-1-2,0,missile,0,98,6,0.061224489795918366,6,0,0.0,3,9,0.3333333333333333,0.7827023934869733,0.10313622473041749,0.46519313441395665,0,22,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,0-1-2,1,missile,1,98,6,0.061224489795918366,6,0,0.0,2,5,0.4,0.7929247382312776,0.17290844264259195,0.738567633471659,4,23,0.17391304347826086,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,0-1-2,2,laser,2,98,20,0.20408163265306123,20,0,0.0,0,7,0.0,0.7190886134211614,0.048519619422694005,0.7494454591253911,0,33,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,0-1-2,0,missile,0,74,6,0.08108108108108109,6,0,0.0,2,6,0.3333333333333333,0.7255345805522703,0.13916766925465193,0.4041731590400544,0,29,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,0-1-2,1,missile,1,74,6,0.08108108108108109,6,0,0.0,0,2,0.0,0.6669749207328048,0.05227380691690822,0.7929835294361484,4,19,0.21052631578947367,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,0-1-2,2,laser,2,74,20,0.2702702702702703,20,0,0.0,1,1,1.0,0.6659558638265264,0.03083094286766294,0.7720059437394987,1,44,0.022727272727272728,False
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,0-1-2,0,missile,0,90,6,0.06666666666666667,6,0,0.0,6,9,0.6666666666666666,0.8335829852507732,0.10860610463188018,0.5270519453329455,0,22,0.0,False
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,0-1-2,1,missile,1,90,6,0.06666666666666667,6,0,0.0,0,3,0.0,0.6547459044392511,0.06284788612561369,0.4837807280458204,4,18,0.2222222222222222,False
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,0-1-2,2,laser,2,90,20,0.2222222222222222,20,0,0.0,9,10,0.9,0.7666884134753994,0.06562381112767951,0.7645241939772707,2,38,0.05263157894736842,False
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,0-1-2,0,missile,0,74,6,0.08108108108108109,6,0,0.0,0,6,0.0,0.6995741575118472,0.13076158367647894,0.3831553091933739,0,29,0.0,False
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,0-1-2,1,missile,1,74,6,0.08108108108108109,6,0,0.0,2,2,1.0,0.7085223216553285,0.04667100773348431,0.8638167146763248,5,19,0.2631578947368421,False
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,0-1-2,2,laser,2,74,20,0.2702702702702703,20,0,0.0,1,1,1.0,0.6659558638265264,0.02832094465974816,0.7720059437394987,0,43,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,0-1-2,0,missile,0,96,6,0.0625,6,0,0.0,2,2,1.0,0.7768608365752989,0.06843187097690474,0.9672024246386832,0,8,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,0-1-2,1,missile,1,96,6,0.0625,6,0,0.0,2,2,1.0,0.7887581758812553,0.0868978325274784,0.8545684557621218,6,17,0.35294117647058826,False
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,0-1-2,2,laser,2,96,20,0.20833333333333334,20,0,0.0,7,8,0.875,0.7713947507763887,0.05256602555042446,0.9040274253408264,0,37,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,0-1-2,0,missile,0,90,6,0.06666666666666667,6,0,0.0,3,9,0.3333333333333333,0.7060710808032719,0.1944517656671426,0.8069803135030574,0,21,0.0,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,0-1-2,1,missile,1,90,6,0.06666666666666667,6,0,0.0,3,6,0.5,0.8104775377476998,0.08840120791300443,1.0,2,14,0.14285714285714285,False
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,0-1-2,2,laser,2,90,20,0.2222222222222222,20,0,0.0,10,24,0.4166666666666667,0.7662559958437868,0.06745484277791546,0.9666929812942513,0,42,0.0,False
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,0-1-2,0,missile,0,78,6,0.07692307692307693,6,0,0.0,2,2,1.0,0.7768608365752989,0.06843187097690474,0.9672024246386832,0,8,0.0,False
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,0-1-2,1,missile,1,78,6,0.07692307692307693,6,0,0.0,2,2,1.0,0.7900252821935658,0.10061316148902766,0.8545747400081485,6,17,0.35294117647058826,False
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,0-1-2,2,laser,2,78,20,0.2564102564102564,20,0,0.0,7,9,0.7777777777777778,0.7671541250101376,0.04613910443982588,0.7351810093103827,1,40,0.025,False
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,0-1-2,0,missile,0,90,6,0.06666666666666667,6,0,0.0,6,9,0.6666666666666666,0.9256542357333616,0.13719502072996584,0.6919865726849185,0,21,0.0,False
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,0-1-2,1,missile,1,90,6,0.06666666666666667,6,0,0.0,3,5,0.6,0.7396586717971557,0.02942768359032123,0.4609445920853743,0,13,0.0,False
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,0-1-2,2,laser,2,90,20,0.2222222222222222,20,0,0.0,10,20,0.5,0.7654092327291397,0.07635464656263596,0.7684056589147156,0,41,0.0,False
