method,method_type,train_scenario,eval_scenario,run_index,train_seed,evaluation_seed,episode_index,episode_seed,total_reward,steps,num_targets,num_intercepted,num_leaked,total_damage,ammo_used,shots,hits,invalid_actions,unit_decisions,actionable_decisions,engagements,actionable_engagements,all_noop_episode,success,decision_time_seconds,decision_time_ms,high_threat_threshold,num_high_threat_targets,num_high_threat_leaked,high_threat_leak_rate,zone_weighted_damage,engaged_target_events,conflict_target_events,assignment_conflict_rate,overkill_assignments,overkill_rate,intercepted_damage_potential,damage_reduction_per_ammo,resource_cost
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,0,200,-35.04059659999984,50,5,2,1,0.8623136254894624,16,16,2,0,150,16,16,16,False,False,0.10966149996966124,2.1932299993932247,0.8,2,0,0.0,0.8623136254894624,16,0,0.0,0,0.0,1.875227382074165,0.11720171137963531,17.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,200,1,201,-86.31324531650556,48,5,1,4,2.2771454870247743,16,16,1,0,144,17,16,16,False,False,0.09462489998986712,1.9713520831222315,0.8,1,1,1.0,2.2771454870247743,16,0,0.0,0,0.0,0.5017531853056273,0.031359574081601706,17.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,202,0,202,32.56573089600009,24,5,5,0,0.0,16,16,5,0,72,17,16,16,False,True,0.04594960001850268,1.9145666674376116,0.8,1,0,0.0,0.0,16,0,0.0,0,0.0,3.3848621997146706,0.2115538874821669,15.399999999999999
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,202,1,203,-87.41891299132485,50,5,0,4,2.2339637663774954,16,16,0,0,150,16,16,16,False,False,0.0935062999924412,1.870125999848824,0.8,1,0,0.0,2.233963766377496,16,0,0.0,0,0.0,0.0,0.0,15.399999999999999
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,200,0,200,-128.32623022690882,42,5,0,3,2.7375410075636273,16,16,0,0,126,18,16,16,False,False,0.08130050005274825,1.9357261917321011,0.8,2,1,0.5,2.7375410075636273,16,0,0.0,0,0.0,0.0,0.0,17.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,200,1,201,-86.31324531650556,48,5,1,4,2.2771454870247743,16,16,1,0,144,16,16,16,False,False,0.09192530000291299,1.915110416727354,0.8,1,1,1.0,2.2771454870247743,16,0,0.0,0,0.0,0.5017531853056273,0.031359574081601706,17.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,202,0,202,32.56573089600009,24,5,5,0,0.0,16,16,5,0,72,16,16,16,False,True,0.047785000009753276,1.991041667073053,0.8,1,0,0.0,0.0,16,0,0.0,0,0.0,3.3848621997146706,0.2115538874821669,15.399999999999999
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,0,8,202,1,203,-87.41891299132485,50,5,0,4,2.2339637663774954,16,16,0,0,150,16,16,16,False,False,0.08924910000496311,1.7849820000992622,0.8,1,0,0.0,2.233963766377496,16,0,0.0,0,0.0,0.0,0.0,15.399999999999999
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,204,0,204,-128.5418536364116,46,5,0,4,2.73139512121372,16,16,0,0,138,16,16,16,False,False,0.09112229999300325,1.9809195650652882,0.8,1,1,1.0,2.73139512121372,16,0,0.0,0,0.0,0.0,0.0,17.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,204,1,205,-12.928991705616236,50,5,3,1,0.3399007038510209,16,16,3,0,150,16,16,16,False,False,0.0973994999731076,1.947989999462152,0.8,1,0,0.0,0.3399007038510209,16,0,0.0,0,0.0,2.325081339871288,0.1453175837419555,17.0
