method,method_type,train_scenario,eval_scenario,metric,n_runs,mean,std,ci_low,ci_high
role_conditioned_ar_ppo_order_012,learning,medium,medium,actionable_engagement_rate,2,0.9848484848484849,0.02142747821777415,0.7923302312661805,1.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,actionable_engagement_rate,2,0.9848484848484849,0.02142747821777415,0.7923302312661805,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,all_noop_episode_rate,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,all_noop_episode_rate,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,assignment_conflict_rate,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,assignment_conflict_rate,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_ammo_used,2,16.0,0.0,16.0,16.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_ammo_used,2,16.0,0.0,16.0,16.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_decision_time_ms,2,2.024161925637414,0.08540884856044584,1.2567938668196845,2.7915299844551438
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_decision_time_ms,2,1.8659801499820827,0.026246445160452346,1.630165196225994,2.1017951037381715
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_invalid_actions,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_invalid_actions,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_resource_cost,2,17.0,0.0,17.0,17.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_resource_cost,2,15.399999999999999,0.0,15.399999999999999,15.399999999999999
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_reward,2,-65.70617181463331,7.112434769669957,-129.60886286668173,-1.8034807625848828
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_reward,2,-60.967306235272886,47.43373431001203,-487.14250041540936,365.2078879448636
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_shots,2,16.0,0.0,16.0,16.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_shots,2,16.0,0.0,16.0,16.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_steps,2,48.5,0.7071067811865476,42.14689763178395,54.85310236821605
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_steps,2,41.0,5.656854249492381,0.0,91.82481894572838
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_total_damage,2,1.5526887343947444,0.02409936139175308,1.336164562934354,1.769212905855135
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_total_damage,2,1.6333598475472222,0.7302687205063652,0.0,8.194563984068033
role_conditioned_ar_ppo_order_012,learning,medium,medium,avg_zone_weighted_damage,2,1.5526887343947444,0.02409936139175308,1.336164562934354,1.769212905855135
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_zone_weighted_damage,2,1.6333598475472222,0.730268720506365,0.0,8.194563984068033
role_conditioned_ar_ppo_order_012,learning,medium,medium,damage_reduction_per_ammo,2,0.07346971730079813,0.0011468217409252095,0.06316593276352121,0.08377350183807504
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,damage_reduction_per_ammo,2,0.0633894017795527,0.05994503671765546,0.0,0.601974188216869
role_conditioned_ar_ppo_order_012,learning,medium,medium,engagement_rate,2,0.10997732426303855,0.00160341673738446,0.09557119644395455,0.12438345208212255
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,engagement_rate,2,0.13133133133133135,0.01812005365202764,0.0,0.29413355418051135
role_conditioned_ar_ppo_order_012,learning,medium,medium,high_threat_leak_rate,2,0.41666666666666663,0.11785113019775793,0.0,1.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,high_threat_leak_rate,2,0.3,0.4242640687119285,0.0,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,hit_rate_per_shot,2,0.09375,0.0,0.09375,0.09375
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,hit_rate_per_shot,2,0.09375,0.08838834764831845,0.0,0.887887796027006
role_conditioned_ar_ppo_order_012,learning,medium,medium,intercept_rate,2,0.3,0.0,0.3,0.3
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,intercept_rate,2,0.3,0.282842712474619,0.0,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,leak_rate,2,0.5,0.0,0.5,0.5
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,leak_rate,2,0.45,0.07071067811865474,0.0,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,overkill_rate,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,overkill_rate,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,success_rate,2,0.0,0.0,0.0,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,success_rate,2,0.25,0.3535533905932738,0.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,actionable_engagement_rate,2,0.9554367201426025,0.02016703832261101,0.774243069712198,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,actionable_engagement_rate,2,1.0,0.0,1.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,all_noop_episode_rate,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,all_noop_episode_rate,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,assignment_conflict_rate,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,assignment_conflict_rate,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_ammo_used,2,16.0,0.0,16.0,16.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_ammo_used,2,16.0,0.0,16.0,16.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_decision_time_ms,2,1.8700309407585858,0.07735772365129202,1.174999369283429,2.5650625122337427
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_decision_time_ms,2,1.9109538590154724,0.0836389895104649,1.1594873528641936,2.662420365166751
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_invalid_actions,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_invalid_actions,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_resource_cost,2,17.0,0.0,17.0,17.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_resource_cost,2,15.399999999999999,0.0,15.399999999999999,15.399999999999999
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_reward,2,-93.32917527234508,19.785643231826317,-271.0961267670891,84.43777622239895
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_reward,2,-59.454168791570794,45.29383481539398,-466.4031288176671,347.4947912345255
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_shots,2,16.0,0.0,16.0,16.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_shots,2,16.0,0.0,16.0,16.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_steps,2,42.0,4.242640687119285,3.8813857907037175,80.11861420929628
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_steps,2,41.0,5.656854249492381,0.0,91.82481894572838
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_total_damage,2,2.1697262023924258,0.4774626037884166,0.0,6.459557497423569
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_total_damage,2,1.6333598475472222,0.7302687205063652,0.0,8.194563984068033
factorized_engagement_ar_ppo_order_012,learning,medium,medium,avg_zone_weighted_damage,2,2.1697262023924258,0.4774626037884166,0.0,6.459557497423569
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,avg_zone_weighted_damage,2,1.6333598475472222,0.730268720506365,0.0,8.194563984068033
factorized_engagement_ar_ppo_order_012,learning,medium,medium,damage_reduction_per_ammo,2,0.041304545122858895,0.036238880412176065,0.0,0.3668979676350314
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,damage_reduction_per_ammo,2,0.07161983622302448,0.048305444703475024,0.0,0.5056270375518059
factorized_engagement_ar_ppo_order_012,learning,medium,medium,engagement_rate,2,0.12763532763532764,0.012893115098558137,0.011795284454180294,0.243475370816475
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,engagement_rate,2,0.13133133133133135,0.01812005365202764,0.0,0.29413355418051135
factorized_engagement_ar_ppo_order_012,learning,medium,medium,high_threat_leak_rate,2,0.5833333333333333,0.11785113019775789,0.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,high_threat_leak_rate,2,0.3,0.4242640687119285,0.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,hit_rate_per_shot,2,0.0625,0.04419417382415922,0.0,0.459568898013503
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,hit_rate_per_shot,2,0.109375,0.06629126073623882,0.0,0.7049783470202544
factorized_engagement_ar_ppo_order_012,learning,medium,medium,intercept_rate,2,0.2,0.1414213562373095,0.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,intercept_rate,2,0.35,0.21213203435596426,0.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,leak_rate,2,0.6499999999999999,0.07071067811865474,0.01468976317839532,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,leak_rate,2,0.45,0.07071067811865474,0.0,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,overkill_rate,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,overkill_rate,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,success_rate,2,0.0,0.0,0.0,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,success_rate,2,0.25,0.3535533905932738,0.0,1.0
