method,method_type,train_scenario,eval_scenario,run_index,train_seed,attribution,count,total_high_threat_leaks,rate
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,never_legal,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,unassigned,1,1,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,prefix_denied,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,mismatched_resource,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,attempted_miss,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,0,8,resource_exhausted,0,1,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,never_legal,0,2,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,unassigned,0,2,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,prefix_denied,0,2,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,mismatched_resource,0,2,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,attempted_miss,2,2,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,0,8,resource_exhausted,0,2,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,never_legal,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,unassigned,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,prefix_denied,1,1,1.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,mismatched_resource,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,attempted_miss,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,medium,1,9,resource_exhausted,0,1,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,never_legal,0,3,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,unassigned,2,3,0.6666666666666666
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,prefix_denied,0,3,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,mismatched_resource,0,3,0.0
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,attempted_miss,1,3,0.3333333333333333
role_conditioned_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,resource_exhausted,0,3,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,never_legal,0,1,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,unassigned,0,1,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,prefix_denied,1,1,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,mismatched_resource,0,1,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,attempted_miss,0,1,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,medium,1,9,resource_exhausted,0,1,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,never_legal,0,3,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,unassigned,0,3,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,prefix_denied,0,3,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,mismatched_resource,0,3,0.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,attempted_miss,3,3,1.0
factorized_engagement_ar_ppo_order_012,learning,medium,heterogeneity_pressure,1,9,resource_exhausted,0,3,0.0
