train_scenario,eval_scenario,method_a,method_b,metric,n_pairs,mean_difference,std_difference,sem_difference,confidence_level,ci_low,ci_high
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_reward,2,-1.5131374437020852,2.1398994946180445,1.513137443702085,0.95,-20.73937159774227,17.7130967103381
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_steps,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,intercept_rate,2,-0.05,0.07071067811865477,0.05,0.95,-0.6853102368216049,0.5853102368216048
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,leak_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_total_damage,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_ammo_used,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_shots,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,hit_rate_per_shot,2,-0.015625,0.02209708691207961,0.015625,0.95,-0.2141594490067515,0.1829094490067515
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_invalid_actions,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_decision_time_ms,2,-0.0449737090333896,0.10988543467091724,0.07770073600943693,0.95,-1.032255168940757,0.9423077508739778
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,high_threat_leak_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_zone_weighted_damage,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,assignment_conflict_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,overkill_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,damage_reduction_per_ammo,2,-0.008230434443471777,0.011639592014180444,0.008230434443471777,0.95,-0.11280801955200673,0.09634715066506316
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_resource_cost,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,engagement_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,actionable_engagement_rate,2,-0.015151515151515138,0.02142747821777415,0.015151515151515138,0.95,-0.20766976873381945,0.17736673843078918
medium,heterogeneity_pressure,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,all_noop_episode_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,medium,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_reward,2,27.62300345771179,26.898078001496273,19.019813355742713,0.95,-214.0466390890807,269.29264600450426
medium,medium,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,avg_steps,2,6.5,3.5355339059327378,2.5,0.95,-25.26551184108024,38.26551184108024
medium,medium,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,success_rate,2,0.0,0.0,0.0,0.95,0.0,0.0
medium,medium,role_conditioned_ar_ppo_order_012,factorized_engagement_ar_ppo_order_012,intercept_rate,2,0.09999999999999999,0.1414213562373095,0.09999999999999999,0.95,-1.1706204736432093,1.3706204736432095
