method,train_scenario,run_index,train_seed,timesteps,probe_scenario,probe_states,actionable_decisions,engage_probability_mean,noop_probability_mean,noop_margin_mean,engagement_entropy_mean,conditional_target_entropy_mean,deterministic_engagement_rate,probe_value_mean
role_conditioned_ar_ppo_order_012,medium,0,8,0,all,768,1299,0.6812781095504761,0.31872186064720154,7.827645458746701e-05,0.5903517007827759,0.8174480199813843,0.49345650500384913,0.12052873522043228
role_conditioned_ar_ppo_order_012,medium,0,8,0,heterogeneity_pressure,256,425,0.6663450598716736,0.33365488052368164,0.00014233723049983382,0.6029318571090698,0.7429767847061157,0.4611764705882353,0.14234910905361176
role_conditioned_ar_ppo_order_012,medium,0,8,0,medium,256,422,0.681359589099884,0.31864041090011597,0.00033132702810689807,0.5902283787727356,0.8182277679443359,0.45023696682464454,0.17234385013580322
role_conditioned_ar_ppo_order_012,medium,0,8,0,time_pressure,256,452,0.6952431201934814,0.30475690960884094,-0.0002182128664571792,0.5786380171775818,0.8867425918579102,0.5641592920353983,0.046893272548913956
role_conditioned_ar_ppo_order_012,medium,0,8,256,all,768,1330,0.677441418170929,0.32255858182907104,-0.03491731360554695,0.5943712592124939,0.7634228467941284,1.0,-0.7440916895866394
role_conditioned_ar_ppo_order_012,medium,0,8,256,heterogeneity_pressure,256,424,0.6638410091400146,0.33615896105766296,-0.034603461623191833,0.6063892245292664,0.6954988241195679,1.0,-0.6783042550086975
role_conditioned_ar_ppo_order_012,medium,0,8,256,medium,256,454,0.6754173636436462,0.324582576751709,-0.03565601631999016,0.5972126126289368,0.7498844265937805,1.0,-0.7253668904304504
role_conditioned_ar_ppo_order_012,medium,0,8,256,time_pressure,256,452,0.6922323107719421,0.30776768922805786,-0.03446974977850914,0.5802438855171204,0.8407372832298279,1.0,-0.8286037445068359
factorized_engagement_ar_ppo_order_012,medium,0,8,0,all,768,1270,0.501503586769104,0.498496413230896,0.7674981355667114,0.6931422352790833,0.7739307880401611,1.0,0.12052873522043228
factorized_engagement_ar_ppo_order_012,medium,0,8,0,heterogeneity_pressure,256,415,0.5015391707420349,0.4984607994556427,0.6926864981651306,0.6931419968605042,0.6992067098617554,1.0,0.14234910905361176
factorized_engagement_ar_ppo_order_012,medium,0,8,0,medium,256,412,0.5016257762908936,0.49837422370910645,0.7493993043899536,0.6931415796279907,0.756333589553833,1.0,0.17234385013580322
factorized_engagement_ar_ppo_order_012,medium,0,8,0,time_pressure,256,443,0.5013566613197327,0.49864333868026733,0.8544138073921204,0.6931430697441101,0.8602976202964783,1.0,0.046893272548913956
factorized_engagement_ar_ppo_order_012,medium,0,8,256,all,768,1326,0.5074431300163269,0.49255692958831787,0.7133052349090576,0.6930353045463562,0.7440657615661621,1.0,-0.790864884853363
factorized_engagement_ar_ppo_order_012,medium,0,8,256,heterogeneity_pressure,256,423,0.5074393153190613,0.4925606846809387,0.6363837122917175,0.6930354237556458,0.6670898795127869,1.0,-0.7411363124847412
factorized_engagement_ar_ppo_order_012,medium,0,8,256,medium,256,444,0.5076161026954651,0.49238383769989014,0.6926867365837097,0.6930302977561951,0.7239440083503723,1.0,-0.7589544057846069
factorized_engagement_ar_ppo_order_012,medium,0,8,256,time_pressure,256,459,0.5072791576385498,0.4927208721637726,0.8041384220123291,0.6930399537086487,0.8344685435295105,1.0,-0.8725038766860962
role_conditioned_ar_ppo_order_012,medium,1,9,0,all,768,1446,0.6871982216835022,0.3128017485141754,0.0036738510243594646,0.5857119560241699,0.8511615991592407,0.01313969571230982,-0.5265446305274963
role_conditioned_ar_ppo_order_012,medium,1,9,0,heterogeneity_pressure,256,457,0.6831508874893188,0.31684908270835876,0.0037466075737029314,0.595442533493042,0.8196694254875183,0.00437636761487965,-0.5103787183761597
role_conditioned_ar_ppo_order_012,medium,1,9,0,medium,256,497,0.6778271198272705,0.3221728801727295,0.0037039073649793863,0.5924607515335083,0.8062059283256531,0.012072434607645875,-0.5303507447242737
role_conditioned_ar_ppo_order_012,medium,1,9,0,time_pressure,256,492,0.7004240155220032,0.2995759844779968,0.003575908485800028,0.5698559880256653,0.9258260130882263,0.022357723577235773,-0.5389043092727661
role_conditioned_ar_ppo_order_012,medium,1,9,256,all,768,1287,0.6720477938652039,0.32795223593711853,-0.022672932595014572,0.5966815948486328,0.7524682283401489,1.0,-1.342593789100647
