method,train_scenario,eval_scenario,timesteps,metric,n_runs,mean,std,sem,confidence_level,ci_low,ci_high
role_conditioned_ar_ppo_order_012,medium,medium,0,avg_reward,5,-64.50295713002387,15.516092364834433,6.939007454587052,0.95,-83.76873041224313,-45.237183847804616
role_conditioned_ar_ppo_order_012,medium,medium,0,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,0,intercept_rate,5,0.364,0.11171392035015153,0.049959983987187186,0.95,0.22528884700301371,0.5027111529969863
role_conditioned_ar_ppo_order_012,medium,medium,0,avg_total_damage,5,1.5957937582780002,0.39538463671063484,0.17682138498880767,0.95,1.1048588894315297,2.086728627124471
role_conditioned_ar_ppo_order_012,medium,medium,0,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,1000,avg_reward,5,-70.5286677012417,21.757396436315595,9.730203489002669,0.95,-97.5440435508617,-43.5132918516217
role_conditioned_ar_ppo_order_012,medium,medium,1000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,1000,intercept_rate,5,0.21600000000000003,0.21605554841290237,0.09662297863344929,0.95,0.0,0.4842683960764718
role_conditioned_ar_ppo_order_012,medium,medium,1000,avg_total_damage,5,1.7870300222954996,0.5846336580456574,0.26145612026489135,0.95,1.061111456962035,2.512948587628964
role_conditioned_ar_ppo_order_012,medium,medium,1000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,10000,avg_reward,5,-78.8776990135232,19.010564638287626,8.501782964372966,0.95,-102.48243271041055,-55.27296531663585
role_conditioned_ar_ppo_order_012,medium,medium,10000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,10000,intercept_rate,5,0.144,0.2051341024793294,0.09173875952943773,0.95,0.0,0.39870762985242525
role_conditioned_ar_ppo_order_012,medium,medium,10000,avg_total_damage,5,2.0281426035453163,0.5212260856747954,0.23309939184299439,0.95,1.3809549380382509,2.675330269052382
role_conditioned_ar_ppo_order_012,medium,medium,10000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,10240,avg_reward,5,-78.83899869448767,19.202160282038882,8.587467141097095,0.95,-102.68162980443364,-54.99636758454171
role_conditioned_ar_ppo_order_012,medium,medium,10240,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,10240,intercept_rate,5,0.13999999999999999,0.20199009876724155,0.09033271832508971,0.95,0.0,0.3908038336329068
role_conditioned_ar_ppo_order_012,medium,medium,10240,avg_total_damage,5,2.0190206750959536,0.530764144373079,0.2373649413675434,0.95,1.3599899454904754,2.678051404701432
role_conditioned_ar_ppo_order_012,medium,medium,10240,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,2000,avg_reward,5,-70.59997942332282,13.900796834896187,6.216625332848359,0.95,-87.86009839955828,-53.33986044708736
role_conditioned_ar_ppo_order_012,medium,medium,2000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,2000,intercept_rate,5,0.248,0.16589153082662178,0.07418894796396563,0.95,0.042018458565673406,0.45398154143432656
role_conditioned_ar_ppo_order_012,medium,medium,2000,avg_total_damage,5,1.7997358158178383,0.40985419794192,0.1832923694923575,0.95,1.2908346137206759,2.3086370179150006
role_conditioned_ar_ppo_order_012,medium,medium,2000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,3000,avg_reward,5,-76.44793077139278,20.55934359575704,9.194417970577538,0.95,-101.97572754094546,-50.9201340018401
role_conditioned_ar_ppo_order_012,medium,medium,3000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,3000,intercept_rate,5,0.17200000000000001,0.19057806799314553,0.08522910301065006,0.95,0.0,0.40863392587431835
role_conditioned_ar_ppo_order_012,medium,medium,3000,avg_total_damage,5,1.9901594193352068,0.558932410459826,0.24996217292319708,0.95,1.2961531678379905,2.684165670832423
role_conditioned_ar_ppo_order_012,medium,medium,3000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,4000,avg_reward,5,-71.79963137643907,17.723200464903407,7.926056203675978,0.95,-93.80589132665789,-49.79337142622025
role_conditioned_ar_ppo_order_012,medium,medium,4000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,4000,intercept_rate,5,0.20800000000000002,0.198292712927127,0.08867919710958144,0.95,0.0,0.4542129227477682
role_conditioned_ar_ppo_order_012,medium,medium,4000,avg_total_damage,5,1.8351284699769284,0.4929938780511792,0.22047356476273564,0.95,1.2229957202659212,2.4472612196879355
role_conditioned_ar_ppo_order_012,medium,medium,4000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,5000,avg_reward,5,-74.45937818859419,17.543909298795295,7.84587475663939,0.95,-96.24301875266059,-52.675737624527784
role_conditioned_ar_ppo_order_012,medium,medium,5000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,5000,intercept_rate,5,0.196,0.19099738218101317,0.0854166260162505,0.95,0.0,0.4331545732053297
role_conditioned_ar_ppo_order_012,medium,medium,5000,avg_total_damage,5,1.880158991080528,0.4657881904510292,0.20830681139302393,0.95,1.3018065642090058,2.4585114179520504
role_conditioned_ar_ppo_order_012,medium,medium,5000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,6000,avg_reward,5,-66.78004731712562,27.310607913634577,12.213675160346124,0.95,-100.69064593254456,-32.86944870170669
role_conditioned_ar_ppo_order_012,medium,medium,6000,success_rate,5,0.04,0.08944271909999159,0.04,0.95,0.0,0.15105780420791196
role_conditioned_ar_ppo_order_012,medium,medium,6000,intercept_rate,5,0.23600000000000004,0.24016660883644922,0.10740577265678042,0.95,0.0,0.5342062317629056
role_conditioned_ar_ppo_order_012,medium,medium,6000,avg_total_damage,5,1.7389763644092722,0.659924377371633,0.29512715356243907,0.95,0.9195720234898791,2.5583807053286653
role_conditioned_ar_ppo_order_012,medium,medium,6000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,7000,avg_reward,5,-78.44353861360898,18.420192376710922,8.237760462589806,0.95,-101.3152283277584,-55.57184889945955
role_conditioned_ar_ppo_order_012,medium,medium,7000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,7000,intercept_rate,5,0.13999999999999999,0.19798989873223333,0.08854377448471462,0.95,0.0,0.3858369292638236
role_conditioned_ar_ppo_order_012,medium,medium,7000,avg_total_damage,5,2.020402718847977,0.5167423085763803,0.23109418576539176,0.95,1.3787823979399843,2.6620230397559697
role_conditioned_ar_ppo_order_012,medium,medium,7000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,8000,avg_reward,5,-74.71691617497495,21.21114462969284,9.485912254514558,0.95,-101.05403082235772,-48.37980152759219
role_conditioned_ar_ppo_order_012,medium,medium,8000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,8000,intercept_rate,5,0.152,0.210047613649858,0.09393614852653903,0.95,0.0,0.41280855977764275
role_conditioned_ar_ppo_order_012,medium,medium,8000,avg_total_damage,5,1.9994305636173835,0.5337146051496926,0.23868442753983438,0.95,1.3367363530874716,2.662124774147295
role_conditioned_ar_ppo_order_012,medium,medium,8000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,9000,avg_reward,5,-76.0862676477107,19.82749440704561,8.867125063530173,0.95,-100.70535362752577,-51.46718166789563
role_conditioned_ar_ppo_order_012,medium,medium,9000,success_rate,5,0.0,0.0,0.0,0.95,0.0,0.0
role_conditioned_ar_ppo_order_012,medium,medium,9000,intercept_rate,5,0.152,0.210047613649858,0.09393614852653903,0.95,0.0,0.41280855977764275
role_conditioned_ar_ppo_order_012,medium,medium,9000,avg_total_damage,5,1.9727098990243348,0.5603023630507639,0.25057483434705485,0.95,1.277002626715705,2.6684171713329645
role_conditioned_ar_ppo_order_012,medium,medium,9000,avg_invalid_actions,5,0.0,0.0,0.0,0.95,0.0,0.0
