method,train_scenario,run_index,train_seed,timesteps,probe_scenario,probe_states,actionable_decisions,engage_probability_mean,noop_probability_mean,noop_margin_mean,engagement_entropy_mean,conditional_target_entropy_mean,deterministic_engagement_rate,probe_value_mean
role_conditioned_ar_ppo_order_012,medium,0,3,0,all,768,1436,0.6788934469223022,0.32110652327537537,0.000906165165361017,0.5941980481147766,0.8037919402122498,0.3934540389972145,-0.40197500586509705
role_conditioned_ar_ppo_order_012,medium,0,3,0,heterogeneity_pressure,256,450,0.6806198358535767,0.3193801939487457,0.0024598517920821905,0.5988853573799133,0.8040162324905396,0.16666666666666666,-0.48709672689437866
role_conditioned_ar_ppo_order_012,medium,0,3,0,medium,256,497,0.6689931750297546,0.33100682497024536,7.515696051996201e-05,0.6017507314682007,0.7545278668403625,0.5070422535211268,-0.3060677945613861
role_conditioned_ar_ppo_order_012,medium,0,3,0,time_pressure,256,489,0.6873672008514404,0.31263282895088196,0.00032099513919092715,0.582208514213562,0.8536555171012878,0.4867075664621677,-0.41276049613952637
role_conditioned_ar_ppo_order_012,medium,0,3,1024,all,768,1290,0.7242446541786194,0.27575528621673584,-0.2921397089958191,0.5555212497711182,0.7547905445098877,1.0,-14.74718189239502
role_conditioned_ar_ppo_order_012,medium,0,3,1024,heterogeneity_pressure,256,416,0.7122436761856079,0.2877563238143921,-0.29105105996131897,0.5684931874275208,0.6888976693153381,1.0,-14.737040519714355
role_conditioned_ar_ppo_order_012,medium,0,3,1024,medium,256,422,0.719791054725647,0.2802089750766754,-0.28577399253845215,0.5606852769851685,0.7344322800636292,1.0,-14.754029273986816
role_conditioned_ar_ppo_order_012,medium,0,3,1024,time_pressure,256,452,0.7394479513168335,0.2605520188808441,-0.2990849018096924,0.53876131772995,0.8344425559043884,1.0,-14.75047492980957
role_conditioned_ar_ppo_order_012,medium,0,3,2048,all,768,1252,0.7601743340492249,0.23982565104961395,-0.47214213013648987,0.5198389887809753,0.7848833203315735,1.0,-21.051729202270508
role_conditioned_ar_ppo_order_012,medium,0,3,2048,heterogeneity_pressure,256,400,0.749439001083374,0.2505609691143036,-0.46595829725265503,0.5327245593070984,0.7265838384628296,1.0,-21.04900360107422
role_conditioned_ar_ppo_order_012,medium,0,3,2048,medium,256,417,0.7539742588996887,0.24602572619915009,-0.46064695715904236,0.5278353095054626,0.7554789781570435,1.0,-21.052982330322266
role_conditioned_ar_ppo_order_012,medium,0,3,2048,time_pressure,256,435,0.7759894132614136,0.22401060163974762,-0.4888480305671692,0.5003247261047363,0.8666797280311584,1.0,-21.053199768066406
role_conditioned_ar_ppo_order_012,medium,0,3,3072,all,768,1289,0.8038979768753052,0.1961020678281784,-0.7669155597686768,0.4678835868835449,0.7710033655166626,1.0,-22.033754348754883
role_conditioned_ar_ppo_order_012,medium,0,3,3072,heterogeneity_pressure,256,407,0.7929169535636902,0.20708303153514862,-0.7507879734039307,0.4832015335559845,0.7118023633956909,1.0,-21.45818328857422
role_conditioned_ar_ppo_order_012,medium,0,3,3072,medium,256,436,0.8005594611167908,0.19944052398204803,-0.759059727191925,0.47345995903015137,0.7462925314903259,1.0,-22.914566040039062
role_conditioned_ar_ppo_order_012,medium,0,3,3072,time_pressure,256,446,0.8171823024749756,0.182817742228508,-0.7893125414848328,0.4484536945819855,0.8491844534873962,1.0,-21.728511810302734
role_conditioned_ar_ppo_order_012,medium,0,3,4096,all,768,1292,0.7431463003158569,0.25685375928878784,-0.3923152685165405,0.5383764505386353,0.773301362991333,1.0,-31.079782485961914
role_conditioned_ar_ppo_order_012,medium,0,3,4096,heterogeneity_pressure,256,409,0.7285718321800232,0.2714281380176544,-0.37491345405578613,0.5535787343978882,0.7082810401916504,1.0,-31.052104949951172
role_conditioned_ar_ppo_order_012,medium,0,3,4096,medium,256,436,0.7400206327438354,0.2599794566631317,-0.38207152485847473,0.5429711937904358,0.7557821273803711,1.0,-31.108768463134766
role_conditioned_ar_ppo_order_012,medium,0,3,4096,time_pressure,256,447,0.7595304846763611,0.24046950042247772,-0.4182293117046356,0.5199849605560303,0.8498824834823608,1.0,-31.078472137451172
role_conditioned_ar_ppo_order_012,medium,0,3,5120,all,768,1275,0.8022043704986572,0.19779562950134277,-0.7581884860992432,0.47176045179367065,0.7698999643325806,1.0,-33.825618743896484
role_conditioned_ar_ppo_order_012,medium,0,3,5120,heterogeneity_pressure,256,409,0.7903187274932861,0.20968128740787506,-0.7404900193214417,0.4878154993057251,0.7080016732215881,1.0,-33.52912139892578
role_conditioned_ar_ppo_order_012,medium,0,3,5120,medium,256,425,0.7994049191474915,0.20059505105018616,-0.7461757659912109,0.47664734721183777,0.7507262229919434,1.0,-34.410221099853516
role_conditioned_ar_ppo_order_012,medium,0,3,5120,time_pressure,256,441,0.8159254193305969,0.1840745508670807,-0.7861797213554382,0.4521608352661133,0.8457847833633423,1.0,-33.53752136230469
role_conditioned_ar_ppo_order_012,medium,0,3,6144,all,768,1280,0.8616517782211304,0.13834820687770844,-1.2171542644500732,0.3822322487831116,0.7667044401168823,1.0,-39.621036529541016
role_conditioned_ar_ppo_order_012,medium,0,3,6144,heterogeneity_pressure,256,407,0.8529162406921387,0.14708377420902252,-1.1959517002105713,0.39745059609413147,0.7112933397293091,1.0,-39.803592681884766
role_conditioned_ar_ppo_order_012,medium,0,3,6144,medium,256,432,0.8585624098777771,0.14143763482570648,-1.2045317888259888,0.3884662985801697,0.7384108304977417,1.0,-40.03055191040039
role_conditioned_ar_ppo_order_012,medium,0,3,6144,time_pressure,256,441,0.8727402687072754,0.127259761095047,-1.2490873336791992,0.36208033561706543,0.8455595970153809,1.0,-39.028953552246094
role_conditioned_ar_ppo_order_012,medium,0,3,7168,all,768,1288,0.7937190532684326,0.20628096163272858,-0.7018378376960754,0.4842323064804077,0.7683762311935425,1.0,-35.8212890625
role_conditioned_ar_ppo_order_012,medium,0,3,7168,heterogeneity_pressure,256,407,0.7830674648284912,0.216932475566864,-0.689028263092041,0.4977652430534363,0.7113189101219177,1.0,-35.489768981933594
role_conditioned_ar_ppo_order_012,medium,0,3,7168,medium,256,434,0.7878941893577576,0.21210578083992004,-0.6803022027015686,0.4926106333732605,0.7413294911384583,1.0,-37.10528564453125
role_conditioned_ar_ppo_order_012,medium,0,3,7168,time_pressure,256,447,0.8090727925300598,0.1909271478652954,-0.7344103455543518,0.4637756943702698,0.8465878367424011,1.0,-34.86880874633789
role_conditioned_ar_ppo_order_012,medium,0,3,8192,all,768,1286,0.7655021548271179,0.2344978302717209,-0.5294279456138611,0.5171138048171997,0.7649204134941101,1.0,-32.84222412109375
role_conditioned_ar_ppo_order_012,medium,0,3,8192,heterogeneity_pressure,256,407,0.7551083564758301,0.24489162862300873,-0.5203483700752258,0.5290671586990356,0.7114768624305725,1.0,-34.35844421386719
role_conditioned_ar_ppo_order_012,medium,0,3,8192,medium,256,433,0.758604109287262,0.2413959503173828,-0.5066635012626648,0.5258986353874207,0.7368056178092957,1.0,-32.451385498046875
role_conditioned_ar_ppo_order_012,medium,0,3,8192,time_pressure,256,446,0.7816841006278992,0.21831589937210083,-0.5598145723342896,0.4976770579814911,0.8409858345985413,1.0,-31.716838836669922
role_conditioned_ar_ppo_order_012,medium,0,3,9216,all,768,1285,0.7909245491027832,0.20907548069953918,-0.6915190815925598,0.4861554205417633,0.7648712396621704,1.0,-38.34999084472656
role_conditioned_ar_ppo_order_012,medium,0,3,9216,heterogeneity_pressure,256,407,0.7803785800933838,0.2196214497089386,-0.677133321762085,0.4994893968105316,0.7113542556762695,1.0,-38.630401611328125
role_conditioned_ar_ppo_order_012,medium,0,3,9216,medium,256,432,0.7842707633972168,0.2157292664051056,-0.6664561033248901,0.4955381155014038,0.7368091940879822,1.0,-37.862510681152344
role_conditioned_ar_ppo_order_012,medium,0,3,9216,time_pressure,256,446,0.806993305683136,0.1930067390203476,-0.7289230823516846,0.4648992717266083,0.8408898115158081,1.0,-38.55705642700195
role_conditioned_ar_ppo_order_012,medium,0,3,10240,all,768,1285,0.7870675325393677,0.21293246746063232,-0.6630065441131592,0.49186673760414124,0.7585733532905579,1.0,-37.47377395629883
role_conditioned_ar_ppo_order_012,medium,0,3,10240,heterogeneity_pressure,256,406,0.7751613855361938,0.22483861446380615,-0.6512401103973389,0.5071256160736084,0.6925143599510193,1.0,-37.82394790649414
role_conditioned_ar_ppo_order_012,medium,0,3,10240,medium,256,432,0.7802874445915222,0.21971257030963898,-0.6441351771354675,0.5010560750961304,0.728980541229248,1.0,-37.24311065673828
role_conditioned_ar_ppo_order_012,medium,0,3,10240,time_pressure,256,447,0.8044342398643494,0.19556578993797302,-0.6919319033622742,0.46912646293640137,0.8471728563308716,1.0,-37.35427474975586
role_conditioned_ar_ppo_order_012,medium,1,4,0,all,768,1277,0.6704802513122559,0.32951971888542175,-0.0033995520789176226,0.5976563692092896,0.7637476921081543,0.9522317932654659,-0.043891504406929016
role_conditioned_ar_ppo_order_012,medium,1,4,0,heterogeneity_pressure,256,413,0.653617262840271,0.3463827073574066,-0.0035426283720880747,0.6112957000732422,0.681152880191803,0.9346246973365617,0.14460793137550354
role_conditioned_ar_ppo_order_012,medium,1,4,0,medium,256,417,0.668657124042511,0.331342875957489,-0.003524483647197485,0.5999537110328674,0.7525338530540466,0.9616306954436451,-0.17425166070461273
role_conditioned_ar_ppo_order_012,medium,1,4,0,time_pressure,256,447,0.6877614259719849,0.3122386336326599,-0.0031508116517215967,0.5829111337661743,0.8505212664604187,0.959731543624161,-0.10203078389167786
role_conditioned_ar_ppo_order_012,medium,1,4,1024,all,768,1446,0.6221185326576233,0.3778814971446991,0.3027803897857666,0.6256178021430969,0.8510501384735107,0.0,-14.407757759094238
role_conditioned_ar_ppo_order_012,medium,1,4,1024,heterogeneity_pressure,256,457,0.6191354393959045,0.38086459040641785,0.29139232635498047,0.6337908506393433,0.8195452690124512,0.0,-14.392014503479004
role_conditioned_ar_ppo_order_012,medium,1,4,1024,medium,256,497,0.6088863611221313,0.39111363887786865,0.31725776195526123,0.6323859095573425,0.8060792684555054,0.0,-14.414905548095703
role_conditioned_ar_ppo_order_012,medium,1,4,1024,time_pressure,256,492,0.6382561326026917,0.36174389719963074,0.2987339198589325,0.6111893057823181,0.9257415533065796,0.0,-14.41635513305664
role_conditioned_ar_ppo_order_012,medium,1,4,2048,all,768,1446,0.6072499752044678,0.39274999499320984,0.35055285692214966,0.630557656288147,0.8505212664604187,0.0,-18.744199752807617
role_conditioned_ar_ppo_order_012,medium,1,4,2048,heterogeneity_pressure,256,457,0.6061810851097107,0.3938189148902893,0.32541871070861816,0.6382155418395996,0.8188676834106445,0.0,-18.594562530517578
role_conditioned_ar_ppo_order_012,medium,1,4,2048,medium,256,497,0.5909993648529053,0.40900060534477234,0.3844926953315735,0.6381224393844604,0.8056911826133728,0.0,-18.883277893066406
role_conditioned_ar_ppo_order_012,medium,1,4,2048,time_pressure,256,492,0.6246587038040161,0.37534135580062866,0.33961421251296997,0.6158029437065125,0.9252088665962219,0.0,-18.754756927490234
role_conditioned_ar_ppo_order_012,medium,1,4,3072,all,768,1446,0.6462487578392029,0.3537512719631195,0.17750772833824158,0.613256573677063,0.8488398790359497,0.01037344398340249,-17.760953903198242
role_conditioned_ar_ppo_order_012,medium,1,4,3072,heterogeneity_pressure,256,457,0.6447044014930725,0.3552955985069275,0.1598375141620636,0.6204444169998169,0.819160521030426,0.019693654266958426,-16.86983871459961
role_conditioned_ar_ppo_order_012,medium,1,4,3072,medium,256,497,0.6334717273712158,0.3665282130241394,0.1977682113647461,0.6212471723556519,0.8058769106864929,0.004024144869215292,-19.369762420654297
role_conditioned_ar_ppo_order_012,medium,1,4,3072,time_pressure,256,492,0.6605899930000305,0.3394099473953247,0.17345453798770905,0.598508358001709,0.9198076128959656,0.008130081300813009,-17.04326057434082
role_conditioned_ar_ppo_order_012,medium,1,4,4096,all,768,1446,0.5271063446998596,0.472893625497818,0.7129380702972412,0.6526079177856445,0.8507615327835083,0.0,-20.569290161132812
role_conditioned_ar_ppo_order_012,medium,1,4,4096,heterogeneity_pressure,256,457,0.5226036310195923,0.4773963987827301,0.697506844997406,0.6600801348686218,0.8191727995872498,0.0,-20.144508361816406
role_conditioned_ar_ppo_order_012,medium,1,4,4096,medium,256,497,0.514277994632721,0.48572200536727905,0.728058934211731,0.6539086699485779,0.8059027791023254,0.0,-21.891067504882812
role_conditioned_ar_ppo_order_012,medium,1,4,4096,time_pressure,256,492,0.544247567653656,0.4557524025440216,0.7119967937469482,0.6443532109260559,0.9254176020622253,0.0,-19.67229652404785
