actionable_decisions,actionable_engagements,all_noop_episode,ammo_used,assignment_conflict_rate,conflict_target_events,damage_reduction_per_ammo,decision_time_ms,decision_time_seconds,engaged_target_events,engagements,episode_index,eval_scenario,evaluation_mode,evaluation_seed,high_threat_leak_rate,high_threat_threshold,hits,intercepted_damage_potential,invalid_actions,num_high_threat_leaked,num_high_threat_targets,num_intercepted,num_leaked,num_targets,overkill_assignments,overkill_rate,resource_cost,shots,steps,success,total_damage,total_reward,train_seed,unit_decisions,zone_weighted_damage
83,1,False,1,0.0,0,1.1809920177878472,2.5235827581190247,0.07318389998545172,1,1,0,medium,deterministic,50000,0.5,0.8,1,1.1809920177878472,0,1,2,1,3,5,0,0.0,2.0,1,29,False,2.857776850742124,-108.03786791476776,0,87,2.857776850742124
140,1,False,1,0.0,0,0.7120458433819452,2.3253042559867647,0.10928930003137793,1,1,1,medium,deterministic,50000,0.6666666666666666,0.8,1,0.7120458433819452,0,2,3,1,4,5,0,0.0,2.0,1,47,False,2.356030953865696,-70.3520115470035,0,141,2.356030953865696
150,0,True,0,0.0,0,0.0,2.3880719995941035,0.11940359997970518,0,0,2,medium,deterministic,50000,0.0,0.8,0,0.0,0,0,2,0,2,5,0,0.0,0.0,0,50,False,1.2232936890039343,-41.69881067011806,0,150,1.2232936890039343
142,1,False,1,0.0,0,0.6522208954612961,2.460003999294713,0.12300019996473566,1,1,3,medium,deterministic,50000,0.6666666666666666,0.8,1,0.6522208954612961,0,2,3,1,3,5,0,0.0,2.0,1,50,False,2.1659282105760083,-66.48401226222795,0,150,2.1659282105760083
109,5,False,5,0.0,0,0.3466429839362014,2.404994000098668,0.1202497000049334,5,5,4,medium,deterministic,50000,0.5,0.8,2,1.733214919681007,0,1,2,2,2,5,0,0.0,10.0,5,50,False,1.5903345853382336,-51.02904537901924,0,150,1.5903345853382336
112,4,False,4,0.0,0,0.4589302498743991,2.224342499539489,0.08897369998157956,4,4,5,medium,deterministic,50000,0.5,0.8,2,1.8357209994975965,0,1,2,2,3,5,0,0.0,8.0,4,40,False,1.7576446247485478,-52.02781516196744,0,120,1.7576446247485478
129,5,False,5,0.0,0,0.30843105541760635,2.1042819997819606,0.10521409998909803,5,5,6,medium,deterministic,50000,0.5,0.8,3,1.5421552770880318,0,1,2,3,1,5,0,0.0,10.0,5,50,False,0.941789753906312,-26.811916280072943,0,150,0.941789753906312
144,1,False,1,0.0,0,0.49822757750890756,2.1072880004066974,0.10536440002033487,1,1,7,medium,deterministic,50000,0.0,0.8,1,0.49822757750890756,0,0,1,1,3,5,0,0.0,2.0,1,50,False,1.165456088795608,-36.41670115924655,0,150,1.165456088795608
138,1,False,1,0.0,0,0.6493251265014789,2.086774000345031,0.10433870001725154,1,1,8,medium,deterministic,50000,0.0,0.8,1,0.6493251265014789,0,0,1,1,2,5,0,0.0,2.0,1,50,False,1.2840549986680494,-40.462215590182346,0,150,1.2840549986680494
130,3,False,3,0.0,0,0.2190614163561673,2.108373999799369,0.10541869998996845,3,3,9,medium,deterministic,50000,0.3333333333333333,0.8,1,0.6571842490685019,0,1,3,1,2,5,0,0.0,6.0,3,50,False,1.746556921882777,-55.87658332005721,0,150,1.746556921882777
96,3,False,3,0.0,0,0.49841160422849823,2.188078723191482,0.10283969998999964,3,3,10,medium,deterministic,50000,0.0,0.8,2,1.4952348126854946,0,0,1,2,3,5,0,0.0,6.0,3,47,False,1.8785611827052486,-55.721087991951194,0,141,1.8785611827052486
149,1,False,1,0.0,0,1.2637101790723306,2.303966000035871,0.11519830000179354,1,1,11,medium,deterministic,50000,0.3333333333333333,0.8,1,1.2637101790723306,0,1,3,1,2,5,0,0.0,2.0,1,50,False,0.9588729693529592,-28.196032551336472,0,150,0.9588729693529592
149,1,False,1,0.0,0,0.9935001925206484,2.6333819996216334,0.13166909998108167,1,1,12,medium,deterministic,50000,1.0,0.8,1,0.9935001925206484,0,1,1,1,2,5,0,0.0,2.0,1,50,False,1.3504294194958213,-41.8553950130291,0,150,1.3504294194958213
140,2,False,2,0.0,0,0.2935955806071597,2.295668000006117,0.11478340000030585,2,2,13,medium,deterministic,50000,1.0,0.8,1,0.5871911612143194,0,2,2,1,3,5,0,0.0,4.0,2,50,False,2.103266583866679,-66.47963656296945,0,150,2.103266583866679
113,1,False,1,0.0,0,0.5907877322719297,2.34281052574883,0.08902679997845553,1,1,14,medium,deterministic,50000,0.6666666666666666,0.8,1,0.5907877322719297,0,2,3,1,4,5,0,0.0,2.0,1,38,False,3.371780582547313,-125.97453478207824,0,114,3.371780582547313
140,1,False,1,0.0,0,1.2505642014461684,2.5416819998645224,0.12708409999322612,1,1,15,medium,deterministic,50000,0.6666666666666666,0.8,1,1.2505642014461684,0,2,3,1,3,5,0,0.0,2.0,1,50,False,2.445572580662386,-73.01921954512177,0,150,2.445572580662386
87,3,False,3,0.0,0,0.7027532749981079,2.278199999838964,0.0820151999942027,3,3,16,medium,deterministic,50000,0.5,0.8,2,2.108259824994324,0,2,4,2,3,5,0,0.0,6.0,3,36,False,2.4364578053975237,-68.07306901328968,0,108,2.4364578053975237
150,0,True,0,0.0,0,0.0,2.2673460000078194,0.11336730000039097,0,0,17,medium,deterministic,50000,0.3333333333333333,0.8,0,0.0,0,1,3,0,3,5,0,0.0,0.0,0,50,False,1.9688166346184541,-64.06449903855365,0,150,1.9688166346184541
146,2,False,2,0.0,0,0.450572290922253,2.34738200015272,0.117369100007636,2,2,18,medium,deterministic,50000,0.0,0.8,1,0.901144581844506,0,0,1,1,3,5,0,0.0,4.0,2,50,False,1.6705643396248995,-53.66291324043277,0,150,1.6705643396248995
146,0,True,0,0.0,0,0.0,2.5878640012524556,0.12939320006262278,0,0,19,medium,deterministic,50000,0.5,0.8,0,0.0,0,1,2,0,2,5,0,0.0,0.0,0,50,False,1.499249877160206,-49.97749631480621,0,150,1.499249877160206
143,1,False,1,0.0,0,1.010433863957028,2.7609719995234627,0.13804859997617314,1,1,20,medium,deterministic,50000,0.5,0.8,1,1.010433863957028,0,1,2,1,3,5,0,0.0,2.0,1,50,False,1.8349114282909675,-55.66053912487346,0,150,1.8349114282909675
143,1,False,1,0.0,0,0.8206410458989817,2.806970000092406,0.1403485000046203,1,1,21,medium,deterministic,50000,1.0,0.8,1,0.8206410458989817,0,3,3,1,3,5,0,0.0,2.0,1,50,False,2.4416859237536372,-74.53550097317137,0,150,2.4416859237536372
108,4,False,4,0.0,0,0.11195058348467235,3.240987179966536,0.1263985000186949,4,4,22,medium,deterministic,50000,1.0,0.8,1,0.4478023339386894,0,2,2,1,4,5,0,0.0,8.0,4,39,False,2.854500240918166,-119.31377359787818,0,117,2.854500240918166
123,3,False,3,0.0,0,0.4383535311096056,3.1749740008672234,0.15874870004336117,3,3,23,medium,deterministic,50000,0.0,0.8,2,1.3150605933288169,0,0,1,2,1,5,0,0.0,6.0,3,50,False,0.8417920549359698,-25.068509785535138,0,150,0.8417920549359698
144,2,False,2,0.0,0,0.43992375320628374,3.2373799999186303,0.16186899999593152,2,2,24,medium,deterministic,50000,1.0,0.8,1,0.8798475064125675,0,1,1,1,3,5,0,0.0,4.0,2,50,False,1.9021807656453884,-59.900016708307454,0,150,1.9021807656453884
149,1,False,1,0.0,0,0.40668801132567856,3.8965660001849756,0.19482830000924878,1,1,25,medium,deterministic,50000,0.0,0.8,1,0.40668801132567856,0,0,2,1,2,5,0,0.0,2.0,1,50,False,1.3124335318270874,-42.142699664013136,0,150,1.3124335318270874
145,2,False,2,0.0,0,0.6640310895430277,3.1495760001416784,0.15747880000708392,2,2,26,medium,deterministic,50000,0.0,0.8,2,1.3280621790860554,0,0,1,2,3,5,0,0.0,4.0,2,50,False,2.44024732401687,-70.67721621995521,0,150,2.44024732401687
137,3,False,3,0.0,0,0.70441896467447,3.451803999778349,0.17259019998891745,3,3,27,medium,deterministic,50000,0.0,0.8,2,2.1132568940234098,0,0,1,2,1,5,0,0.0,6.0,3,50,False,0.2578066557256004,-5.282769793920016,0,150,0.2578066557256004
123,5,False,5,0.0,0,0.15614737965909403,3.1098360000760294,0.15549180000380147,5,5,28,medium,deterministic,50000,1.0,0.8,1,0.7807368982954702,0,1,1,1,2,5,0,0.0,10.0,5,50,False,1.6381606559128339,-58.043021295619546,0,150,1.6381606559128339
144,1,False,1,0.0,0,0.6742460247920037,3.393579999974463,0.16967899999872316,1,1,29,medium,deterministic,50000,0.3333333333333333,0.8,1,0.6742460247920037,0,1,3,1,2,5,0,0.0,2.0,1,50,False,1.2090673536980985,-36.24198519759591,0,150,1.2090673536980985
147,2,False,2,0.0,0,0.30112472894956027,3.7354659993434325,0.18677329996717162,2,2,30,medium,deterministic,50000,1.0,0.8,1,0.6022494578991205,0,1,1,1,3,5,0,0.0,4.0,2,50,False,2.3257695202569115,-74.44529922494087,0,150,2.3257695202569115
138,1,False,1,0.0,0,0.9027466932122654,3.6935877552070675,0.1809858000051463,1,1,31,medium,deterministic,50000,1.0,0.8,1,0.9027466932122654,0,2,2,1,4,5,0,0.0,2.0,1,49,False,2.313746563352267,-71.42235414672176,0,147,2.313746563352267
129,2,False,2,0.0,0,0.3035414400376372,3.5860960007994436,0.17930480003997218,2,2,32,medium,deterministic,50000,1.0,0.8,1,0.6070828800752744,0,1,1,1,3,5,0,0.0,4.0,2,50,False,2.0425363798217893,-66.14589032404719,0,150,2.0425363798217893
149,1,False,1,0.0,0,0.4427720820497852,3.7858399999095127,0.18929199999547563,1,1,33,medium,deterministic,50000,1.0,0.8,1,0.4427720820497852,0,2,2,1,3,5,0,0.0,2.0,1,50,False,2.1365271490810476,-66.34903931064277,0,150,2.136527149081048
142,3,False,3,0.0,0,0.4171814993279395,3.3980619996145833,0.16990309998072917,3,3,34,medium,deterministic,50000,0.3333333333333333,0.8,2,1.2515444979838186,0,1,3,2,3,5,0,0.0,6.0,3,50,False,2.2030143751526543,-65.36896892730252,0,150,2.2030143751526543
149,1,False,1,0.0,0,1.0224251957940276,3.258831999701215,0.16294159998506075,1,1,35,medium,deterministic,50000,1.0,0.8,1,1.0224251957940276,0,2,2,1,3,5,0,0.0,2.0,1,50,False,2.2081870030088107,-67.32163584322738,0,150,2.208187003008811
148,1,False,1,0.0,0,0.7727993465552847,3.4740899997996166,0.17370449998998083,1,1,36,medium,deterministic,50000,0.5,0.8,1,0.7727993465552847,0,2,4,1,2,5,0,0.0,2.0,1,50,False,1.1892479548272623,-34.85478988889367,0,150,1.1892479548272623
107,3,False,3,0.0,0,0.865012467999002,3.2333707322988365,0.1325682000242523,3,3,37,medium,deterministic,50000,0.6666666666666666,0.8,3,2.595037403997006,0,2,3,3,2,5,0,0.0,6.0,3,41,False,1.7849878546327056,-46.41034468343632,0,123,1.7849878546327056
121,5,False,5,0.0,0,0.33418060118603315,2.966333999647759,0.14831669998238795,5,5,38,medium,deterministic,50000,0.4,0.8,2,1.6709030059301657,0,2,5,2,2,5,0,0.0,10.0,5,50,False,1.832362649515989,-55.511781612680736,0,150,1.832362649515989
148,2,False,2,0.0,0,0.2818019314238537,2.945709999621613,0.14728549998108065,2,2,39,medium,deterministic,50000,0.5,0.8,1,0.5636038628477074,0,1,2,1,2,5,0,0.0,4.0,2,50,False,1.6971089245308597,-55.689830431014606,0,150,1.6971089245308597
149,1,False,1,0.0,0,0.9156097376494597,3.301314000709681,0.16506570003548404,1,1,40,medium,deterministic,50000,1.0,0.8,1,0.9156097376494597,0,1,1,1,3,5,0,0.0,2.0,1,50,False,1.7344663564579015,-53.66799928419405,0,150,1.7344663564579015
130,3,False,3,0.0,0,0.18265110536710158,3.054357999935746,0.1527178999967873,3,3,41,medium,deterministic,50000,1.0,0.8,1,0.5479533161013047,0,1,1,1,1,5,0,0.0,6.0,3,50,False,0.7893801846893979,-29.7421879056072,0,150,0.7893801846893979
107,3,False,3,0.0,0,0.6787889857394086,2.8062000002558682,0.1150542000104906,3,3,42,medium,deterministic,50000,0.3333333333333333,0.8,2,2.0363669572182257,0,1,3,2,3,5,0,0.0,6.0,3,41,False,1.9966062370632185,-55.77214858704353,0,123,1.9966062370632185
149,1,False,1,0.0,0,0.767955205999954,2.8518700000131503,0.1425935000006575,1,1,43,medium,deterministic,50000,0.0,0.8,1,0.767955205999954,0,0,0,1,3,5,0,0.0,2.0,1,50,False,1.7975134922676985,-56.53370911280701,0,150,1.7975134922676985
128,2,False,2,0.0,0,0.7853117136410172,3.292087999288924,0.1646043999644462,2,2,44,medium,deterministic,50000,0.4,0.8,2,1.5706234272820343,0,2,5,2,2,5,0,0.0,4.0,2,50,False,1.3911978807696344,-38.37805894958952,0,150,1.3911978807696344
150,0,True,0,0.0,0,0.0,2.908157999481773,0.14540789997408865,0,0,45,medium,deterministic,50000,1.0,0.8,0,0.0,0,2,2,0,3,5,0,0.0,0.0,0,50,False,2.0680344878786183,-67.04103463635845,0,150,2.0680344878786183
124,2,False,2,0.0,0,0.575972162861508,3.169838636081708,0.13947289998759516,2,2,46,medium,deterministic,50000,1.0,0.8,2,1.151944325723016,0,1,1,2,3,5,0,0.0,4.0,2,44,False,1.6195292007993416,-47.31536794547353,0,132,1.6195292007993416
131,2,False,2,0.0,0,0.6583561777767779,2.9876897958218955,0.14639679999527289,2,2,47,medium,deterministic,50000,0.5,0.8,2,1.3167123555535558,0,1,2,2,3,5,0,0.0,4.0,2,49,False,2.716220236642651,-103.72679235456152,0,147,2.7162202366426516
141,3,False,3,0.0,0,0.4220642128764564,2.8660439993836917,0.14330219996918458,3,3,48,medium,deterministic,50000,1.0,0.8,2,1.2661926386293691,0,1,1,2,2,5,0,0.0,6.0,3,50,False,1.5112023864631596,-45.62857545274864,0,150,1.5112023864631596
127,2,False,2,0.0,0,0.4769720432029153,2.6815651166713037,0.11530730001686607,2,2,49,medium,deterministic,50000,1.0,0.8,2,0.9539440864058306,0,1,1,2,3,5,0,0.0,4.0,2,43,False,2.140157925985764,-64.10391758838826,0,129,2.140157925985764
