actionable_decisions,conditional_target_entropy_mean,diagnostic_seed,engage_probability_mean,engagement_entropy_mean,evaluation_mode,noop_margin_mean,noop_probability_mean,probe_engagement_rate,probe_scenario,probe_states,probe_value_mean,train_seed
1446,0.8220019936561584,60000,0.4406077265739441,0.5979086756706238,deterministic,0.9711828827857971,0.5593922734260559,0.006915629322268326,all,768,-23.809829711914062,0
457,0.7909145951271057,60000,0.4168601930141449,0.6053732633590698,deterministic,1.0345757007598877,0.5831397771835327,0.006564551422319475,heterogeneity_pressure,256,-21.690895080566406,0
497,0.774905264377594,60000,0.4365902543067932,0.5981569290161133,deterministic,0.9392940402030945,0.5634097456932068,0.004024144869215292,medium,256,-26.319477081298828,0
492,0.8984531164169312,60000,0.46672412753105164,0.5907243490219116,deterministic,0.9445125460624695,0.5332759022712708,0.01016260162601626,time_pressure,256,-23.41911506652832,0
1387,0.7504936456680298,60001,0.4238796532154083,0.5901241302490234,stochastic,0.9933546781539917,0.5761203169822693,0.4275414563806777,all,768,-23.809829711914062,0
440,0.7011265158653259,60001,0.3974129855632782,0.5927985310554504,stochastic,1.0590487718582153,0.6025870442390442,0.4090909090909091,heterogeneity_pressure,256,-21.690895080566406,0
458,0.7301433086395264,60001,0.4250773787498474,0.5916613340377808,stochastic,0.9646706581115723,0.5749226808547974,0.45633187772925765,medium,256,-26.319477081298828,0
475,0.8334372639656067,60001,0.45101600885391235,0.5878353714942932,stochastic,0.9609130024909973,0.5489839911460876,0.4378947368421053,time_pressure,256,-23.41911506652832,0
1446,0.8470592498779297,60010,0.47261273860931396,0.6518698930740356,deterministic,0.9009913802146912,0.527387261390686,0.0,all,768,-22.846391677856445,1
457,0.813105046749115,60010,0.46346384286880493,0.6561128497123718,deterministic,0.8928269147872925,0.5365361571311951,0.0,heterogeneity_pressure,256,-22.94439697265625,1
497,0.8028833866119385,60010,0.4631240665912628,0.6496894955635071,deterministic,0.9040743112564087,0.5368759036064148,0.0,medium,256,-23.666160583496094,1
492,0.9232224822044373,60010,0.49069589376449585,0.650131344795227,deterministic,0.90546053647995,0.5093041062355042,0.0,time_pressure,256,-21.928619384765625,1
1389,0.7809233069419861,60011,0.4542521834373474,0.6506764888763428,stochastic,0.9198311567306519,0.5457478165626526,0.4586033117350612,all,768,-22.846391677856445,1
450,0.7174224257469177,60011,0.438693642616272,0.6515896916389465,stochastic,0.9153258800506592,0.561306357383728,0.4533333333333333,heterogeneity_pressure,256,-22.94439697265625,1
472,0.7631722688674927,60011,0.45008397102355957,0.6482836008071899,stochastic,0.923898458480835,0.5499160289764404,0.4364406779661017,medium,256,-23.666160583496094,1
476,0.8744951486587524,60011,0.4761739671230316,0.6501557230949402,stochastic,0.9224069714546204,0.523826003074646,0.4642857142857143,time_pressure,256,-21.928619384765625,1
1390,0.8217431902885437,60020,0.3313594162464142,0.4655505418777466,deterministic,1.75662100315094,0.6686405539512634,0.19928057553956835,all,768,1.0780359506607056,2
444,0.7641578316688538,60020,0.3720531165599823,0.4829159677028656,deterministic,1.4869763851165771,0.6279468536376953,0.2545045045045045,heterogeneity_pressure,256,1.8135592937469482,2
469,0.785239577293396,60020,0.31818029284477234,0.4499492943286896,deterministic,1.7660510540008545,0.6818196773529053,0.20042643923240938,medium,256,0.17693519592285156,2
477,0.9112359285354614,60020,0.30643904209136963,0.46472597122192383,deterministic,1.9983385801315308,0.6935609579086304,0.14675052410901468,time_pressure,256,1.2436137199401855,2
1378,0.7900145053863525,60021,0.3257666230201721,0.4594292938709259,stochastic,1.762951135635376,0.6742333769798279,0.35123367198838895,all,768,1.0780359506607056,2
443,0.727413535118103,60021,0.37383079528808594,0.47871285676956177,stochastic,1.4477448463439941,0.6261692643165588,0.3972911963882618,heterogeneity_pressure,256,1.8135592937469482,2
468,0.7599860429763794,60021,0.31642696261405945,0.44665369391441345,stochastic,1.7595348358154297,0.6835730075836182,0.32905982905982906,medium,256,0.17693519592285156,2
473,0.8956618309020996,60021,0.30394449830055237,0.45979970693588257,stochastic,2.0027856826782227,0.6960554122924805,0.30655391120507397,time_pressure,256,1.2436137199401855,2
