bin_index,calibration_target,count,episodes,eval_scenario,lower,mean_probability,method,observed_rate,train_seed,upper
0,sampled_engagement_action,0,20,medium,0.0,nan,role_conditioned_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,61,20,medium,0.1,0.16941152769522588,role_conditioned_ar_ppo_order_012,0.18032786885245902,8,0.2
2,sampled_engagement_action,127,20,medium,0.2,0.2494367756477491,role_conditioned_ar_ppo_order_012,0.1732283464566929,8,0.30000000000000004
3,sampled_engagement_action,159,20,medium,0.30000000000000004,0.34973929775585916,role_conditioned_ar_ppo_order_012,0.389937106918239,8,0.4
4,sampled_engagement_action,209,20,medium,0.4,0.4527472683972719,role_conditioned_ar_ppo_order_012,0.48325358851674644,8,0.5
5,sampled_engagement_action,159,20,medium,0.5,0.5426072178396789,role_conditioned_ar_ppo_order_012,0.5408805031446541,8,0.6000000000000001
6,sampled_engagement_action,45,20,medium,0.6000000000000001,0.6341734555032518,role_conditioned_ar_ppo_order_012,0.6444444444444445,8,0.7000000000000001
7,sampled_engagement_action,1,20,medium,0.7000000000000001,0.7107542753219604,role_conditioned_ar_ppo_order_012,1.0,8,0.8
8,sampled_engagement_action,0,20,medium,0.8,nan,role_conditioned_ar_ppo_order_012,nan,8,0.9
9,sampled_engagement_action,0,20,medium,0.9,nan,role_conditioned_ar_ppo_order_012,nan,8,1.0
0,sampled_engagement_action,0,20,time_pressure,0.0,nan,role_conditioned_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,11,20,time_pressure,0.1,0.16964879767461258,role_conditioned_ar_ppo_order_012,0.45454545454545453,8,0.2
2,sampled_engagement_action,101,20,time_pressure,0.2,0.25454877243183627,role_conditioned_ar_ppo_order_012,0.18811881188118812,8,0.30000000000000004
3,sampled_engagement_action,65,20,time_pressure,0.30000000000000004,0.34313079393827,role_conditioned_ar_ppo_order_012,0.4,8,0.4
4,sampled_engagement_action,171,20,time_pressure,0.4,0.4510461130337408,role_conditioned_ar_ppo_order_012,0.4444444444444444,8,0.5
5,sampled_engagement_action,182,20,time_pressure,0.5,0.5525195988324972,role_conditioned_ar_ppo_order_012,0.5824175824175825,8,0.6000000000000001
6,sampled_engagement_action,113,20,time_pressure,0.6000000000000001,0.6432176543548044,role_conditioned_ar_ppo_order_012,0.6106194690265486,8,0.7000000000000001
7,sampled_engagement_action,18,20,time_pressure,0.7000000000000001,0.7308455738756392,role_conditioned_ar_ppo_order_012,0.6666666666666666,8,0.8
8,sampled_engagement_action,0,20,time_pressure,0.8,nan,role_conditioned_ar_ppo_order_012,nan,8,0.9
9,sampled_engagement_action,0,20,time_pressure,0.9,nan,role_conditioned_ar_ppo_order_012,nan,8,1.0
0,sampled_engagement_action,0,20,heterogeneity_pressure,0.0,nan,role_conditioned_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,58,20,heterogeneity_pressure,0.1,0.1698605134312449,role_conditioned_ar_ppo_order_012,0.15517241379310345,8,0.2
2,sampled_engagement_action,129,20,heterogeneity_pressure,0.2,0.2553391655286153,role_conditioned_ar_ppo_order_012,0.24806201550387597,8,0.30000000000000004
