bin_index,calibration_target,count,episodes,eval_scenario,lower,mean_probability,method,observed_rate,train_seed,upper
0,sampled_engagement_action,0,2,medium,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,0,2,medium,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.2
2,sampled_engagement_action,76,2,medium,0.2,0.259591743350029,factorized_engagement_ar_ppo_order_012,0.23684210526315788,8,0.30000000000000004
3,sampled_engagement_action,17,2,medium,0.30000000000000004,0.30837203649913564,factorized_engagement_ar_ppo_order_012,0.5882352941176471,8,0.4
4,sampled_engagement_action,0,2,medium,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.5
5,sampled_engagement_action,0,2,medium,0.5,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.6000000000000001
6,sampled_engagement_action,0,2,medium,0.6000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.7000000000000001
7,sampled_engagement_action,0,2,medium,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.8
8,sampled_engagement_action,0,2,medium,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.9
9,sampled_engagement_action,0,2,medium,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,8,1.0
0,sampled_engagement_action,0,2,time_pressure,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,0,2,time_pressure,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.2
2,sampled_engagement_action,73,2,time_pressure,0.2,0.26482503769332416,factorized_engagement_ar_ppo_order_012,0.3561643835616438,8,0.30000000000000004
3,sampled_engagement_action,10,2,time_pressure,0.30000000000000004,0.3091983497142792,factorized_engagement_ar_ppo_order_012,0.3,8,0.4
4,sampled_engagement_action,0,2,time_pressure,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.5
5,sampled_engagement_action,0,2,time_pressure,0.5,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.6000000000000001
6,sampled_engagement_action,0,2,time_pressure,0.6000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.7000000000000001
7,sampled_engagement_action,0,2,time_pressure,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.8
8,sampled_engagement_action,0,2,time_pressure,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.9
9,sampled_engagement_action,0,2,time_pressure,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,8,1.0
0,sampled_engagement_action,0,2,heterogeneity_pressure,0.0,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.1
1,sampled_engagement_action,0,2,heterogeneity_pressure,0.1,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.2
2,sampled_engagement_action,91,2,heterogeneity_pressure,0.2,0.26079511445957226,factorized_engagement_ar_ppo_order_012,0.2087912087912088,8,0.30000000000000004
3,sampled_engagement_action,7,2,heterogeneity_pressure,0.30000000000000004,0.31026968359947205,factorized_engagement_ar_ppo_order_012,0.2857142857142857,8,0.4
4,sampled_engagement_action,0,2,heterogeneity_pressure,0.4,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.5
5,sampled_engagement_action,0,2,heterogeneity_pressure,0.5,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.6000000000000001
6,sampled_engagement_action,0,2,heterogeneity_pressure,0.6000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.7000000000000001
7,sampled_engagement_action,0,2,heterogeneity_pressure,0.7000000000000001,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.8
8,sampled_engagement_action,0,2,heterogeneity_pressure,0.8,nan,factorized_engagement_ar_ppo_order_012,nan,8,0.9
9,sampled_engagement_action,0,2,heterogeneity_pressure,0.9,nan,factorized_engagement_ar_ppo_order_012,nan,8,1.0
