counterfactual_baseline,engage_probability,engagement_advantage,eval_scenario,joint_value_advantage_proxy,method,observed_action,q_engage,q_noop,state_id,target_advantage,total_counterfactual_advantage,train_seed,unit_index
-17.95229244581479,0.24675674736499786,0.28271648080413314,medium,17.693979943192467,factorized_engagement_ar_ppo_order_012,5,-18.81530544889766,-17.669575965010658,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,0.0,0.28271648080413314,8,0
-17.839552543618417,0.2472764402627945,0.16997657860775917,medium,17.693979943192467,factorized_engagement_ar_ppo_order_012,5,-18.356970924381287,-17.669575965010658,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,0.0,0.16997657860775917,8,1
-17.669575965010658,0.0,0.0,medium,17.693979943192467,factorized_engagement_ar_ppo_order_012,5,-17.669575965010658,-17.669575965010658,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,0.0,0.0,8,2
-14.622669951108096,0.24766238033771515,-2.584417461774459,medium,19.30798999708081,factorized_engagement_ar_ppo_order_012,1,-17.207087412882554,-13.771904332532841,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,0.2920129873559425,-2.2924044744185164,8,0
-16.365334788664477,0.24818383157253265,-0.48057994944615956,medium,19.30798999708081,factorized_engagement_ar_ppo_order_012,3,-16.845914738110636,-16.20668939336797,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,-0.06915968741597567,-0.5497396368621352,8,1
-16.915074425526612,0.0,0.0,medium,19.30798999708081,factorized_engagement_ar_ppo_order_012,5,-16.915074425526612,-16.915074425526612,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,0.0,0.0,8,2
-24.746566321622595,0.25522029399871826,1.0133861916274007,time_pressure,7.537098800668868,factorized_engagement_ar_ppo_order_012,5,-27.70381340429308,-23.733180129995194,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step0,0.0,1.0133861916274007,8,0
-24.581861069417247,0.2492208480834961,-0.9179285391058265,time_pressure,7.537098800668868,factorized_engagement_ar_ppo_order_012,3,-25.499789608523074,-24.277155047130893,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step0,1.7666094785278794,0.8486809394220529,8,1
-23.733180129995194,0.0,0.0,time_pressure,7.537098800668868,factorized_engagement_ar_ppo_order_012,5,-23.733180129995194,-23.733180129995194,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step0,0.0,0.0,8,2
-29.27031811261991,0.2569221556186676,-4.535549408740415,time_pressure,-3.497505472493586,factorized_engagement_ar_ppo_order_012,3,-33.80586752136033,-27.70213364874487,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,-0.2450093805766187,-4.780558789317034,8,0
-34.050876901936945,0.0,0.0,time_pressure,-3.497505472493586,factorized_engagement_ar_ppo_order_012,5,-34.050876901936945,-34.050876901936945,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,0.0,0.0,8,1
-34.050876901936945,0.0,0.0,time_pressure,-3.497505472493586,factorized_engagement_ar_ppo_order_012,5,-34.050876901936945,-34.050876901936945,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step1,0.0,0.0,8,2
-32.37638935420059,0.25205427408218384,-1.1459337369058176,heterogeneity_pressure,12.840744535846717,factorized_engagement_ar_ppo_order_012,1,-33.52232309110641,-31.99021494850071,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step0,0.0,-1.1459337369058176,8,0
-33.52232309110641,0.0,0.0,heterogeneity_pressure,12.840744535846717,factorized_engagement_ar_ppo_order_012,5,-33.52232309110641,-33.52232309110641,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step0,0.0,0.0,8,1
-33.52232309110641,0.0,0.0,heterogeneity_pressure,12.840744535846717,factorized_engagement_ar_ppo_order_012,5,-33.52232309110641,-33.52232309110641,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step0,0.0,0.0,8,2
-39.083157841282045,0.0,0.0,heterogeneity_pressure,7.505465205592955,factorized_engagement_ar_ppo_order_012,5,-39.083157841282045,-39.083157841282045,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step1,0.0,0.0,8,0
-39.083157841282045,0.0,0.0,heterogeneity_pressure,7.505465205592955,factorized_engagement_ar_ppo_order_012,5,-39.083157841282045,-39.083157841282045,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step1,0.0,0.0,8,1
-39.083157841282045,0.0,0.0,heterogeneity_pressure,7.505465205592955,factorized_engagement_ar_ppo_order_012,5,-39.083157841282045,-39.083157841282045,factorized_engagement_ar_ppo_order_012/seed8/heterogeneity_pressure/episode0/step1,0.0,0.0,8,2
-11.4650811108824,0.5760137438774109,-1.3537813996857277,medium,6.862500727301123,factorized_engagement_ar_ppo_order_012,4,-12.818862510568128,-9.625878350972393,factorized_engagement_ar_ppo_order_012/seed10/medium/episode0/step0,-1.2699288000946165,-2.6237101997803443,10,0
