candidate_action,candidate_type,critic_error_vs_branch,critic_v,eval_scenario,legal_candidate_count,mc_q_mean,mc_q_std,method,observed_action,one_step_reward_mean,paired_delta_vs_noop_mean,paired_delta_vs_noop_se,paired_delta_vs_noop_std,rollouts,state_id,train_seed,unit_index
5,noop,-17.693979943192467,-35.363555908203125,medium,4,-17.669575965010658,10.6354127766598,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,0
1,target,-17.911718860456734,-35.363555908203125,medium,4,-17.45183704774639,9.119187773283336,factorized_engagement_ar_ppo_order_012,5,-0.7090876897476582,0.2177389172642663,2.9576639937476723,11.83065597499069,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,0
3,target,-16.186820465224294,-35.363555908203125,medium,4,-19.17673544297883,4.639932199860341,factorized_engagement_ar_ppo_order_012,5,-0.08787834039119236,-1.5071594779681745,2.374555132065319,9.498220528261276,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,0
4,target,-14.556998146883082,-35.363555908203125,medium,4,-20.806557761320043,5.315048635017852,factorized_engagement_ar_ppo_order_012,5,-1.5915807464630776,-3.136981796309383,2.4637202626797743,9.854881050719097,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,0
5,noop,-17.693979943192467,-35.363555908203125,medium,4,-17.669575965010658,10.6354127766598,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,1
1,target,-16.593859441760067,-35.363555908203125,medium,4,-18.769696466443058,7.816741294234398,factorized_engagement_ar_ppo_order_012,5,-1.8218175379495318,-1.100120501432399,2.8431486630150786,11.372594652060315,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,1
3,target,-17.699577532160028,-35.363555908203125,medium,4,-17.663978376043097,6.4743364105579815,factorized_engagement_ar_ppo_order_012,5,-1.093939170195596,0.005597588967560907,2.8627311808507274,11.45092472340291,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,1
4,target,-16.80610023420858,-35.363555908203125,medium,4,-18.557455673994546,5.014409139818872,factorized_engagement_ar_ppo_order_012,5,-0.8289518661576938,-0.8878797089838889,2.743997830465,10.97599132186,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,1
5,noop,-17.693979943192467,-35.363555908203125,medium,1,-17.669575965010658,10.6354127766598,factorized_engagement_ar_ppo_order_012,5,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step0,8,2
5,noop,-22.45116009007458,-36.22306442260742,medium,3,-13.771904332532841,12.710605816512711,factorized_engagement_ar_ppo_order_012,1,-1.7646463900651987,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,8,0
1,target,-19.30798999708081,-36.22306442260742,medium,3,-16.915074425526612,6.494687053603406,factorized_engagement_ar_ppo_order_012,1,-2.316562931928524,-3.1431700929937714,3.279314189181032,13.117256756724128,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,8,0
4,target,-18.478598434558002,-36.22306442260742,medium,3,-17.74446598804942,6.618987614120279,factorized_engagement_ar_ppo_order_012,1,-3.429292780130397,-3.9725616555165795,3.235909008768828,12.943636035075311,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,8,0
5,noop,-20.016375029239452,-36.22306442260742,medium,3,-16.20668939336797,8.748021828945443,factorized_engagement_ar_ppo_order_012,3,-0.9872701517981266,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,8,1
3,target,-19.30798999708081,-36.22306442260742,medium,3,-16.915074425526612,6.494687053603406,factorized_engagement_ar_ppo_order_012,3,-2.316562931928524,-0.7083850321586438,2.5693131029130774,10.27725241165231,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,8,1
4,target,-19.462404114900544,-36.22306442260742,medium,3,-16.76066030770688,8.734363066179293,factorized_engagement_ar_ppo_order_012,3,-2.224641271492742,-0.5539709143389078,3.0618137357293476,12.24725494291739,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,8,1
5,noop,-19.30798999708081,-36.22306442260742,medium,1,-16.915074425526612,6.494687053603406,factorized_engagement_ar_ppo_order_012,5,-2.316562931928524,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/medium/episode0/step1,8,2
5,noop,-7.537098800668868,-31.270278930664062,time_pressure,3,-23.733180129995194,17.63479149387371,factorized_engagement_ar_ppo_order_012,5,2.7104369466218348,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step0,8,0
0,target,-4.450196719517429,-31.270278930664062,time_pressure,3,-26.820082211146634,12.548145490403192,factorized_engagement_ar_ppo_order_012,5,1.586287793336297,-3.086902081151436,3.813646323037095,15.25458529214838,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step0,8,0
1,target,-2.4329834444881584,-31.270278930664062,time_pressure,3,-28.837295486175904,11.473456977793878,factorized_engagement_ar_ppo_order_012,5,-0.2516504427025324,-5.10411535618071,3.875231139559461,15.500924558237845,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step0,8,0
5,noop,-6.993123883533169,-31.270278930664062,time_pressure,3,-24.277155047130893,18.068454614001237,factorized_engagement_ar_ppo_order_012,3,-0.1,0.0,0.0,0.0,16,factorized_engagement_ar_ppo_order_012/seed8/time_pressure/episode0/step0,8,1
